dataset,model,metric,mean,lower_ci,upper_ci,p_value,n_bootstrap,confidence_level,threshold,split
taiwan,SCRE-Credit,roc_auc,0.7818108192128757,0.7668093569563561,0.7955772189344058,,1000,0.95,0.16,test
taiwan,SCRE-Credit,pr_auc,0.5455519928394795,0.5200975465685903,0.5713992962617132,,1000,0.95,0.16,test
taiwan,SCRE-Credit,recall,0.7550580156106919,0.7324668234699985,0.7794576696767914,,1000,0.95,0.16,test
taiwan,SCRE-Credit,f1,0.4913890901292903,0.4728958352448856,0.5100743931024443,,1000,0.95,0.16,test
taiwan,SCRE-Credit,brier_score,0.13453102759097654,0.1285645642871548,0.14028061006033246,,1000,0.95,0.16,test
taiwan,SCRE-Credit,expected_cost,3370.663,3194.95,3540.025,,1000,0.95,0.16,test
taiwan,XGBoost,roc_auc,0.7826834893352618,0.7684620798604959,0.7969776438325873,,1000,0.95,0.14,test
taiwan,XGBoost,pr_auc,0.5628769807123588,0.5338503448468869,0.5903332710294917,,1000,0.95,0.14,test
taiwan,XGBoost,recall,0.8371613941315026,0.816354251144361,0.8569232765011119,,1000,0.95,0.14,test
taiwan,XGBoost,f1,0.478985318794583,0.4604530233479235,0.4969765973007114,,1000,0.95,0.14,test
taiwan,XGBoost,brier_score,0.13427540675009492,0.1287455753570703,0.13988097011294745,,1000,0.95,0.14,test
taiwan,XGBoost,expected_cost,3282.814,3144.975,3439.1749999999997,,1000,0.95,0.14,test
taiwan,LightGBM,roc_auc,0.7779919663349721,0.763643215969429,0.792133493464747,,1000,0.95,0.17,test
taiwan,LightGBM,pr_auc,0.5554508458686513,0.5266889008971589,0.5824724960935264,,1000,0.95,0.17,test
taiwan,LightGBM,recall,0.7458583304677026,0.7225852022643859,0.767951075544608,,1000,0.95,0.17,test
taiwan,LightGBM,f1,0.4995399987136921,0.4813259903295465,0.5170124502631241,,1000,0.95,0.17,test
taiwan,LightGBM,brier_score,0.13560734528952456,0.13001803971207676,0.14121597470856137,,1000,0.95,0.17,test
taiwan,LightGBM,expected_cost,3330.865,3142.8500000000004,3496.05,,1000,0.95,0.17,test
taiwan,CatBoost,roc_auc,0.785118046994131,0.7711302407639636,0.7988073607404759,,1000,0.95,0.15,test
taiwan,CatBoost,pr_auc,0.5638044925165366,0.5334520145615553,0.5908734418977964,,1000,0.95,0.15,test
taiwan,CatBoost,recall,0.8095245474663202,0.789998687171793,0.8303418891452428,,1000,0.95,0.15,test
taiwan,CatBoost,f1,0.4899652660841724,0.47148428228232664,0.5087167052843619,,1000,0.95,0.15,test
taiwan,CatBoost,brier_score,0.13383019555348163,0.1282338945057324,0.13934547934714367,,1000,0.95,0.15,test
taiwan,CatBoost,expected_cost,3249.692,3103.9,3406.0,,1000,0.95,0.15,test
taiwan,Scorecard,roc_auc,0.7719763402211869,0.7575344483909856,0.7863143521141363,,1000,0.95,0.16,test
taiwan,Scorecard,pr_auc,0.542958632161679,0.5146363114408355,0.5723357023906891,,1000,0.95,0.16,test
taiwan,Scorecard,recall,0.7415203230874676,0.7167097888492181,0.7662548265906007,,1000,0.95,0.16,test
taiwan,Scorecard,f1,0.4932341915601283,0.47460864182740303,0.5118697299997061,,1000,0.95,0.16,test
taiwan,Scorecard,brier_score,0.13695285936416263,0.1311889427227433,0.14261057937855665,,1000,0.95,0.16,test
taiwan,Scorecard,expected_cost,3392.489,3216.975,3564.05,,1000,0.95,0.16,test
heloc,SCRE-Credit,roc_auc,0.8031495103477562,0.783497312911096,0.821379182964905,,1000,0.95,0.17,test
heloc,SCRE-Credit,pr_auc,0.7938992142158233,0.7691696075172182,0.8174130063148319,,1000,0.95,0.17,test
heloc,SCRE-Credit,recall,0.9524761616435478,0.9380937627672613,0.9644334224438303,,1000,0.95,0.17,test
heloc,SCRE-Credit,f1,0.7367955403500358,0.7168644693073353,0.754804500500381,,1000,0.95,0.17,test
heloc,SCRE-Credit,brier_score,0.18182472452043533,0.1731513952760898,0.19076883588851323,,1000,0.95,0.17,test
heloc,SCRE-Credit,expected_cost,894.35,824.975,970.0,,1000,0.95,0.17,test
heloc,XGBoost,roc_auc,0.7968267655383497,0.7771552502504343,0.8152694923613334,,1000,0.95,0.19,test
heloc,XGBoost,pr_auc,0.797089992775916,0.772618570132675,0.8227013603634218,,1000,0.95,0.19,test
heloc,XGBoost,recall,0.9626982799621111,0.9511014155240218,0.973713018840153,,1000,0.95,0.19,test
heloc,XGBoost,f1,0.7249596972414449,0.703710364418736,0.7431483023038659,,1000,0.95,0.19,test
heloc,XGBoost,brier_score,0.18348886473473913,0.1746424787034735,0.19193287618228155,,1000,0.95,0.19,test
heloc,XGBoost,expected_cost,903.655,839.0,969.025,,1000,0.95,0.19,test
heloc,LightGBM,roc_auc,0.7873652841846933,0.768168849162501,0.8065100920490825,,1000,0.95,0.19,test
heloc,LightGBM,pr_auc,0.7930023986849298,0.7647954601130703,0.8149808456595878,,1000,0.95,0.19,test
heloc,LightGBM,recall,0.983315920977504,0.9753758595709714,0.9903579552710925,,1000,0.95,0.19,test
heloc,LightGBM,f1,0.7024788784397651,0.6831312129477267,0.7214114173819802,,1000,0.95,0.19,test
heloc,LightGBM,brier_score,0.1882842169789858,0.18018744355888922,0.19600432073369073,,1000,0.95,0.19,test
heloc,LightGBM,expected_cost,923.262,866.975,979.0,,1000,0.95,0.19,test
heloc,CatBoost,roc_auc,0.8044250898759505,0.7856866225736882,0.8222734519358993,,1000,0.95,0.14,test
heloc,CatBoost,pr_auc,0.811650002891344,0.7879458025001103,0.8346631152826195,,1000,0.95,0.14,test
heloc,CatBoost,recall,0.9804861447961546,0.9719522194982981,0.988372655301156,,1000,0.95,0.14,test
heloc,CatBoost,f1,0.7112600917691239,0.6918128060364434,0.730145939313743,,1000,0.95,0.14,test
heloc,CatBoost,brier_score,0.18039083481001256,0.17187774795979135,0.18903782228072402,,1000,0.95,0.14,test
heloc,CatBoost,expected_cost,898.681,842.0,958.0,,1000,0.95,0.14,test
heloc,Scorecard,roc_auc,0.8016083292170563,0.7818714539886031,0.8207663730581317,,1000,0.95,0.16,test
heloc,Scorecard,pr_auc,0.8035594567292135,0.7766388946914867,0.8290553589476013,,1000,0.95,0.16,test
heloc,Scorecard,recall,0.9814571508647959,0.97284516832852,0.9893110445671838,,1000,0.95,0.16,test
heloc,Scorecard,f1,0.7121535744875161,0.6927473619053611,0.7310213422094287,,1000,0.95,0.16,test
heloc,Scorecard,brier_score,0.1814294522899138,0.17318263865093525,0.1899224257712034,,1000,0.95,0.16,test
heloc,Scorecard,expected_cost,892.19,837.0,954.025,,1000,0.95,0.16,test
