dataset,model,source_phase,model_family,calibration_method,calibration_fit_policy,split,train_rows,validation_rows,test_rows_reserved,test_set_used,calibration_cv_folds,resampling,monotonic_constraints,expected_cost,description,threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,model_path
heloc,catboost,phase7_model_pool,boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1485.0,,0.5,0.7380952380952381,0.7405660377358491,0.7643622200584226,0.7522759942501198,0.7096092925026399,0.7364771104327713,0.805058047295359,0.8013113512560703,0.17952711255341994,0.01618745666937957,1.0004931140295232,0.03252083625930518,672,275,242,785,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\catboost_isotonic.joblib
heloc,optuna_best_xgboost,phase8_hyperparameter_optimization,tuned_boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1478.0,"Best Phase 8 Optuna model for heloc; trial=27, objective=PR-AUC.",0.5,0.7375886524822695,0.7389671361502348,0.7663096397273612,0.7523900573613767,0.706441393875396,0.7357668448830441,0.8043100283887312,0.7943436963620043,0.17975685117005383,0.02231744572656133,0.9722064125377621,0.024252102932834398,669,278,240,787,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\optuna_best_xgboost_isotonic.joblib
heloc,woe_scorecard_logistic_regression,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1486.0,WOE / scorecard-style Logistic Regression fit only on the train split.,0.5,0.7315096251266464,0.7303058387395737,0.7672833495618305,0.748338081671415,0.6927138331573389,0.7290458080208527,0.8030535622665332,0.7951633829936194,0.18088154427395062,0.020796981061243554,0.9739400308735879,0.019705713986899673,656,291,239,788,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\woe_scorecard_logistic_regression_isotonic.joblib
heloc,class_weighted_logistic_regression,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1511.0,Logistic Regression with class_weight='balanced'.,0.5,0.7370820668693009,0.741904761904762,0.7585199610516066,0.7501203659123736,0.7138331573389651,0.7358374132252975,0.8018279422848149,0.7980688723928869,0.18127740453724014,0.01998006823745549,0.984503721859991,0.04081828203875829,676,271,248,779,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\class_weighted_logistic_regression_isotonic.joblib
heloc,monotonic_xgboost,phase7_model_pool,monotonic,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,True,1570.0,"{'ExternalRiskEstimate': -1, 'NumTrades60Ever2DerogPubRec': 1, 'NumTrades90Ever2DerogPubRec': 1, 'PercentTradesNeverDelq': -1, 'MSinceMostRecentDelq': -1, 'NumInqLast6M': 1, 'NumInqLast6Mexcl7days': 1, 'NetFractionRevolvingBurden': 1, 'NetFractionInstallBurden': 1, 'NumBank2NatlTradesWHighUtilization': 1, 'delinquency_intensity': 1, 'trade_activity_ratio': 1, 'recent_inquiry_pressure': 1, 'revolving_burden_proxy': 1, 'installment_burden_proxy': 1, 'credit_history_length_proxy': -1, 'negative_trade_signal': 1, 'high_utilization_signal': 1}",0.5,0.7335359675785208,0.7429679922405431,0.7458617332035054,0.7444120505344995,0.720168954593453,0.7329027661787267,0.8010156605855214,0.7967358659451867,0.18136366437282356,0.0184011459784637,1.009233997034423,0.022968750047896357,682,265,261,766,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\monotonic_xgboost_isotonic.joblib
heloc,xgboost,phase7_model_pool,boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1524.0,,0.5,0.7365754812563323,0.7425837320574162,0.7555988315481986,0.749034749034749,0.7159450897571278,0.7355047744733925,0.8006974312362413,0.7972930944304489,0.1813942508473573,0.021453092751598127,1.0278749870502697,0.021417395401778505,678,269,251,776,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\xgboost_isotonic.joblib
heloc,logistic_regression,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1502.0,Standard Logistic Regression with train-fitted preprocessing.,0.5,0.7355623100303952,0.7384324834749764,0.7614410905550146,0.7497603068072867,0.7074973600844773,0.7339738152192612,0.8012290130571713,0.7968101237921206,0.18140100686020905,0.01849462022042883,0.9831333505395249,0.04114505367840048,670,277,245,782,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\logistic_regression_isotonic.joblib
heloc,smotenc_xgboost,phase7_model_pool,boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,SMOTENC train split only,False,1534.0,,0.5,0.7355623100303952,0.7420901246404602,0.75365141187926,0.7478260869565218,0.7159450897571278,0.7345563475482891,0.7999401584874697,0.7929727285733732,0.18166025345752843,0.017410309951625347,1.0160659249487771,0.029402654621468675,678,269,253,774,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\smotenc_xgboost_isotonic.joblib
heloc,random_forest,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,False,1531.0,Random Forest baseline without hyperparameter tuning.,0.5,0.7350557244174265,0.7409177820267686,0.7546251217137293,0.7477086348287506,0.7138331573389651,0.7339457972086305,0.7986929462074156,0.792247853046394,0.18227501784301606,0.0228566219287111,0.9637712262362381,0.032504825925704306,676,271,252,775,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\random_forest_isotonic.joblib
heloc,monotonic_lightgbm,phase7_model_pool,monotonic,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,5922,1974,1975,False,3,none,True,1576.0,"{'ExternalRiskEstimate': -1, 'NumTrades60Ever2DerogPubRec': 1, 'NumTrades90Ever2DerogPubRec': 1, 'PercentTradesNeverDelq': -1, 'MSinceMostRecentDelq': -1, 'NumInqLast6M': 1, 'NumInqLast6Mexcl7days': 1, 'NetFractionRevolvingBurden': 1, 'NetFractionInstallBurden': 1, 'NumBank2NatlTradesWHighUtilization': 1, 'delinquency_intensity': 1, 'trade_activity_ratio': 1, 'recent_inquiry_pressure': 1, 'revolving_burden_proxy': 1, 'installment_burden_proxy': 1, 'credit_history_length_proxy': -1, 'negative_trade_signal': 1, 'high_utilization_signal': 1}",0.5,0.7325227963525835,0.7419980601357905,0.744888023369036,0.7434402332361516,0.7191129883843717,0.7318870490018492,0.7943708878238973,0.7905511322637966,0.18461618487202572,0.01953003907302502,1.0644767878716004,0.02192596306887169,681,266,262,765,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\monotonic_lightgbm_isotonic.joblib
