dataset,model,source_phase,model_family,calibration_method,calibration_fit_policy,split,train_rows,validation_rows,test_rows_reserved,test_set_used,calibration_cv_folds,resampling,monotonic_constraints,expected_cost,description,threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,model_path
taiwan,xgboost,phase7_model_pool,boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4455.0,,0.5,0.8201666666666667,0.6727019498607242,0.36397889977392617,0.47237163814180927,0.9497111063556601,0.5879411565747131,0.7868731869059393,0.5597109861331215,0.1333922712879752,0.007834309003652186,1.0116673796418547,0.03302709934697246,4438,235,844,483,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\xgboost_isotonic.joblib
taiwan,monotonic_xgboost,phase7_model_pool,monotonic,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,True,4536.0,"{'PAY_0': 1, 'PAY_2': 1, 'PAY_3': 1, 'PAY_4': 1, 'PAY_5': 1, 'PAY_6': 1, 'delay_count': 1, 'max_delay': 1, 'avg_delay': 1, 'recent_delay': 1, 'severe_delay_count': 1, 'payment_to_bill_ratio': -1, 'utilization_proxy': 1, 'recent_payment_intensity': -1}",0.5,0.8206666666666667,0.6864784546805349,0.34815373021853807,0.462,0.954846993366146,0.5765705009176063,0.7875936269718569,0.5553928065202245,0.13345622744163713,0.005533665134933678,1.020343525637466,0.042918831294850315,4462,211,865,462,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\monotonic_xgboost_isotonic.joblib
taiwan,optuna_best_catboost,phase8_hyperparameter_optimization,tuned_boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4494.0,"Best Phase 8 Optuna model for taiwan; trial=52, objective=PR-AUC.",0.5,0.8203333333333334,0.6786226685796269,0.35644310474755087,0.4673913043478261,0.9520650545687995,0.582543581178395,0.7857055660223855,0.5592637451467721,0.1334743676146833,0.009632927847266293,0.9840053321470952,0.0014835523775594897,4449,224,854,473,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\optuna_best_catboost_isotonic.joblib
taiwan,catboost,phase7_model_pool,boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4514.0,,0.5,0.821,0.6857562408223201,0.3519216277317257,0.4651394422310757,0.9542050074898353,0.5794871693364628,0.7862745000016933,0.5600762638181987,0.13349090146625334,0.0058542408872619845,0.9921044624882047,0.012150949225409359,4459,214,860,467,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\catboost_isotonic.joblib
taiwan,random_forest,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4478.0,Random Forest baseline without hyperparameter tuning.,0.5,0.8196666666666667,0.6722925457102672,0.3602110022607385,0.4690873405299313,0.9501390969398673,0.5850218426655731,0.7867628833793389,0.5596793325208734,0.1336077591380536,0.00922381832347987,1.0191657610623657,0.03933587755422534,4440,233,849,478,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\random_forest_isotonic.joblib
taiwan,class_weighted_lightgbm,phase7_model_pool,boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4706.0,,0.5,0.817,0.6843800322061192,0.3202712886209495,0.43634496919917864,0.9580569227476996,0.5539297114441752,0.7828515429028309,0.5530878635457359,0.13444978799454987,0.010769818699591925,1.0583829696180544,0.08435631150087478,4477,196,902,425,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\class_weighted_lightgbm_isotonic.joblib
taiwan,lightgbm,phase7_model_pool,boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4667.0,,0.5,0.8175,0.6823899371069182,0.32705350414468726,0.4421803362200713,0.9567729509950781,0.5593889043356093,0.7840167448493977,0.5562193442422032,0.13447060780542106,0.014047813305179433,1.066820520696398,0.09560197738354177,4471,202,893,434,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\lightgbm_isotonic.joblib
taiwan,monotonic_lightgbm,phase7_model_pool,monotonic,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,True,4605.0,"{'PAY_0': 1, 'PAY_2': 1, 'PAY_3': 1, 'PAY_4': 1, 'PAY_5': 1, 'PAY_6': 1, 'delay_count': 1, 'max_delay': 1, 'avg_delay': 1, 'recent_delay': 1, 'severe_delay_count': 1, 'payment_to_bill_ratio': -1, 'utilization_proxy': 1, 'recent_payment_intensity': -1}",0.5,0.8191666666666667,0.6855828220858896,0.33685003767897514,0.4517433046993431,0.9561309651187674,0.5675145386915578,0.7809683198273332,0.5502663257809105,0.13468632990453205,0.012661588011566137,1.0742221808568373,0.10784155561021352,4468,205,880,447,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\monotonic_lightgbm_isotonic.joblib
taiwan,decision_tree,phase6_baseline,baseline,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,none,False,4811.0,Shallow Decision Tree baseline with train-fitted preprocessing.,0.5,0.8168333333333333,0.7,0.3006782215523738,0.42066420664206644,0.9634068050502889,0.5382150543918066,0.7724535003711455,0.54357279049524,0.13587026543549263,0.00839568863410334,1.0142178419408447,0.03793941144062941,4502,171,928,399,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\decision_tree_isotonic.joblib
taiwan,smotenc_xgboost,phase7_model_pool,boosting,isotonic,isotonic_calibrated_classifier_cv_on_train_only,validation,18000,6000,6000,False,3,SMOTENC train split only,False,4532.0,,0.5,0.8193333333333334,0.6768558951965066,0.35041446872645066,0.4617676266137041,0.9524930451530066,0.5777260115166445,0.7783959416042809,0.5421598314110033,0.13610962547592173,0.009651445999896771,1.047651209123216,0.06965464607510197,4451,222,862,465,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\smotenc_xgboost_isotonic.joblib
