package,version,import_name
python,"3.10.20 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:42:35) [MSC v.1942 64 bit (AMD64)]",python
pandas,2.3.3,pandas
numpy,1.26.4,numpy
scipy,1.15.3,scipy
scikit-learn,1.7.2,sklearn
imbalanced-learn,0.14.1,imblearn
xgboost,3.2.0,xgboost
lightgbm,4.6.0,lightgbm
catboost,1.2.10,catboost
optuna,4.8.0,optuna
shap,0.49.1,shap
lime,0.2.0.1,lime
matplotlib,3.10.8,matplotlib
joblib,1.5.3,joblib
pyyaml,6.0.3,yaml
statsmodels,0.14.6,statsmodels
pytest,9.0.3,pytest
