analysis_interpretation,baseline_expected_cost,baseline_recall,baseline_pr_auc,baseline_roc_auc,threshold,model,dataset,test_type,step,feature,feature_set,n_features,roc_auc_drop,pr_auc_drop,probability_shift,recall_change,cost_change,perturbed_roc_auc,perturbed_pr_auc,perturbed_recall,perturbed_expected_cost
"model behavior sanity check, not causal proof",1580.0,0.7372488408037094,0.5577580265853299,0.786557461256668,0.17,lightgbm,taiwan,single_feature_perturbation,1,recent_delay,recent_delay,1,0.007793661418124653,0.023705040298491298,0.026463422969961552,-0.0061823802163832875,8.0,0.7787637998385434,0.5340529862868386,0.7310664605873262,1588.0
"model behavior sanity check, not causal proof",1580.0,0.7372488408037094,0.5577580265853299,0.786557461256668,0.17,lightgbm,taiwan,single_feature_perturbation,2,PAY_0,PAY_0,1,0.019131747363194118,0.05788483081759155,0.0346160337244151,-0.023183925811437467,68.0,0.7674257138934739,0.49987319576773837,0.714064914992272,1648.0
"model behavior sanity check, not causal proof",1580.0,0.7372488408037094,0.5577580265853299,0.786557461256668,0.17,lightgbm,taiwan,single_feature_perturbation,3,delay_count,delay_count,1,0.004641383192622639,0.0017569982420220231,0.018480734384926194,-0.040185471406491535,62.0,0.7819160780640454,0.5560010283433079,0.6970633693972179,1642.0
"model behavior sanity check, not causal proof",1580.0,0.7372488408037094,0.5577580265853299,0.786557461256668,0.17,lightgbm,taiwan,single_feature_perturbation,4,utilization_proxy,utilization_proxy,1,0.003863002343024946,0.0008237566384273753,0.027652681516897426,-0.021638330757341562,25.0,0.7826944589136431,0.5569342699469025,0.7156105100463679,1605.0
"model behavior sanity check, not causal proof",1580.0,0.7372488408037094,0.5577580265853299,0.786557461256668,0.17,lightgbm,taiwan,single_feature_perturbation,5,LIMIT_BAL,LIMIT_BAL,1,0.002841254316401143,0.004938724893770896,0.02146187256418628,-0.010819165378670781,2.0,0.7837162069402669,0.552819301691559,0.7264296754250387,1582.0
"model behavior sanity check, not causal proof",1580.0,0.7372488408037094,0.5577580265853299,0.786557461256668,0.17,lightgbm,taiwan,single_feature_perturbation,6,max_delay,max_delay,1,0.002428416878449857,0.006820079286433467,0.0144547626247209,-0.007727975270479193,-3.0,0.7841290443782182,0.5509379472988964,0.7295208655332303,1577.0
"model behavior sanity check, not causal proof",1580.0,0.7372488408037094,0.5577580265853299,0.786557461256668,0.17,lightgbm,taiwan,single_feature_perturbation,7,BILL_AMT1,BILL_AMT1,1,0.0017341142978380963,0.0022184086336920483,0.025305764469398046,-0.043276661514683123,-1.0,0.7848233469588299,0.5555396179516379,0.6939721792890263,1579.0
"model behavior sanity check, not causal proof",1580.0,0.7372488408037094,0.5577580265853299,0.786557461256668,0.17,lightgbm,taiwan,single_feature_perturbation,8,PAY_AMT1,PAY_AMT1,1,0.002823847487274933,0.004382648408757461,0.02135294125107756,-0.02782071097372485,46.0,0.7837336137693931,0.5533753781765725,0.7094281298299846,1626.0
"model behavior sanity check, not causal proof",1580.0,0.7372488408037094,0.5577580265853299,0.786557461256668,0.17,lightgbm,taiwan,single_feature_perturbation,9,bill_volatility,bill_volatility,1,0.0007573612823511544,0.0008897372068193965,0.017288686393273377,-0.020092735703245768,6.0,0.7858000999743169,0.5568682893785105,0.7171561051004637,1586.0
"model behavior sanity check, not causal proof",1580.0,0.7372488408037094,0.5577580265853299,0.786557461256668,0.17,lightgbm,taiwan,single_feature_perturbation,10,payment_to_bill_ratio,payment_to_bill_ratio,1,0.0026780242395022524,0.006978577339455061,0.015319270965064065,-0.0030911901081916993,25.0,0.7838794370171658,0.5507794492458749,0.7341576506955177,1605.0
