category_id,category,dataset_scope,winner,primary_basis,evidence,recommendation,caveat,ready_for_report
1,Best raw predictive model,Taiwan,SCRE-Optimized,"PR-AUC, then ROC-AUC, then F1",PR-AUC=0.5669; ROC-AUC=0.7847; F1=0.4921; Recall=0.7769; Precision=0.3601; ECE=0.0107; Brier=0.1338; Cost=3312.,"Use as Taiwan discrimination winner, not necessarily lowest-cost deployment winner.",SCRE-Optimized wins Taiwan PR-AUC but does not win expected cost.,True
1,Best raw predictive model,HELOC,SCRE-Optimized,"PR-AUC, then ROC-AUC, then F1",PR-AUC=0.8130; ROC-AUC=0.8055; F1=0.7133; Recall=0.9776; Precision=0.5615; ECE=0.0461; Brier=0.1827; Cost=900.,Use as HELOC discrimination winner.,HELOC winner differs from cost winner; this is a domain-shift/tradeoff result.,True
2,Best operational model,Taiwan,Best CatBoost,"Lowest expected_cost, then recall, then acceptable precision",PR-AUC=0.5639; ROC-AUC=0.7853; F1=0.4901; Recall=0.8093; Precision=0.3514; ECE=0.0078; Brier=0.1337; Cost=3247. Manual-review remaining cost=1820 for Best CatBoost.,"Choose Best CatBoost for Taiwan operational decisioning under FN=5, FP=1.",Expected-cost winner=Best CatBoost; diff candidate-baseline=65.0; p=0.126.,True
2,Best operational model,HELOC,Best Scorecard,"Lowest expected_cost, then recall, then acceptable precision",PR-AUC=0.8039; ROC-AUC=0.8015; F1=0.7121; Recall=0.9815; Precision=0.5587; ECE=0.0142; Brier=0.1817; Cost=892. Manual-review remaining cost=492 for Best CatBoost.,Choose Best Scorecard as HELOC cost winner; CatBoost is close and strongest in manual-review remaining cost.,HELOC operational and manual-review winners are not identical.,True
3,Best calibrated model,Taiwan,Best CatBoost,"Lowest ECE, then lowest Brier, then acceptable AUC",PR-AUC=0.5639; ROC-AUC=0.7853; F1=0.4901; Recall=0.8093; Precision=0.3514; ECE=0.0078; Brier=0.1337; Cost=3247.,Use CatBoost as Taiwan calibrated operational model.,"Calibration is reliability evidence, not proof of superior discrimination.",True
3,Best calibrated model,HELOC,Best CatBoost,"Lowest ECE, then lowest Brier, then acceptable AUC",PR-AUC=0.8116; ROC-AUC=0.8041; F1=0.7114; Recall=0.9805; Precision=0.5581; ECE=0.0108; Brier=0.1802; Cost=898.,Use CatBoost as HELOC calibration winner.,CatBoost calibration is strong even though Scorecard has lower HELOC cost.,True
4,Best interpretable model,Both,Best Scorecard,"Scorecard first, monotonic model second, explanation simplicity",Taiwan Scorecard cost=3395; HELOC Scorecard cost=892.,Use Scorecard as the interpretable benchmark and external-validation anchor.,Scorecard is not Taiwan predictive/cost winner.,True
5,Best XAI stability model,Computed stability protocol,LightGBM SHAP stability protocol,"Kendall's W top-5, top-k overlap, Spearman rank stability",Taiwan top-5 W=0.8928; HELOC top-5 W=1.0000; direct CatBoost/Scorecard/SCRE ensemble W not computed.,Report LightGBM as the directly measured explanation-stability protocol.,Do not claim CatBoost or SCRE ensemble-specific SHAP stability from LightGBM evidence.,True
6,Best external validation model,HELOC,Best Scorecard,"HELOC performance, HELOC cost, HELOC calibration",PR-AUC=0.8039; ROC-AUC=0.8015; F1=0.7121; Recall=0.9815; Precision=0.5587; ECE=0.0142; Brier=0.1817; Cost=892. CatBoost calibration ECE=0.0108.,Use Scorecard as the most robust external-validation cost winner; discuss CatBoost/SCRE as close alternatives.,HELOC result does not replicate Taiwan CatBoost cost dominance exactly.,True
7,Best proposed framework,SCRE family,SCRE-Optimized,"Among Old SCRE, SCRE-Pareto, SCRE-Optimized: PR-AUC, then expected cost, then calibration","Taiwan SCRE-Optimized PR-AUC=0.5669, cost=3312; HELOC SCRE-Optimized PR-AUC=0.8130, cost=900.",Present SCRE-Optimized as the revised reliability-aware framework.,It is not the best standalone cost predictor on Taiwan or HELOC.,True
8,Final recommended deployment model,Project-level,Operational: CatBoost on Taiwan; Scorecard on HELOC. Benchmark: Scorecard. Framework: SCRE-Optimized.,Objective-specific deployment recommendation rather than one universal winner,Taiwan cost winner=Best CatBoost; HELOC cost winner=Best Scorecard; SCRE-Optimized wins PR-AUC among SCRE variants and is useful as research framework.,"Deploy operational model by use case; present SCRE-Optimized as proposed framework, with Scorecard as interpretable benchmark.",Do not claim one model dominates all datasets and metrics.,True
