dataset,split,model_family_requested,model,calibration_type,threshold,cost_scenario,accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,brier,ece,tn,fp,fn,tp,expected_cost,shap_stability,faithfulness_score,notes,winner_accuracy,winner_recall,winner_f1,winner_roc_auc,winner_pr_auc,winner_brier,winner_ece,winner_expected_cost,winner_overall_operational,operational_rank,operational_selection_rule,valid_for_model_selection,created_local
taiwan,test,CatBoost,catboost,isotonic,0.15,B_FN5_FP1,0.6275,0.3514397905759162,0.8093443858327054,0.4900752908966461,0.5758613310507169,0.7853434511554537,0.5639167825429635,0.133690712785661,0.0077638887959482,2691,1982,253,1074,3247.0,,,Boosting model; no per-model SHAP stability score in current output; no per-model faithfulness score in current output,False,False,False,True,True,True,True,True,True,1,"lowest expected_cost FN=5 FP=1; tie-break PR-AUC, Brier, ECE, recall, F1; accuracy excluded",False,2026-04-29 14:58:01
taiwan,test,Monotonic XGBoost,monotonic_xgboost,isotonic,0.15,B_FN5_FP1,0.628,0.3509060955518945,0.8025621703089676,0.4883081155433287,0.5784292745559597,0.7810930563446218,0.5573108573681026,0.1346901987420083,0.009710808526094,2703,1970,262,1065,3280.0,,,Monotonic constrained boosting model; no per-model SHAP stability score in current output; no per-model faithfulness score in current output,False,False,False,False,False,False,False,False,False,2,"lowest expected_cost FN=5 FP=1; tie-break PR-AUC, Brier, ECE, recall, F1; accuracy excluded",False,2026-04-29 14:58:01
taiwan,test,XGBoost,xgboost,isotonic,0.14,B_FN5_FP1,0.5975,0.3355501813784764,0.8364732479276563,0.4789644012944983,0.529638347956345,0.7826485134584009,0.5624784540120215,0.1343163230559995,0.0095047983326949,2475,2198,217,1110,3283.0,,,Boosting model; no per-model SHAP stability score in current output; no per-model faithfulness score in current output,False,True,False,False,False,False,False,False,False,3,"lowest expected_cost FN=5 FP=1; tie-break PR-AUC, Brier, ECE, recall, F1; accuracy excluded",False,2026-04-29 14:58:01
taiwan,test,Monotonic LightGBM,monotonic_lightgbm,isotonic,0.18,B_FN5_FP1,0.698,0.3986627664020059,0.718914845516202,0.5129032258064516,0.6920607746629575,0.7796047650478442,0.5545830998781486,0.1353814234981806,0.0100668553020005,3234,1439,373,954,3304.0,,,Monotonic constrained boosting model; no per-model SHAP stability score in current output; no per-model faithfulness score in current output,True,False,True,False,False,False,False,False,False,4,"lowest expected_cost FN=5 FP=1; tie-break PR-AUC, Brier, ECE, recall, F1; accuracy excluded",False,2026-04-29 14:58:01
taiwan,test,LightGBM,lightgbm,isotonic,0.17,B_FN5_FP1,0.6693333333333333,0.3754266211604095,0.746043707611153,0.4994954591321897,0.647549753905414,0.7779753690935001,0.5552375587431584,0.1356135837556778,0.0084868821264251,3026,1647,337,990,3332.0,0.9772513845205058,0.0217537185396619,"Boosting model; SHAP stability available from LightGBM-family stability protocol; faithfulness score is diagnostic/model-behavior sanity check, not causal proof",False,False,False,False,False,False,False,False,False,5,"lowest expected_cost FN=5 FP=1; tie-break PR-AUC, Brier, ECE, recall, F1; accuracy excluded",False,2026-04-29 14:58:01
taiwan,test,Old SCRE-Credit,SCRE-Credit,weighted_sum_plus_isotonic,0.16,B_FN5_FP1,0.6543333333333333,0.3643298220123501,0.7558402411454408,0.4916666666666666,0.625508238818746,0.78157176397432,0.5444404951784547,0.1344745846625019,0.016134514337013,2923,1750,324,1003,3370.0,0.9772513845205058,0.0217537185396619,"Original/static SCRE-Credit before Pareto/optimized revision; SHAP stability available from LightGBM-family stability protocol; faithfulness score is diagnostic/model-behavior sanity check, not causal proof",False,False,False,False,False,False,False,False,False,6,"lowest expected_cost FN=5 FP=1; tie-break PR-AUC, Brier, ECE, recall, F1; accuracy excluded",False,2026-04-29 14:58:01
taiwan,test,Random Forest,random_forest,isotonic,0.16,B_FN5_FP1,0.6546666666666666,0.3641006931776724,0.7520723436322532,0.4906588003933136,0.627006205863471,0.7801764404890703,0.5576110174199398,0.1348130236640163,0.0155833818873165,2930,1743,329,998,3388.0,,,Tree ensemble baseline; no per-model SHAP stability score in current output; no per-model faithfulness score in current output,False,False,False,False,False,False,False,False,False,7,"lowest expected_cost FN=5 FP=1; tie-break PR-AUC, Brier, ECE, recall, F1; accuracy excluded",False,2026-04-29 14:58:01
taiwan,test,Scorecard / WOE,woe_scorecard_logistic_regression,isotonic,0.16,B_FN5_FP1,0.6628333333333334,0.3693693693693693,0.7415222305953278,0.4931094963668254,0.6404879092659962,0.772310218670291,0.5428529752936853,0.1369802354742906,0.013838796992413,2993,1680,343,984,3395.0,,,Custom WOE/scorecard-style logistic baseline; no per-model SHAP stability score in current output; no per-model faithfulness score in current output,False,False,False,False,False,False,False,False,False,8,"lowest expected_cost FN=5 FP=1; tie-break PR-AUC, Brier, ECE, recall, F1; accuracy excluded",False,2026-04-29 14:58:01
taiwan,test,SMOTENC + XGBoost,smotenc_xgboost,sigmoid,0.13,B_FN5_FP1,0.5778333333333333,0.3227513227513227,0.827430293896006,0.4643687883273419,0.5069548469933661,0.7699070854050857,0.54154196914364,0.1373882034871902,0.0131477301969296,2369,2304,229,1098,3449.0,,,SMOTENC resampling is inside train-fold pipeline; no per-model SHAP stability score in current output; no per-model faithfulness score in current output,False,False,False,False,False,False,False,False,False,9,"lowest expected_cost FN=5 FP=1; tie-break PR-AUC, Brier, ECE, recall, F1; accuracy excluded",False,2026-04-29 14:58:01
taiwan,test,Logistic Regression,logistic_regression,isotonic,0.15,B_FN5_FP1,0.6385,0.3506032647267565,0.7445365486058779,0.4767189384800965,0.6083886154504601,0.762119559669612,0.527962639992053,0.1374953245692171,0.0137355885701866,2843,1830,339,988,3525.0,,,Logistic Regression baseline; no per-model SHAP stability score in current output; no per-model faithfulness score in current output,False,False,False,False,False,False,False,False,False,10,"lowest expected_cost FN=5 FP=1; tie-break PR-AUC, Brier, ECE, recall, F1; accuracy excluded",False,2026-04-29 14:58:01
