check,status,value,notes
raw_csv_location,pass,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\data\raw\heloc\heloc_dataset.csv,HELOC raw CSV is stored separately from the Taiwan dataset.
raw_shape,pass,9871 rows x 24 columns,Raw external-validation dataset before target normalization and missing-code handling.
cleaned_shape,pass,9871 rows x 24 columns,Cleaned HELOC table after dropping original target and adding bad_flag.
target_binary_mapping,pass,"Good -> 0, Bad -> 1",Positive class is bad_flag = 1 for the common binary metric interface.
original_target_removed,pass,True,Original string target is removed after binary conversion.
special_missing_codes_detected,pass,"{""-7"": 0, ""-8"": 0, ""-9"": 0}",Counts are measured on raw data before cleaning. Some mirrors may already expose these as NaN.
special_missing_code_strategy,pass,"{""-7"": ""Condition not met for this attribute"", ""-8"": ""No usable / valid trades or inquiries"", ""-9"": ""No bureau record or no investigation""}","Codes -9, -8, and -7 are converted to NaN; model pipelines impute within train folds."
missing_values_after_cleaning,review,12643,Missing values are intentionally preserved for train-fold imputation.
duplicate_rows,review,1,Duplicates are reported and not dropped automatically.
target_distribution_good,pass,4735 (0.4797),Class 0 = Good / non-bad account performance.
target_distribution_bad,pass,5136 (0.5203),Class 1 = Bad account performance.
numeric_feature_count,pass,23,Numeric features are audited below with missing/min/max/mean/std.
categorical_feature_interface,pass,"MaxDelq2PublicRecLast12M, MaxDelqEver",These ordinal delinquency variables are passed as categorical columns where supported.
metric_interface,pass,target=bad_flag; positive_class=1; feature_count=23,HELOC is aligned with the same binary metric functions used for Taiwan.
numeric_audit_ExternalRiskEstimate,review,"{""max"": 94.0, ""mean"": 72.06044011763512, ""min"": 33.0, ""missing_after_cleaning"": 10, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 9.871794689645451}",External bureau risk estimate score.
numeric_audit_MSinceOldestTradeOpen,review,"{""max"": 803.0, ""mean"": 200.76910299003322, ""min"": 2.0, ""missing_after_cleaning"": 239, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 97.94608104637172}",Months since oldest trade was opened.
numeric_audit_MSinceMostRecentTradeOpen,pass,"{""max"": 383.0, ""mean"": 9.588491540877317, ""min"": 0.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 12.963398136683004}",Months since most recent trade was opened.
numeric_audit_AverageMInFile,pass,"{""max"": 383.0, ""mean"": 78.77813797994125, ""min"": 4.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 34.066063302258485}",Average months that trades have been in file.
