threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,fn_cost_component,fp_cost_component,expected_cost
0.2,0.6440506329113924,0.599024984765387,0.9562256809338522,0.7366054702135632,0.3051742344244984,0.5401994447572425,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,289,658,45,983,225.0,658.0,883.0
0.15,0.5893670886075949,0.5605806811836963,0.9766536964980544,0.7123093295494857,0.1689545934530095,0.40621438703744567,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,160,787,24,1004,120.0,787.0,907.0
0.1,0.5432911392405063,0.5328467153284672,0.9941634241245136,0.6938221317040054,0.05385427666314678,0.2313870179832544,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,51,896,6,1022,30.0,896.0,926.0
0.25,0.6724050632911392,0.6254114549045424,0.9241245136186771,0.745975657636435,0.3991552270327349,0.6073459722760816,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,378,569,78,950,390.0,569.0,959.0
0.3,0.6982278481012658,0.6508379888268156,0.9066147859922179,0.7577235772357723,0.4720168954593453,0.6541693180374523,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,447,500,96,932,480.0,500.0,980.0
0.35,0.7139240506329114,0.6731488406881077,0.8754863813229572,0.7610993657505285,0.5385427666314678,0.686649006367764,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,510,437,128,900,640.0,437.0,1077.0
0.4,0.7286075949367089,0.6983870967741935,0.8424124513618677,0.763668430335097,0.6050686378035903,0.7139449239362295,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,573,374,162,866,810.0,374.0,1184.0
0.45,0.7275949367088608,0.7134146341463414,0.796692607003891,0.7527573529411765,0.6525871172122492,0.721048772073693,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,618,329,209,819,1045.0,329.0,1374.0
0.5,0.7331645569620253,0.735653809971778,0.7607003891050583,0.7479674796747967,0.7032734952481521,0.7314235581949379,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,666,281,246,782,1230.0,281.0,1511.0
0.55,0.7351898734177216,0.7584442169907881,0.7208171206225681,0.7391521197007481,0.750791974656811,0.7356518941446795,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,711,236,287,741,1435.0,236.0,1671.0
0.6,0.7275949367088608,0.7777777777777778,0.6673151750972762,0.7183246073298429,0.7930306230200633,0.7274622801617522,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,751,196,342,686,1710.0,196.0,1906.0
0.65,0.7154430379746836,0.8057742782152231,0.5972762645914397,0.6860335195530727,0.8437170010559663,0.7098817780187059,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,799,148,414,614,2070.0,148.0,2218.0
0.7,0.6931645569620253,0.8317610062893082,0.5145914396887159,0.6358173076923077,0.8870116156282999,0.6756097870122818,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,840,107,499,529,2495.0,107.0,2602.0
0.75,0.6632911392405063,0.8565815324165029,0.42412451361867703,0.5673389720234222,0.9229144667370645,0.6256441874712001,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,874,73,592,436,2960.0,73.0,3033.0
0.8,0.6243037974683544,0.8803191489361702,0.3219844357976654,0.47150997150997154,0.9524815205913411,0.5537907772934697,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,902,45,697,331,3485.0,45.0,3530.0
0.85,0.5767088607594937,0.9,0.21011673151750973,0.34069400630914826,0.9746568109820486,0.452539173414664,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,923,24,812,216,4060.0,24.0,4084.0
0.9,0.5230379746835443,0.9479166666666666,0.08852140077821012,0.1619217081850534,0.9947201689545935,0.2967389808201788,0.8075193422604252,0.8144076190051428,0.17880041198469518,0.011843615744554285,1.017912130670011,0.0038781060761555663,942,5,937,91,4685.0,5.0,4690.0
