t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.05,0.45,586.5,1,695,884,0.0006329113924050633,0.439873417721519,0.5594936708860759,0,239,1,645,177,518,0.7296380090497737,0.7846715328467153,1.0,0.560126582278481,True,True,True
0.1,0.45,590.5,53,643,884,0.03354430379746835,0.4069620253164557,0.5594936708860759,6,239,47,645,171,472,0.7296380090497737,0.7846715328467153,0.9927007299270073,0.5930379746835444,True,True,True
0.05,0.4,593.5,1,635,944,0.0006329113924050633,0.40189873417721517,0.5974683544303797,0,276,1,668,154,481,0.7076271186440678,0.8126520681265207,1.0,0.5981012658227848,True,True,True
0.05,0.35,597.5,1,569,1010,0.0006329113924050633,0.360126582278481,0.6392405063291139,0,313,1,697,125,444,0.69009900990099,0.8479318734793188,1.0,0.639873417721519,True,True,True
0.1,0.4,597.5,53,583,944,0.03354430379746835,0.3689873417721519,0.5974683544303797,6,276,47,668,148,435,0.7076271186440678,0.8126520681265207,0.9927007299270073,0.6310126582278481,True,True,True
0.1,0.35,601.5,53,517,1010,0.03354430379746835,0.32721518987341774,0.6392405063291139,6,313,47,697,119,398,0.69009900990099,0.8479318734793188,0.9927007299270073,0.6727848101265823,True,True,True
0.05,0.3,604.0,1,494,1085,0.0006329113924050633,0.31265822784810127,0.6867088607594937,0,357,1,728,94,400,0.6709677419354839,0.8856447688564477,1.0,0.6873417721518987,True,True,True
0.1,0.3,608.0,53,442,1085,0.03354430379746835,0.27974683544303797,0.6867088607594937,6,357,47,728,88,354,0.6709677419354839,0.8856447688564477,0.9927007299270073,0.720253164556962,True,True,True
0.15,0.45,612.5,179,517,884,0.11329113924050632,0.32721518987341774,0.5594936708860759,23,239,156,645,154,363,0.7296380090497737,0.7846715328467153,0.9720194647201946,0.6727848101265823,True,True,True
0.15,0.5,616.0,179,586,815,0.11329113924050632,0.37088607594936707,0.5158227848101266,23,208,156,607,192,394,0.7447852760736197,0.7384428223844283,0.9720194647201946,0.6291139240506329,True,True,True
0.15,0.55,617.5,179,657,744,0.11329113924050632,0.4158227848101266,0.4708860759493671,23,174,156,570,229,428,0.7661290322580645,0.6934306569343066,0.9720194647201946,0.5841772151898734,True,True,True
0.15,0.4,619.5,179,457,944,0.11329113924050632,0.2892405063291139,0.5974683544303797,23,276,156,668,131,326,0.7076271186440678,0.8126520681265207,0.9720194647201946,0.7107594936708861,True,True,True
0.15,0.35,623.5,179,391,1010,0.11329113924050632,0.24746835443037973,0.6392405063291139,23,313,156,697,102,289,0.69009900990099,0.8479318734793188,0.9720194647201946,0.7525316455696203,True,True,True
0.05,0.25,626.5,1,403,1176,0.0006329113924050633,0.25506329113924053,0.7443037974683544,0,425,1,751,71,332,0.6386054421768708,0.9136253041362531,1.0,0.7449367088607595,True,True,True
0.15,0.3,630.0,179,316,1085,0.11329113924050632,0.2,0.6867088607594937,23,357,156,728,71,245,0.6709677419354839,0.8856447688564477,0.9720194647201946,0.8,True,True,True
0.1,0.25,630.5,53,351,1176,0.03354430379746835,0.2221518987341772,0.7443037974683544,6,425,47,751,65,286,0.6386054421768708,0.9136253041362531,0.9927007299270073,0.7778481012658228,True,True,True
0.05,0.2,652.0,1,300,1279,0.0006329113924050633,0.189873417721519,0.8094936708860759,0,502,1,777,45,255,0.6075058639562158,0.9452554744525548,1.0,0.810126582278481,True,True,True
0.15,0.25,652.5,179,225,1176,0.11329113924050632,0.14240506329113925,0.7443037974683544,23,425,156,751,48,177,0.6386054421768708,0.9136253041362531,0.9720194647201946,0.8575949367088608,True,True,True
0.1,0.2,656.0,53,248,1279,0.03354430379746835,0.1569620253164557,0.8094936708860759,6,502,47,777,39,209,0.6075058639562158,0.9452554744525548,0.9927007299270073,0.8430379746835444,True,True,True
0.2,0.45,661.5,301,395,884,0.19050632911392404,0.25,0.5594936708860759,45,239,256,645,132,263,0.7296380090497737,0.7846715328467153,0.9452554744525548,0.75,True,True,True
0.2,0.5,665.0,301,464,815,0.19050632911392404,0.2936708860759494,0.5158227848101266,45,208,256,607,170,294,0.7447852760736197,0.7384428223844283,0.9452554744525548,0.7063291139240506,True,True,True
0.2,0.55,666.5,301,535,744,0.19050632911392404,0.33860759493670883,0.4708860759493671,45,174,256,570,207,328,0.7661290322580645,0.6934306569343066,0.9452554744525548,0.6613924050632911,True,True,True
0.2,0.4,668.5,301,335,944,0.19050632911392404,0.2120253164556962,0.5974683544303797,45,276,256,668,109,226,0.7076271186440678,0.8126520681265207,0.9452554744525548,0.7879746835443038,True,True,True
0.2,0.35,672.5,301,269,1010,0.19050632911392404,0.17025316455696202,0.6392405063291139,45,313,256,697,80,189,0.69009900990099,0.8479318734793188,0.9452554744525548,0.829746835443038,True,True,True
0.2,0.6,676.0,301,596,683,0.19050632911392404,0.37721518987341773,0.43227848101265826,45,153,256,530,247,349,0.7759882869692533,0.6447688564476886,0.9452554744525548,0.6227848101265823,True,True,True
