fn_cost,fp_cost,threshold,expected_cost,precision,recall,f1,fp,fn
1.0,1.0,0.55,525.0,0.7558494404883012,0.7227626459143969,0.7389358528095475,240,285
1.0,1.0,0.5,528.0,0.7345215759849906,0.7616731517509727,0.7478510028653295,283,245
1.0,1.0,0.4,535.0,0.6992724333063864,0.8414396887159533,0.7637969094922737,372,163
1.0,1.0,0.6,536.0,0.7764044943820225,0.6721789883268483,0.7205422314911366,199,337
1.0,1.0,0.45,540.0,0.7118055555555556,0.7976653696498055,0.7522935779816514,332,208
1.0,1.0,0.65,554.0,0.8062015503875969,0.6070038910505836,0.6925638179800222,150,404
1.0,1.0,0.35,556.0,0.6774436090225564,0.8764591439688716,0.7642069550466497,429,127
1.0,1.0,0.3,597.0,0.6508047585724283,0.9046692607003891,0.757020757020757,499,98
1.0,1.0,0.7,603.0,0.8304821150855366,0.519455252918288,0.6391382405745063,109,494
1.0,1.0,0.25,647.0,0.6255767963085036,0.9231517509727627,0.7457760314341847,568,79
1.0,1.0,0.75,658.0,0.8585271317829457,0.43093385214007784,0.5738341968911918,73,585
1.0,1.0,0.2,703.0,0.599024984765387,0.9562256809338522,0.7366054702135632,658,45
1.0,1.0,0.8,745.0,0.8713910761154856,0.3229571984435798,0.47125621007806956,49,696
1.0,1.0,0.15,802.0,0.5635545556805399,0.9747081712062257,0.714183891660727,776,26
1.0,1.0,0.85,829.0,0.9061224489795918,0.21595330739299612,0.3487824037706206,23,806
1.0,1.0,0.1,899.0,0.5336814621409922,0.9941634241245136,0.6945293917770982,893,6
1.0,1.0,0.9,943.0,0.9207920792079208,0.09046692607003891,0.16474756421612047,8,935
1.0,1.0,0.05,947.0,0.520506329113924,1.0,0.6846486846486847,947,0
1.0,1.0,0.95,1022.0,1.0,0.005836575875486381,0.01160541586073501,0,1022
2.0,1.0,0.35,683.0,0.6774436090225564,0.8764591439688716,0.7642069550466497,429,127
2.0,1.0,0.3,695.0,0.6508047585724283,0.9046692607003891,0.757020757020757,499,98
2.0,1.0,0.4,698.0,0.6992724333063864,0.8414396887159533,0.7637969094922737,372,163
2.0,1.0,0.25,726.0,0.6255767963085036,0.9231517509727627,0.7457760314341847,568,79
2.0,1.0,0.2,748.0,0.599024984765387,0.9562256809338522,0.7366054702135632,658,45
2.0,1.0,0.45,748.0,0.7118055555555556,0.7976653696498055,0.7522935779816514,332,208
2.0,1.0,0.5,773.0,0.7345215759849906,0.7616731517509727,0.7478510028653295,283,245
2.0,1.0,0.55,810.0,0.7558494404883012,0.7227626459143969,0.7389358528095475,240,285
2.0,1.0,0.15,828.0,0.5635545556805399,0.9747081712062257,0.714183891660727,776,26
2.0,1.0,0.6,873.0,0.7764044943820225,0.6721789883268483,0.7205422314911366,199,337
2.0,1.0,0.1,905.0,0.5336814621409922,0.9941634241245136,0.6945293917770982,893,6
2.0,1.0,0.05,947.0,0.520506329113924,1.0,0.6846486846486847,947,0
2.0,1.0,0.65,958.0,0.8062015503875969,0.6070038910505836,0.6925638179800222,150,404
2.0,1.0,0.7,1097.0,0.8304821150855366,0.519455252918288,0.6391382405745063,109,494
2.0,1.0,0.75,1243.0,0.8585271317829457,0.43093385214007784,0.5738341968911918,73,585
2.0,1.0,0.8,1441.0,0.8713910761154856,0.3229571984435798,0.47125621007806956,49,696
2.0,1.0,0.85,1635.0,0.9061224489795918,0.21595330739299612,0.3487824037706206,23,806
2.0,1.0,0.9,1878.0,0.9207920792079208,0.09046692607003891,0.16474756421612047,8,935
2.0,1.0,0.95,2044.0,1.0,0.005836575875486381,0.01160541586073501,0,1022
3.0,1.0,0.2,793.0,0.599024984765387,0.9562256809338522,0.7366054702135632,658,45
3.0,1.0,0.3,793.0,0.6508047585724283,0.9046692607003891,0.757020757020757,499,98
3.0,1.0,0.25,805.0,0.6255767963085036,0.9231517509727627,0.7457760314341847,568,79
3.0,1.0,0.35,810.0,0.6774436090225564,0.8764591439688716,0.7642069550466497,429,127
3.0,1.0,0.15,854.0,0.5635545556805399,0.9747081712062257,0.714183891660727,776,26
3.0,1.0,0.4,861.0,0.6992724333063864,0.8414396887159533,0.7637969094922737,372,163
3.0,1.0,0.1,911.0,0.5336814621409922,0.9941634241245136,0.6945293917770982,893,6
3.0,1.0,0.05,947.0,0.520506329113924,1.0,0.6846486846486847,947,0
3.0,1.0,0.45,956.0,0.7118055555555556,0.7976653696498055,0.7522935779816514,332,208
3.0,1.0,0.5,1018.0,0.7345215759849906,0.7616731517509727,0.7478510028653295,283,245
3.0,1.0,0.55,1095.0,0.7558494404883012,0.7227626459143969,0.7389358528095475,240,285
