t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.1,0.45,587.0,50,646,884,0.03164556962025317,0.4088607594936709,0.5594936708860759,4,244,46,640,178,468,0.7239819004524887,0.7785888077858881,0.9951338199513382,0.5911392405063292,True,True,True
0.1,0.5,587.0,50,710,820,0.03164556962025317,0.44936708860759494,0.5189873417721519,4,212,46,608,210,500,0.7414634146341463,0.7396593673965937,0.9951338199513382,0.5506329113924051,True,True,True
0.1,0.4,589.0,50,588,942,0.03164556962025317,0.3721518987341772,0.5962025316455696,4,275,46,667,151,437,0.7080679405520169,0.8114355231143552,0.9951338199513382,0.6278481012658228,True,True,True
0.05,0.45,592.0,0,696,884,0.0,0.44050632911392407,0.5594936708860759,0,244,0,640,182,514,0.7239819004524887,0.7785888077858881,1.0,0.5594936708860759,True,True,True
0.05,0.4,594.0,0,638,942,0.0,0.40379746835443037,0.5962025316455696,0,275,0,667,155,483,0.7080679405520169,0.8114355231143552,1.0,0.5962025316455696,True,True,True
0.1,0.35,595.0,50,528,1002,0.03164556962025317,0.3341772151898734,0.6341772151898735,4,311,46,691,127,401,0.689620758483034,0.8406326034063261,0.9951338199513382,0.6658227848101266,True,True,True
0.1,0.3,599.5,50,445,1085,0.03164556962025317,0.28164556962025317,0.6867088607594937,4,357,46,728,90,355,0.6709677419354839,0.8856447688564477,0.9951338199513382,0.7183544303797469,True,True,True
0.05,0.35,600.0,0,578,1002,0.0,0.3658227848101266,0.6341772151898735,0,311,0,691,131,447,0.689620758483034,0.8406326034063261,1.0,0.6341772151898735,True,True,True
0.05,0.3,604.5,0,495,1085,0.0,0.31329113924050633,0.6867088607594937,0,357,0,728,94,401,0.6709677419354839,0.8856447688564477,1.0,0.6867088607594937,True,True,True
0.1,0.25,619.0,50,352,1178,0.03164556962025317,0.22278481012658227,0.7455696202531645,4,423,46,755,63,289,0.6409168081494058,0.9184914841849149,0.9951338199513382,0.7772151898734178,True,True,True
