threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,fn_cost_component,fp_cost_component,expected_cost
0.2,0.6440506329113924,0.599024984765387,0.9562256809338522,0.7366054702135632,0.3051742344244984,0.5401994447572425,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,289,658,45,983,225.0,658.0,883.0
0.15,0.5939240506329114,0.5635545556805399,0.9747081712062257,0.714183891660727,0.1805702217529039,0.4195274372661168,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,171,776,26,1002,130.0,776.0,906.0
0.1,0.5448101265822785,0.5336814621409922,0.9941634241245136,0.6945293917770982,0.057022175290390706,0.23809527722683424,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,54,893,6,1022,30.0,893.0,923.0
0.25,0.6724050632911392,0.6255767963085036,0.9231517509727627,0.7457760314341847,0.40021119324181625,0.6078286467418933,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,379,568,79,949,395.0,568.0,963.0
0.3,0.6977215189873418,0.6508047585724283,0.9046692607003891,0.757020757020757,0.4730728616684266,0.6541975817923763,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,448,499,98,930,490.0,499.0,989.0
0.35,0.7184810126582278,0.6774436090225564,0.8764591439688716,0.7642069550466497,0.5469904963041182,0.6923978784989275,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,518,429,127,901,635.0,429.0,1064.0
0.4,0.7291139240506329,0.6992724333063864,0.8414396887159533,0.7637969094922737,0.6071805702217529,0.7147767693495409,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,575,372,163,865,815.0,372.0,1187.0
0.45,0.7265822784810126,0.7118055555555556,0.7976653696498055,0.7522935779816514,0.6494192185850053,0.7197355215982438,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,615,332,208,820,1040.0,332.0,1372.0
0.5,0.7326582278481013,0.7345215759849906,0.7616731517509727,0.7478510028653295,0.7011615628299894,0.7307913090940229,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,664,283,245,783,1225.0,283.0,1508.0
0.55,0.7341772151898734,0.7558494404883012,0.7227626459143969,0.7389358528095475,0.7465681098204857,0.7345689500715126,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,707,240,285,743,1425.0,240.0,1665.0
0.6,0.7286075949367089,0.7764044943820225,0.6721789883268483,0.7205422314911366,0.7898627243928195,0.7286488365457352,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,748,199,337,691,1685.0,199.0,1884.0
0.65,0.719493670886076,0.8062015503875969,0.6070038910505836,0.6925638179800222,0.8416050686378036,0.7147429967415143,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,797,150,404,624,2020.0,150.0,2170.0
0.7,0.6946835443037974,0.8304821150855366,0.519455252918288,0.6391382405745063,0.8848996832101372,0.6779865697410493,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,838,109,494,534,2470.0,109.0,2579.0
0.75,0.6668354430379747,0.8585271317829457,0.43093385214007784,0.5738341968911918,0.9229144667370645,0.6306465621461905,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,874,73,585,443,2925.0,73.0,2998.0
0.8,0.6227848101265823,0.8713910761154856,0.3229571984435798,0.47125621007806956,0.9482576557550159,0.5533955510349866,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,898,49,696,332,3480.0,49.0,3529.0
0.85,0.5802531645569621,0.9061224489795918,0.21595330739299612,0.3487824037706206,0.9757127771911299,0.4590298479402293,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,924,23,806,222,4030.0,23.0,4053.0
0.9,0.5225316455696203,0.9207920792079208,0.09046692607003891,0.16474756421612047,0.9915522703273495,0.2995040666406444,0.8068085167578138,0.8131101716729346,0.17913737805526486,0.013467706403019376,1.0052845926746667,-0.0007042376768860055,939,8,935,93,4675.0,8.0,4683.0
