dataset,selection_split,threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,fn_cost_component,fp_cost_component,expected_cost
heloc,validation,0.1,0.5521783181357649,0.5377308707124011,0.9922103213242454,0.6974674880219028,0.07497360084477296,0.27274453355663775,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,71,876,8,1019,40.0,876.0,916.0
heloc,validation,0.15,0.6048632218844985,0.5710178263369753,0.9668938656280428,0.7180043383947939,0.2122492080253432,0.45301485320474283,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,201,746,34,993,170.0,746.0,916.0
heloc,validation,0.2,0.6499493414387031,0.6052631578947368,0.9406037000973709,0.7365611894776973,0.3347412882787751,0.5611228870135102,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,317,630,61,966,305.0,630.0,935.0
heloc,validation,0.25,0.6879432624113475,0.6389452332657201,0.9201557935735151,0.7541899441340782,0.43611404435058077,0.6334768066535379,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,413,534,82,945,410.0,534.0,944.0
heloc,validation,0.3,0.709726443768997,0.6656934306569343,0.8880233690360273,0.7609511889862328,0.5163674762407603,0.6771605318622392,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,489,458,115,912,575.0,458.0,1033.0
heloc,validation,0.35,0.7168186423505573,0.6822429906542056,0.8529698149951315,0.7581133708351363,0.5691657866948258,0.6967648353488026,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,539,408,151,876,755.0,408.0,1163.0
heloc,validation,0.4,0.7249240121580547,0.7023411371237458,0.8179162609542356,0.7557354925775979,0.6240760295670539,0.7144521906010575,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,591,356,187,840,935.0,356.0,1291.0
heloc,validation,0.45,0.729483282674772,0.717948717948718,0.7906523855890945,0.752548656163114,0.6631467793030623,0.7240984622630343,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,628,319,215,812,1075.0,319.0,1394.0
heloc,validation,0.5,0.7340425531914894,0.7395038167938931,0.7546251217137293,0.7469879518072289,0.7117212249208026,0.7328592743372395,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,674,273,252,775,1260.0,273.0,1533.0
heloc,validation,0.55,0.7350557244174265,0.7630480167014614,0.7117818889970788,0.7365239294710327,0.7602956705385427,0.7356389661866918,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,720,227,296,731,1480.0,227.0,1707.0
heloc,validation,0.6,0.7264437689969605,0.7782857142857142,0.6630963972736125,0.7160883280757098,0.795142555438226,0.7261240691713926,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,753,194,346,681,1730.0,194.0,1924.0
heloc,validation,0.65,0.7137791286727457,0.7946428571428571,0.6066212268743915,0.688017669795693,0.8299894403379092,0.7095697376513262,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,786,161,404,623,2020.0,161.0,2181.0
heloc,validation,0.7,0.6995947315096251,0.8268072289156626,0.5345666991236612,0.6493199290360734,0.8785638859556494,0.6853108757962099,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,832,115,478,549,2390.0,115.0,2505.0
heloc,validation,0.75,0.6702127659574468,0.8418181818181818,0.4508276533592989,0.5871908687381103,0.9081309398099261,0.6398519676749331,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,860,87,564,463,2820.0,87.0,2907.0
heloc,validation,0.8,0.6281661600810537,0.8617283950617284,0.33982473222979553,0.48743016759776536,0.9408658922914467,0.5654462838432034,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,891,56,678,349,3390.0,56.0,3446.0
heloc,validation,0.85,0.5800405268490375,0.889763779527559,0.22005842259006816,0.35284933645589384,0.9704329461457233,0.46211680705018776,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,919,28,801,226,4005.0,28.0,4033.0
heloc,validation,0.9,0.5243161094224924,0.9074074074074074,0.09542356377799416,0.1726872246696035,0.989440337909187,0.3072717416050447,0.803230413471949,0.8005854945352788,0.18062692067879327,0.021131553330152444,0.9319235162793418,0.0350492780305782,937,10,929,98,4645.0,10.0,4655.0
