fn_cost,fp_cost,threshold,expected_cost,precision,recall,f1,fp,fn
1.0,1.0,0.55,526.0,0.7550813008130082,0.7227626459143969,0.7385685884691849,241,285
1.0,1.0,0.5,529.0,0.7338331771321462,0.7616731517509727,0.7474940334128878,284,245
1.0,1.0,0.4,531.0,0.7005649717514124,0.8443579766536965,0.7657697397441553,371,160
1.0,1.0,0.6,537.0,0.7761529808773904,0.6712062256809338,0.7198748043818466,199,338
1.0,1.0,0.45,543.0,0.7103209019947961,0.796692607003891,0.7510316368638239,334,209
1.0,1.0,0.65,554.0,0.8062015503875969,0.6070038910505836,0.6925638179800222,150,404
1.0,1.0,0.35,559.0,0.6759189797449362,0.8764591439688716,0.7632359169843287,432,127
1.0,1.0,0.3,599.0,0.6501049685094472,0.9036964980544747,0.7562067562067563,500,99
1.0,1.0,0.7,603.0,0.827426810477658,0.5223735408560312,0.6404293381037567,112,491
1.0,1.0,0.25,641.0,0.628060886829914,0.9231517509727627,0.747538400945254,562,79
1.0,1.0,0.75,658.0,0.8557692307692307,0.43287937743190663,0.5749354005167958,75,583
1.0,1.0,0.2,700.0,0.6002444987775061,0.9552529182879378,0.7372372372372372,654,46
1.0,1.0,0.8,734.0,0.875,0.3336575875486381,0.4830985915492958,49,685
1.0,1.0,0.15,793.0,0.5664217071791973,0.9747081712062257,0.7164819449410083,767,26
1.0,1.0,0.85,827.0,0.9036144578313253,0.2188715953307393,0.3523884103367267,24,803
1.0,1.0,0.1,898.0,0.5339602925809822,0.9941634241245136,0.6947654656696125,892,6
1.0,1.0,0.9,941.0,0.9223300970873787,0.09241245136186771,0.16799292661361626,8,933
1.0,1.0,0.05,946.0,0.5207700101317123,1.0,0.6848767488341105,946,0
1.0,1.0,0.95,1021.0,1.0,0.006809338521400778,0.01352657004830918,0,1021
2.0,1.0,0.35,686.0,0.6759189797449362,0.8764591439688716,0.7632359169843287,432,127
2.0,1.0,0.4,691.0,0.7005649717514124,0.8443579766536965,0.7657697397441553,371,160
2.0,1.0,0.3,698.0,0.6501049685094472,0.9036964980544747,0.7562067562067563,500,99
2.0,1.0,0.25,720.0,0.628060886829914,0.9231517509727627,0.747538400945254,562,79
2.0,1.0,0.2,746.0,0.6002444987775061,0.9552529182879378,0.7372372372372372,654,46
2.0,1.0,0.45,752.0,0.7103209019947961,0.796692607003891,0.7510316368638239,334,209
2.0,1.0,0.5,774.0,0.7338331771321462,0.7616731517509727,0.7474940334128878,284,245
2.0,1.0,0.55,811.0,0.7550813008130082,0.7227626459143969,0.7385685884691849,241,285
2.0,1.0,0.15,819.0,0.5664217071791973,0.9747081712062257,0.7164819449410083,767,26
2.0,1.0,0.6,875.0,0.7761529808773904,0.6712062256809338,0.7198748043818466,199,338
2.0,1.0,0.1,904.0,0.5339602925809822,0.9941634241245136,0.6947654656696125,892,6
2.0,1.0,0.05,946.0,0.5207700101317123,1.0,0.6848767488341105,946,0
2.0,1.0,0.65,958.0,0.8062015503875969,0.6070038910505836,0.6925638179800222,150,404
2.0,1.0,0.7,1094.0,0.827426810477658,0.5223735408560312,0.6404293381037567,112,491
2.0,1.0,0.75,1241.0,0.8557692307692307,0.43287937743190663,0.5749354005167958,75,583
2.0,1.0,0.8,1419.0,0.875,0.3336575875486381,0.4830985915492958,49,685
2.0,1.0,0.85,1630.0,0.9036144578313253,0.2188715953307393,0.3523884103367267,24,803
2.0,1.0,0.9,1874.0,0.9223300970873787,0.09241245136186771,0.16799292661361626,8,933
2.0,1.0,0.95,2042.0,1.0,0.006809338521400778,0.01352657004830918,0,1021
3.0,1.0,0.2,792.0,0.6002444987775061,0.9552529182879378,0.7372372372372372,654,46
3.0,1.0,0.3,797.0,0.6501049685094472,0.9036964980544747,0.7562067562067563,500,99
3.0,1.0,0.25,799.0,0.628060886829914,0.9231517509727627,0.747538400945254,562,79
3.0,1.0,0.35,813.0,0.6759189797449362,0.8764591439688716,0.7632359169843287,432,127
3.0,1.0,0.15,845.0,0.5664217071791973,0.9747081712062257,0.7164819449410083,767,26
3.0,1.0,0.4,851.0,0.7005649717514124,0.8443579766536965,0.7657697397441553,371,160
3.0,1.0,0.1,910.0,0.5339602925809822,0.9941634241245136,0.6947654656696125,892,6
