decile,count,bad,good,bad_rate,cum_bad_rate,cum_good_rate,ks
1,600,423,177,0.705,0.31876412961567446,0.03787716670233255,0.2808869629133419
2,600,250,350,0.4166666666666667,0.5071590052750565,0.11277551893858336,0.3943834863364732
3,600,167,433,0.2783333333333333,0.6330067822155238,0.20543548041943077,0.427571301796093
4,600,107,493,0.17833333333333334,0.7136397889977393,0.31093515942649264,0.40270462957124664
5,600,109,491,0.18166666666666667,0.7957799547852299,0.4160068478493473,0.37977310693588257
6,600,90,510,0.15,0.8636021100226073,0.5251444468221699,0.33845766320043746
7,600,61,539,0.10166666666666667,0.9095704596834966,0.6404879092659962,0.2690825504175004
8,600,53,547,0.08833333333333333,0.9495101733232856,0.757543334046651,0.1919668392766346
9,600,42,558,0.07,0.9811605124340618,0.8769527070404451,0.10420780539361663
10,600,25,575,0.041666666666666664,1.0,1.0,0.0
