dataset,model,case_type,row_id,predicted_probability,threshold,rank,feature_rule,raw_feature,lime_weight,abs_lime_weight,lime_sign,explanation_png,explanation_html
taiwan,lightgbm,true_positive,27536,0.9708564540976952,0.17,1,PAY_0 > 0.00,PAY_0,0.076754416453586,0.076754416453586,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.html
taiwan,lightgbm,true_positive,27536,0.9708564540976952,0.17,2,payment_to_bill_ratio <= 0.04,payment_to_bill_ratio,0.06416755170321074,0.06416755170321074,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.html
taiwan,lightgbm,true_positive,27536,0.9708564540976952,0.17,3,recent_delay > 0.00,recent_delay,0.05991780125768688,0.05991780125768688,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.html
taiwan,lightgbm,true_positive,27536,0.9708564540976952,0.17,4,max_delay > 2.00,max_delay,0.058450399346925544,0.058450399346925544,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.html
taiwan,lightgbm,true_positive,27536,0.9708564540976952,0.17,5,delay_count > 1.00,delay_count,0.047128502233619494,0.047128502233619494,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.html
taiwan,lightgbm,true_positive,27536,0.9708564540976952,0.17,6,avg_delay > 0.33,avg_delay,0.044549466638713266,0.044549466638713266,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.html
taiwan,lightgbm,true_positive,27536,0.9708564540976952,0.17,7,LIMIT_BAL > 240000.00,LIMIT_BAL,-0.03817463415252225,0.03817463415252225,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.html
taiwan,lightgbm,true_positive,27536,0.9708564540976952,0.17,8,bill_volatility <= 1409.46,bill_volatility,0.03451525733132524,0.03451525733132524,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.html
taiwan,lightgbm,true_positive,27536,0.9708564540976952,0.17,9,total_pay_amt <= 6658.00,total_pay_amt,0.031161636581112918,0.031161636581112918,1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.html
taiwan,lightgbm,true_positive,27536,0.9708564540976952,0.17,10,BILL_AMT1 <= 3455.75,BILL_AMT1,-0.027438822363462807,0.027438822363462807,-1.0,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.png,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\lime\local_explanations\true_positive_row_27536.html
