dataset,selection_split,test_set_used,train_rows,validation_rows,test_rows_reserved,model,source_phase,model_family,calibration_method,scenario,fn_cost,fp_cost,manual_review_cost,max_review_rate_constraint,min_review_capture_recall_constraint,meets_review_rate_constraint,meets_review_capture_recall_constraint,meets_constraints,candidate_selection_policy,t_low,t_high,expected_policy_cost,expected_policy_cost_per_1000,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,auto_decision_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,manual_review_default_rate,high_risk_precision,high_risk_recall,review_capture_recall,is_best_band_for_scenario
heloc,validation,False,5922,1974,1975,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,True,True,highest_validation_pr_auc_with_brier_tiebreak,0.26,0.51,651.0,329.78723404255317,527,398,1049,0.2669706180344478,0.2016210739614995,0.5314083080040527,0.7983789260385005,91,270,436,779,157,241,0.3944723618090452,0.7426120114394662,0.7585199610516066,0.9113924050632911,True
heloc,validation,False,5922,1974,1975,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,True,True,highest_validation_pr_auc_with_brier_tiebreak,0.26,0.53,651.0,329.78723404255317,527,436,1011,0.2669706180344478,0.22087132725430597,0.5121580547112462,0.779128672745694,91,251,436,760,176,260,0.4036697247706422,0.751730959446093,0.7400194741966893,0.9113924050632911,False
heloc,validation,False,5922,1974,1975,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,True,True,highest_validation_pr_auc_with_brier_tiebreak,0.26,0.48,651.5,330.0405268490375,527,357,1090,0.2669706180344478,0.18085106382978725,0.5521783181357649,0.8191489361702128,91,291,436,799,137,220,0.38375350140056025,0.7330275229357798,0.7779941577409932,0.9113924050632911,False
heloc,validation,False,5922,1974,1975,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,True,True,highest_validation_pr_auc_with_brier_tiebreak,0.26,0.49,651.5,330.0405268490375,527,375,1072,0.2669706180344478,0.1899696048632219,0.5430597771023303,0.8100303951367781,91,282,436,790,146,229,0.3893333333333333,0.7369402985074627,0.7692307692307693,0.9113924050632911,False
heloc,validation,False,5922,1974,1975,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,True,True,highest_validation_pr_auc_with_brier_tiebreak,0.26,0.47,652.0,330.2938196555218,527,342,1105,0.2669706180344478,0.17325227963525835,0.5597771023302939,0.8267477203647416,91,299,436,806,130,212,0.38011695906432746,0.7294117647058823,0.7848101265822784,0.9113924050632911,False
heloc,validation,False,5922,1974,1975,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,True,True,highest_validation_pr_auc_with_brier_tiebreak,0.26,0.5,652.0,330.2938196555218,527,386,1061,0.2669706180344478,0.1955420466058764,0.5374873353596757,0.8044579533941236,91,277,436,784,152,234,0.39378238341968913,0.7389255419415646,0.7633885102239533,0.9113924050632911,False
heloc,validation,False,5922,1974,1975,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,True,True,highest_validation_pr_auc_with_brier_tiebreak,0.26,0.52,652.5,330.54711246200606,527,417,1030,0.2669706180344478,0.21124620060790272,0.5217831813576495,0.7887537993920972,91,262,436,768,168,249,0.4028776978417266,0.7456310679611651,0.747809152872444,0.9113924050632911,False
heloc,validation,False,5922,1974,1975,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,True,True,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.51,652.5,330.54711246200606,480,445,1049,0.24316109422492402,0.2254305977710233,0.5314083080040527,0.7745694022289767,80,270,400,779,168,277,0.3775280898876405,0.7426120114394662,0.7585199610516066,0.9221032132424537,False
heloc,validation,False,5922,1974,1975,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,True,True,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.53,652.5,330.54711246200606,480,483,1011,0.24316109422492402,0.24468085106382978,0.5121580547112462,0.7553191489361702,80,251,400,760,187,296,0.38716356107660455,0.751730959446093,0.7400194741966893,0.9221032132424537,False
heloc,validation,False,5922,1974,1975,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,True,True,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.48,653.0,330.80040526849035,480,404,1090,0.24316109422492402,0.20466058763931105,0.5521783181357649,0.795339412360689,80,291,400,799,148,256,0.36633663366336633,0.7330275229357798,0.7779941577409932,0.9221032132424537,False
