dataset,selection_split,test_set_used,train_rows,validation_rows,test_rows_reserved,model,source_phase,model_family,calibration_method,scenario,fn_cost,fp_cost,manual_review_cost,max_review_rate_constraint,min_review_capture_recall_constraint,meets_review_rate_constraint,meets_review_capture_recall_constraint,meets_constraints,candidate_selection_policy,t_low,t_high,expected_policy_cost,expected_policy_cost_per_1000,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,auto_decision_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,manual_review_default_rate,high_risk_precision,high_risk_recall,review_capture_recall,is_best_band_for_scenario
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.46,1727.5,287.91666666666663,4575,651,774,0.7625,0.1085,0.129,0.8915,572,258,4003,516,239,412,0.3671274961597542,0.6666666666666666,0.3888470233609646,0.5689525244913338,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.47,1729.0,288.1666666666667,4575,666,759,0.7625,0.111,0.1265,0.889,572,252,4003,507,248,418,0.37237237237237236,0.6679841897233202,0.38206480783722685,0.5689525244913338,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.25,0.46,1729.5,288.25,4623,603,774,0.7705,0.1005,0.129,0.8995,585,258,4038,516,226,377,0.3747927031509121,0.6666666666666666,0.3888470233609646,0.5591559909570459,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.49,1730.0,288.3333333333333,4575,700,725,0.7625,0.11666666666666667,0.12083333333333333,0.8833333333333333,572,236,4003,489,266,434,0.38,0.6744827586206896,0.36850037678975134,0.5689525244913338,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.48,1730.5,288.41666666666663,4575,681,744,0.7625,0.1135,0.124,0.8865,572,246,4003,498,257,424,0.37738619676945667,0.6693548387096774,0.3752825923134891,0.5689525244913338,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.5,1730.5,288.41666666666663,4575,723,702,0.7625,0.1205,0.117,0.8795,572,225,4003,477,278,445,0.38450899031811897,0.6794871794871795,0.359457422758101,0.5689525244913338,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.25,0.47,1731.0,288.5,4623,618,759,0.7705,0.103,0.1265,0.897,585,252,4038,507,235,383,0.3802588996763754,0.6679841897233202,0.38206480783722685,0.5591559909570459,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.45,1731.0,288.5,4575,628,797,0.7625,0.10466666666666667,0.13283333333333333,0.8953333333333333,572,273,4003,524,231,397,0.3678343949044586,0.657465495608532,0.3948756593820648,0.5689525244913338,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.51,1731.0,288.5,4575,738,687,0.7625,0.123,0.1145,0.877,572,218,4003,469,286,452,0.3875338753387534,0.6826783114992722,0.35342878673700073,0.5689525244913338,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.22,0.46,1731.0,288.5,4460,766,774,0.7433333333333333,0.12766666666666668,0.129,0.8723333333333333,545,258,3915,516,266,500,0.3472584856396867,0.6666666666666666,0.3888470233609646,0.5892991710625471,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.53,1731.5,288.58333333333337,4575,767,658,0.7625,0.12783333333333333,0.10966666666666666,0.8721666666666666,572,204,4003,454,301,466,0.3924380704041721,0.6899696048632219,0.3421250941974378,0.5689525244913338,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.44,1732.0,288.6666666666667,4575,610,815,0.7625,0.10166666666666667,0.13583333333333333,0.8983333333333333,572,283,4003,532,223,387,0.3655737704918033,0.652760736196319,0.400904295403165,0.5689525244913338,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.25,0.49,1732.0,288.6666666666667,4623,652,725,0.7705,0.10866666666666666,0.12083333333333333,0.8913333333333333,585,236,4038,489,253,399,0.3880368098159509,0.6744827586206896,0.36850037678975134,0.5591559909570459,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.25,0.48,1732.5,288.75,4623,633,744,0.7705,0.1055,0.124,0.8945,585,246,4038,498,244,389,0.3854660347551343,0.6693548387096774,0.3752825923134891,0.5591559909570459,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.25,0.5,1732.5,288.75,4623,675,702,0.7705,0.1125,0.117,0.8875,585,225,4038,477,265,410,0.3925925925925926,0.6794871794871795,0.359457422758101,0.5591559909570459,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.52,1732.5,288.75,4575,755,670,0.7625,0.12583333333333332,0.11166666666666666,0.8741666666666666,572,211,4003,459,296,459,0.3920529801324503,0.6850746268656717,0.3458929917106255,0.5689525244913338,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.22,0.47,1732.5,288.75,4460,781,759,0.7433333333333333,0.13016666666666668,0.1265,0.8698333333333333,545,252,3915,507,275,506,0.352112676056338,0.6679841897233202,0.38206480783722685,0.5892991710625471,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.25,0.45,1733.0,288.8333333333333,4623,580,797,0.7705,0.09666666666666666,0.13283333333333333,0.9033333333333333,585,273,4038,524,218,362,0.3758620689655172,0.657465495608532,0.3948756593820648,0.5591559909570459,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.24,0.43,1733.0,288.8333333333333,4575,594,831,0.7625,0.099,0.1385,0.901,572,292,4003,539,216,378,0.36363636363636365,0.6486161251504212,0.40617935192162774,0.5689525244913338,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.25,0.51,1733.0,288.8333333333333,4623,690,687,0.7705,0.115,0.1145,0.885,585,218,4038,469,273,417,0.39565217391304347,0.6826783114992722,0.35342878673700073,0.5591559909570459,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.25,0.53,1733.5,288.91666666666663,4623,719,658,0.7705,0.11983333333333333,0.10966666666666666,0.8801666666666667,585,204,4038,454,288,431,0.40055632823365783,0.6899696048632219,0.3421250941974378,0.5591559909570459,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.22,0.49,1733.5,288.91666666666663,4460,815,725,0.7433333333333333,0.13583333333333333,0.12083333333333333,0.8641666666666666,545,236,3915,489,293,522,0.3595092024539877,0.6744827586206896,0.36850037678975134,0.5892991710625471,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.25,0.44,1734.0,289.0,4623,562,815,0.7705,0.09366666666666666,0.13583333333333333,0.9063333333333333,585,283,4038,532,210,352,0.3736654804270463,0.652760736196319,0.400904295403165,0.5591559909570459,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.22,0.48,1734.0,289.0,4460,796,744,0.7433333333333333,0.13266666666666665,0.124,0.8673333333333333,545,246,3915,498,284,512,0.35678391959798994,0.6693548387096774,0.3752825923134891,0.5892991710625471,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.22,0.5,1734.0,289.0,4460,838,702,0.7433333333333333,0.13966666666666666,0.117,0.8603333333333333,545,225,3915,477,305,533,0.3639618138424821,0.6794871794871795,0.359457422758101,0.5892991710625471,False
taiwan,validation,False,18000,6000,6000,catboost,phase7_model_pool,boosting,sigmoid,A_FN2_FP1,2.0,1.0,0.5,0.45,0.75,True,False,False,highest_validation_pr_auc_with_brier_tiebreak,0.25,0.52,1734.5,289.08333333333337,4623,707,670,0.7705,0.11783333333333333,0.11166666666666666,0.8821666666666667,585,211,4038,459,283,424,0.4002828854314003,0.6850746268656717,0.3458929917106255,0.5591559909570459,False
