dataset,model,source_model,split,selection_split,calibration_type,cost_scenario,fn_cost,fp_cost,threshold_only_threshold,low_risk_threshold,high_risk_threshold,test_set_used_for_band_selection,valid_for_band_selection,selection_objective_validation,guidelines_met_count_validation,selection_policy,low_risk_count,manual_review_count,high_risk_count,auto_decision_rate,manual_review_rate,default_rate_low_risk,default_rate_manual_review,default_rate_high_risk,captured_defaults_high_risk,captured_defaults_high_risk_rate,remaining_expected_cost,no_review_expected_cost,threshold_only_expected_cost,cost_reduction_vs_no_review,cost_reduction_vs_threshold_only,cost_reduction_pct_vs_no_review,cost_reduction_pct_vs_threshold_only,low_risk_default_count,manual_review_default_count,high_risk_default_count,high_risk_non_default_count,overall_default_rate,band_rank_within_split
taiwan,Best CatBoost,catboost,test,validation,isotonic,B_FN5_FP1,5.0,1.0,0.15,0.14,0.28,False,False,2650.5,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",2786,1771,1443,0.7048333333333333,0.2951666666666667,0.08183776022972003,0.18972332015810275,0.5287595287595288,763,0.5749811605124341,1820.0,6635.0,3247.0,4815.0,1427.0,0.7256970610399397,0.4394825993224515,228,336,763,680,0.22116666666666668,1
taiwan,SCRE-Pareto,SCRE-Pareto,test,validation,weighted_sum_of_calibrated_pareto_front_probabilities,B_FN5_FP1,5.0,1.0,0.16,0.14,0.25,False,False,2651.5,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",2702,1741,1557,0.7098333333333333,0.2901666666666667,0.07994078460399703,0.1855255600229753,0.5061014771997431,788,0.5938206480783723,1849.0,6635.0,3307.0,4786.0,1458.0,0.721326299924642,0.44088297550650135,216,323,788,769,0.22116666666666668,2
taiwan,Old SCRE-Credit,SCRE-Credit,test,validation,weighted_sum_plus_isotonic,B_FN5_FP1,5.0,1.0,0.16,0.11,0.23,False,False,2660.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",2667,1742,1591,0.7096666666666667,0.29033333333333333,0.08136482939632546,0.17853042479908152,0.5021998742928976,799,0.6021100226073851,1877.0,6635.0,3370.0,4758.0,1493.0,0.7171062547098719,0.443026706231454,217,311,799,792,0.22116666666666668,3
taiwan,SCRE-Optimized,SCRE-Optimized,test,validation,validation_optimized_weighted_sum_A_cost_heavy,B_FN5_FP1,5.0,1.0,0.16,0.15,0.29,False,False,2655.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",2917,1715,1368,0.7141666666666666,0.28583333333333333,0.08776139869729174,0.1924198250728863,0.5416666666666666,741,0.5584024114544084,1907.0,6635.0,3312.0,4728.0,1405.0,0.7125847776940467,0.4242149758454106,256,330,741,627,0.22116666666666668,4
taiwan,Best Scorecard,woe_scorecard_logistic_regression,test,validation,isotonic,B_FN5_FP1,5.0,1.0,0.16,0.13,0.26,False,False,2864.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",2635,1696,1669,0.7173333333333334,0.2826666666666667,0.08690702087286528,0.17511792452830188,0.4799281006590773,801,0.6036171816126601,2013.0,6635.0,3395.0,4622.0,1382.0,0.6966088922381312,0.40706921944035346,229,297,801,868,0.22116666666666668,5
taiwan,SCRE-Pareto,SCRE-Pareto,validation,validation,weighted_sum_of_calibrated_pareto_front_probabilities,B_FN5_FP1,5.0,1.0,0.16,0.14,0.25,False,True,2651.5,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",2689,1789,1522,0.7018333333333333,0.2981666666666667,0.07512086277426552,0.1956400223588597,0.5091984231274639,775,0.5840241145440844,1757.0,6635.0,3180.0,4878.0,1423.0,0.7351921627731726,0.44748427672955976,202,350,775,747,0.22116666666666668,1
taiwan,Best CatBoost,catboost,validation,validation,isotonic,B_FN5_FP1,5.0,1.0,0.15,0.14,0.28,False,True,2650.5,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",2797,1781,1422,0.7031666666666667,0.29683333333333334,0.07794065069717554,0.2004491858506457,0.5288326300984529,752,0.5666917859834213,1760.0,6635.0,3173.0,4875.0,1413.0,0.73474001507159,0.44531988654270405,218,357,752,670,0.22116666666666668,2
taiwan,Old SCRE-Credit,SCRE-Credit,validation,validation,weighted_sum_plus_isotonic,B_FN5_FP1,5.0,1.0,0.16,0.11,0.23,False,True,2660.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",2648,1792,1560,0.7013333333333334,0.2986666666666667,0.07515105740181269,0.18805803571428573,0.507051282051282,791,0.5960813865862848,1764.0,6635.0,3155.0,4871.0,1391.0,0.73413715146948,0.4408874801901743,199,337,791,769,0.22116666666666668,3
taiwan,SCRE-Optimized,SCRE-Optimized,validation,validation,validation_optimized_weighted_sum_A_cost_heavy,B_FN5_FP1,5.0,1.0,0.16,0.15,0.29,False,True,2655.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",2909,1740,1351,0.71,0.29,0.0800962530079065,0.20862068965517241,0.5410806809770541,731,0.5508666164280331,1785.0,6635.0,3107.0,4850.0,1322.0,0.7309721175584024,0.42549082716446734,233,363,731,620,0.22116666666666668,4
taiwan,Best Scorecard,woe_scorecard_logistic_regression,validation,validation,isotonic,B_FN5_FP1,5.0,1.0,0.16,0.13,0.26,False,True,2864.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",2616,1746,1638,0.709,0.291,0.0871559633027523,0.17869415807560138,0.4804639804639805,787,0.5930670685757348,1991.0,6635.0,3316.0,4644.0,1325.0,0.6999246420497363,0.39957780458383596,228,312,787,851,0.22116666666666668,5
