dataset,model,model_family,split,train_rows,validation_rows,test_rows_reserved,test_set_used,resampling,monotonic_constraints,constraint_summary,model_path,threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp
heloc,catboost,boosting,test,5922,1974,1975,True,none,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\heloc\catboost.joblib,0.5,0.7316455696202532,0.7305555555555555,0.7675097276264592,0.7485768500948766,0.6927138331573389,0.7291533483497622,0.8043134370672901,0.8109210726618248,0.1800462707161693,0.021453341923965332,0.9724454485129499,-0.018122045309766986,656,291,239,789
heloc,monotonic_xgboost,monotonic,test,5922,1974,1975,True,none,True,"{'ExternalRiskEstimate': -1, 'NumTrades60Ever2DerogPubRec': 1, 'NumTrades90Ever2DerogPubRec': 1, 'PercentTradesNeverDelq': -1, 'MSinceMostRecentDelq': -1, 'NumInqLast6M': 1, 'NumInqLast6Mexcl7days': 1, 'NetFractionRevolvingBurden': 1, 'NetFractionInstallBurden': 1, 'NumBank2NatlTradesWHighUtilization': 1, 'delinquency_intensity': 1, 'trade_activity_ratio': 1, 'recent_inquiry_pressure': 1, 'revolving_burden_proxy': 1, 'installment_burden_proxy': 1, 'credit_history_length_proxy': -1, 'negative_trade_signal': 1, 'high_utilization_signal': 1}",C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\monotonic\heloc\monotonic_xgboost.joblib,0.5,0.7275949367088608,0.7294007490636704,0.7577821011673151,0.7433206106870229,0.6948257655755016,0.7256214774818838,0.7966617908693848,0.8011806355187886,0.18430259114005915,0.029464232861241214,0.8477892180343897,0.0006443523178428295,658,289,249,779
heloc,smotenc_xgboost,boosting,test,5922,1974,1975,True,SMOTENC train split only,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\heloc\smotenc_xgboost.joblib,0.5,0.7351898734177216,0.7366447985004686,0.7645914396887159,0.7503579952267303,0.7032734952481521,0.7332918206462553,0.7957383340386803,0.7977580924213039,0.18434341717791045,0.02594235337987731,0.8706380456024683,0.026247293639678905,666,281,242,786
heloc,xgboost,boosting,test,5922,1974,1975,True,none,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\heloc\xgboost.joblib,0.5,0.7250632911392405,0.7268475210477081,0.7558365758754864,0.7410586552217453,0.6916578669482577,0.7230354858729368,0.7953048537466257,0.7999353774409995,0.18428235203128765,0.03449488097731071,0.8816059638331141,-0.009193872795786399,655,292,251,777
heloc,monotonic_lightgbm,monotonic,test,5922,1974,1975,True,none,True,"{'ExternalRiskEstimate': -1, 'NumTrades60Ever2DerogPubRec': 1, 'NumTrades90Ever2DerogPubRec': 1, 'PercentTradesNeverDelq': -1, 'MSinceMostRecentDelq': -1, 'NumInqLast6M': 1, 'NumInqLast6Mexcl7days': 1, 'NetFractionRevolvingBurden': 1, 'NetFractionInstallBurden': 1, 'NumBank2NatlTradesWHighUtilization': 1, 'delinquency_intensity': 1, 'trade_activity_ratio': 1, 'recent_inquiry_pressure': 1, 'revolving_burden_proxy': 1, 'installment_burden_proxy': 1, 'credit_history_length_proxy': -1, 'negative_trade_signal': 1, 'high_utilization_signal': 1}",C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\monotonic\heloc\monotonic_lightgbm.joblib,0.5,0.7215189873417721,0.7237827715355806,0.7519455252918288,0.7375954198473282,0.6884899683210137,0.7195185549291271,0.7904831559008789,0.7955928345371786,0.18996788198654607,0.05624267318679159,0.6945325986265964,0.024486082541410905,652,295,255,773
heloc,lightgbm,boosting,test,5922,1974,1975,True,none,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\heloc\lightgbm.joblib,0.5,0.7189873417721518,0.7208216619981326,0.7509727626459144,0.7355883754168652,0.6842661034846885,0.7168439203333259,0.7812496147983186,0.789302612784146,0.19455234165444965,0.06270749547892933,0.6707497607306778,-0.021360323589908317,648,299,256,772
heloc,class_weighted_lightgbm,boosting,test,5922,1974,1975,True,none,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\heloc\class_weighted_lightgbm.joblib,0.5,0.719493670886076,0.7265774378585086,0.7392996108949417,0.7328833172613307,0.6979936642027456,0.7183498063981255,0.7797149712999066,0.7881301498675422,0.195182595524245,0.06396392875540718,0.6650543408208109,0.02926245742226716,661,286,268,760
heloc,catboost,boosting,validation,5922,1974,1975,False,none,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\heloc\catboost.joblib,0.5,0.7345491388044579,0.735266604303087,0.7653359298928919,0.75,0.7011615628299894,0.7325463375743839,0.8038750978079703,0.8000811547734793,0.1803555340356145,0.019158682913405067,0.9453329076718113,0.0188092124492202,664,283,241,786
heloc,monotonic_xgboost,monotonic,validation,5922,1974,1975,False,none,True,"{'ExternalRiskEstimate': -1, 'NumTrades60Ever2DerogPubRec': 1, 'NumTrades90Ever2DerogPubRec': 1, 'PercentTradesNeverDelq': -1, 'MSinceMostRecentDelq': -1, 'NumInqLast6M': 1, 'NumInqLast6Mexcl7days': 1, 'NetFractionRevolvingBurden': 1, 'NetFractionInstallBurden': 1, 'NumBank2NatlTradesWHighUtilization': 1, 'delinquency_intensity': 1, 'trade_activity_ratio': 1, 'recent_inquiry_pressure': 1, 'revolving_burden_proxy': 1, 'installment_burden_proxy': 1, 'credit_history_length_proxy': -1, 'negative_trade_signal': 1, 'high_utilization_signal': 1}",C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\monotonic\heloc\monotonic_xgboost.joblib,0.5,0.7330293819655522,0.7349624060150376,0.7614410905550146,0.7479674796747967,0.7022175290390708,0.7312299782683678,0.7977356876478687,0.7962919026996237,0.18371605605590163,0.03295683997410531,0.8257141988577927,0.02098537878087202,665,282,245,782
heloc,smotenc_xgboost,boosting,validation,5922,1974,1975,False,SMOTENC train split only,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\heloc\smotenc_xgboost.joblib,0.5,0.7239108409321175,0.7317307692307692,0.7409931840311588,0.7363328495403967,0.7053854276663146,0.7229701197253197,0.794998606782655,0.790415739664049,0.1849488588590492,0.029299365954800094,0.8479535906014386,0.051609278602609936,668,279,266,761
