dataset,model,model_family,split,train_rows,validation_rows,test_rows_reserved,test_set_used,resampling,monotonic_constraints,constraint_summary,model_path,threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp
taiwan,catboost,boosting,test,18000,6000,6000,True,none,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\taiwan\catboost.joblib,0.5,0.8183333333333334,0.6657342657342658,0.35870384325546345,0.46620959843290893,0.9488551251872459,0.5834020741283913,0.7846999332857179,0.5645652938868492,0.13411806120978428,0.013056457508579426,0.9704499046849486,-0.02582277571693678,4434,239,851,476
taiwan,xgboost,boosting,test,18000,6000,6000,True,none,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\taiwan\xgboost.joblib,0.5,0.8185,0.6639118457300276,0.3632253202712886,0.4695567462250365,0.947785148726728,0.5867363668587765,0.7829107262277759,0.5631401607278714,0.1344234312575367,0.013529349861045677,0.9298672677532354,-0.07594451104091629,4429,244,845,482
taiwan,monotonic_xgboost,monotonic,test,18000,6000,6000,True,none,True,"{'PAY_0': 1, 'PAY_2': 1, 'PAY_3': 1, 'PAY_4': 1, 'PAY_5': 1, 'PAY_6': 1, 'delay_count': 1, 'max_delay': 1, 'avg_delay': 1, 'recent_delay': 1, 'severe_delay_count': 1, 'payment_to_bill_ratio': -1, 'utilization_proxy': 1, 'recent_payment_intensity': -1}",C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\monotonic\taiwan\monotonic_xgboost.joblib,0.5,0.8175,0.6546666666666666,0.3700075357950264,0.47279730380356283,0.9445752193451744,0.59118520725992,0.7816864215874968,0.5635022731923726,0.13442970161753753,0.016439164803052943,0.9253968069270452,-0.075769901432883,4414,259,836,491
taiwan,lightgbm,boosting,test,18000,6000,6000,True,none,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\taiwan\lightgbm.joblib,0.5,0.8158333333333333,0.6504065040650406,0.3617181612660136,0.4648910411622276,0.9447892146372779,0.5845916673222064,0.7785942944372028,0.5567928574197627,0.13634543239616476,0.028819742008980125,0.8106326236008133,-0.1648565278169105,4415,258,847,480
taiwan,monotonic_lightgbm,monotonic,test,18000,6000,6000,True,none,True,"{'PAY_0': 1, 'PAY_2': 1, 'PAY_3': 1, 'PAY_4': 1, 'PAY_5': 1, 'PAY_6': 1, 'delay_count': 1, 'max_delay': 1, 'avg_delay': 1, 'recent_delay': 1, 'severe_delay_count': 1, 'payment_to_bill_ratio': -1, 'utilization_proxy': 1, 'recent_payment_intensity': -1}",C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\monotonic\taiwan\monotonic_lightgbm.joblib,0.5,0.8155,0.6486486486486487,0.3617181612660136,0.4644412191582003,0.9443612240530709,0.5844592419796257,0.7769670755261469,0.5509065426967457,0.13647195314444052,0.02377423076867613,0.8136978858814816,-0.15814557207363125,4413,260,847,480
taiwan,class_weighted_lightgbm,boosting,test,18000,6000,6000,True,none,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\taiwan\class_weighted_lightgbm.joblib,0.5,0.7668333333333334,0.4782345828295042,0.5960813865862848,0.5306943978530695,0.8153220629146158,0.6971357871867822,0.7746808575486395,0.5543447194154771,0.1660538794497068,0.14580329454802915,0.7923314709759396,-1.0020841244431906,3810,863,536,791
taiwan,smotenc_xgboost,boosting,test,18000,6000,6000,True,SMOTENC train split only,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\taiwan\smotenc_xgboost.joblib,0.5,0.8041666666666667,0.5722433460076045,0.45365486058779203,0.5060949978982766,0.9037021185533918,0.6402881059376562,0.7692305087298629,0.5400883180106244,0.14644361175618753,0.08311316152413686,0.9613767463839138,-0.5679089211663698,4223,450,725,602
taiwan,xgboost,boosting,validation,18000,6000,6000,False,none,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\taiwan\xgboost.joblib,0.5,0.8226666666666667,0.6808803301237965,0.3730218538055765,0.4819863680623174,0.9503530922319708,0.5954011019759972,0.7881161979922501,0.5628599438263847,0.1330953834197962,0.006847216164072351,0.9588913335125454,-0.021717425949554538,4441,232,832,495
taiwan,monotonic_xgboost,monotonic,validation,18000,6000,6000,False,none,True,"{'PAY_0': 1, 'PAY_2': 1, 'PAY_3': 1, 'PAY_4': 1, 'PAY_5': 1, 'PAY_6': 1, 'delay_count': 1, 'max_delay': 1, 'avg_delay': 1, 'recent_delay': 1, 'severe_delay_count': 1, 'payment_to_bill_ratio': -1, 'utilization_proxy': 1, 'recent_payment_intensity': -1}",C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\monotonic\taiwan\monotonic_xgboost.joblib,0.5,0.822,0.6776406035665294,0.37226827430293896,0.4805447470817121,0.9497111063556601,0.59459844823995,0.7874232531767495,0.5589872672187843,0.13340275916161048,0.009495804830143846,0.9531711187420991,-0.025837476532831912,4438,235,833,494
taiwan,catboost,boosting,validation,18000,6000,6000,False,none,False,,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\boosting\taiwan\catboost.joblib,0.5,0.8225,0.6824512534818942,0.36925395629238883,0.4792176039119804,0.9512090734003852,0.5926531140678412,0.7866456455667092,0.559605049583891,0.1333300274296045,0.01105268620304278,0.9908540267666578,0.01356819018030262,4445,228,837,490
