model,imbalance_strategy,best_threshold,best_expected_cost,best_precision,best_recall,best_f1,best_fp,best_fn,roc_auc,pr_auc,brier_score,threshold_050_cost,threshold_050_recall,threshold_050_f1
lightgbm,no_resampling,0.35,3321.0,0.3691348973607038,0.758854559155991,0.4966707768187423,1721.0,320.0,0.7772630727821049,0.5552403877450245,0.16782584334793166,3430,0.6156744536548606,0.5403439153439153
hist_gradient_boosting,no_resampling,0.15,3343.0,0.35354223433242504,0.7822155237377544,0.48698099929627026,1898.0,289.0,0.7810282288333741,0.5583380436785471,0.13440857445460236,4451,0.3654860587792012,0.47247929858743304
xgboost,no_resampling,0.15,3350.0,0.35776614310645727,0.7724189902034665,0.4890267175572519,1840.0,302.0,0.7804210756496741,0.5636680556487046,0.13470539167824133,4453,0.36699321778447624,0.471214320270924
random_forest,no_resampling,0.2,3458.0,0.40877914951989025,0.6737000753579503,0.5088218554354013,1293.0,433.0,0.763110194996961,0.5403959665010036,0.13857230394000658,4578,0.34890730972117556,0.4521484375
xgboost,smotenc,0.3,3506.0,0.39389978213507626,0.6812358703843255,0.4991717283268912,1391.0,423.0,0.766674901803253,0.5343779729124719,0.1466085629941746,4018,0.46269781461944237,0.5129490392648287
lightgbm,smotenc,0.2,3519.0,0.33195416931890515,0.785983421250942,0.4667710897292459,2099.0,284.0,0.7616481088508743,0.526998882316858,0.14545108793997122,4137,0.43933685003767897,0.5010743446497636
logistic_regression,no_resampling,0.15,3520.0,0.36891312816517335,0.7136397889977393,0.48638931689779147,1620.0,380.0,0.7609783858304477,0.530380827659217,0.13781285832169826,4461,0.36397889977392617,0.4709897610921502
logistic_regression_balanced,no_resampling,0.4,3551.0,0.382996632996633,0.6857573474001507,0.4914933837429111,1466.0,417.0,0.7614507235927472,0.5269714275862533,0.18698980684723165,3648,0.5945742275810098,0.5133376707872479
random_forest,smotenc,0.25,3552.0,0.3577538118259576,0.7249434815373021,0.47908366533864544,1727.0,365.0,0.7521052411752744,0.5202051182971521,0.14854792668717456,4106,0.45139412207987945,0.5008361204013378
logistic_regression,smotenc,0.35,3709.0,0.3609561752988048,0.6827430293896006,0.472243940578577,1604.0,421.0,0.7367427336342384,0.4994835007289878,0.16903561532217823,3990,0.4717407686510927,0.5135356849876949
