dataset,study_name,trial_number,state,objective,primary_metric_pr_auc,cv_n_splits,cv_n_repeats,cv_total_folds,metric_pr_auc,metric_roc_auc,metric_recall,metric_brier_score,metric_fn_weighted_cost,metric_fn,metric_fp,metric_tp,metric_tn,metric_pr_auc_std,param_model_type,param_lgbm_n_estimators,param_lgbm_learning_rate,param_lgbm_num_leaves,param_lgbm_max_depth,param_lgbm_min_child_samples,param_lgbm_subsample,param_lgbm_colsample_bytree,param_lgbm_reg_alpha,param_lgbm_reg_lambda,param_lgbm_class_weight
taiwan,taiwan_pr_auc_optuna,0,COMPLETE,mean_cv_pr_auc,0.5233874216984816,5,3,15,0.5233874216984816,0.7587666766872532,0.3627149759672473,0.14546043196973307,2717.3333333333335,507.53333333333336,179.66666666666666,288.8666666666667,2623.9333333333334,0.011855818161075298,lightgbm,350,0.13125830316209655,74,7,30,0.7045980821176709,0.6703292642588699,0.3426417745118369,0.3849583075868115,
taiwan,taiwan_pr_auc_optuna,1,COMPLETE,mean_cv_pr_auc,0.5383860281617954,5,3,15,0.5383860281617954,0.7686754005505915,0.3730099682855936,0.1389423320094939,2657.733333333333,499.3333333333333,161.06666666666666,297.06666666666666,2642.5333333333333,0.011986332171369813,lightgbm,650,0.09528587217040241,32,4,34,0.7564847850358383,0.8336647510712832,5.7210634014350856e-05,0.017888967192999938,
taiwan,taiwan_pr_auc_optuna,2,COMPLETE,mean_cv_pr_auc,0.5558144786802613,5,3,15,0.5558144786802613,0.7799225468027767,0.37267443448946946,0.13493283837097764,2647.733333333333,499.6,149.73333333333332,296.8,2653.866666666667,0.011054501166947693,lightgbm,300,0.026969628335735185,51,9,36,0.8299820534447641,0.8573450991017149,2.535541638745669e-08,0.4102689328356389,
taiwan,taiwan_pr_auc_optuna,3,COMPLETE,mean_cv_pr_auc,0.5182087091238319,5,3,15,0.5182087091238319,0.7531772529156147,0.5177478778249255,0.16112526004872854,2339.4,384.06666666666666,419.06666666666666,412.3333333333333,2384.5333333333333,0.013194998300792312,lightgbm,650,0.13666943328202277,80,5,22,0.8894815592792549,0.8040533728088605,1.1524098038940883e-07,0.13482509766281273,balanced
taiwan,taiwan_pr_auc_optuna,4,COMPLETE,mean_cv_pr_auc,0.5540706819021497,5,3,15,0.5540706819021497,0.7785624665513075,0.3730915136115542,0.13542068900761242,2648.5333333333333,499.26666666666665,152.2,297.1333333333333,2651.4,0.012181954081554532,lightgbm,250,0.06014321882783976,40,7,81,0.7146990594339345,0.9893546197175955,0.05531681668096113,10.985330528057915,
taiwan,taiwan_pr_auc_optuna,5,COMPLETE,mean_cv_pr_auc,0.5632775914143312,5,3,15,0.5632775914143312,0.7875921317014548,0.6455708067733062,0.17802174330056422,2000.2,282.26666666666665,588.8666666666667,514.1333333333333,2214.733333333333,0.013011607089659871,lightgbm,650,0.012707942999213693,30,3,52,0.7860370513913187,0.7449721611208636,0.16186864586521713,0.03422998896745789,balanced
taiwan,taiwan_pr_auc_optuna,6,COMPLETE,mean_cv_pr_auc,0.5525922707965705,5,3,15,0.5525922707965705,0.7779689920843065,0.6266529216555382,0.17122973492525737,2055.266666666667,297.3333333333333,568.6,499.06666666666666,2235.0,0.012439197761385478,lightgbm,200,0.08779238696445962,21,10,111,0.7195504885369604,0.6519327409932608,0.12407220650925027,1.0970202353810494,balanced
taiwan,taiwan_pr_auc_optuna,7,COMPLETE,mean_cv_pr_auc,0.5627221537010325,5,3,15,0.5627221537010325,0.7858894797884921,0.36815413327616753,0.13314231313513478,2653.8,503.2,137.8,293.2,2665.8,0.010382578795167498,lightgbm,150,0.026399056774268962,24,9,91,0.7658143086984273,0.6722454226001083,5.07254476651829e-06,0.0250393598794207,
taiwan,taiwan_pr_auc_optuna,8,COMPLETE,mean_cv_pr_auc,0.5477837722350188,5,3,15,0.5477837722350188,0.7748166399099556,0.37275787133072297,0.13647168239865434,2654.0,499.53333333333336,156.33333333333334,296.8666666666667,2647.266666666667,0.011720952932328442,lightgbm,600,0.035922606902684895,24,8,109,0.8464470191493236,0.9198385129840964,0.00019747543585570707,0.17712896252111063,
taiwan,taiwan_pr_auc_optuna,9,COMPLETE,mean_cv_pr_auc,0.56325301102604,5,3,15,0.56325301102604,0.7853537092283686,0.33893894398802876,0.1338541159206947,2749.4,526.4666666666667,117.06666666666666,269.93333333333334,2686.5333333333333,0.011410433698093437,lightgbm,200,0.010888388058113131,66,5,76,0.9676482658741326,0.7372522802021062,3.714571632470118e-05,1.7768391314043337,
taiwan,taiwan_pr_auc_optuna,10,COMPLETE,mean_cv_pr_auc,0.5638303107028987,5,3,15,0.5638303107028987,0.7865748114220247,0.6428914753609117,0.17922749557959702,2012.8,284.4,590.8,512.0,2212.8,0.014201066069986485,lightgbm,500,0.010163732690779375,93,3,53,0.9266214968784882,0.7402744334105222,3.0267439880502245,0.0018888677153023978,balanced
taiwan,taiwan_pr_auc_optuna,11,COMPLETE,mean_cv_pr_auc,0.5645749254099663,5,3,15,0.5645749254099663,0.7867517189848805,0.6441464957577516,0.1792154515553698,2007.4666666666667,283.4,590.4666666666667,513.0,2213.133333333333,0.01438042745989994,lightgbm,500,0.010240037763983948,92,3,54,0.9445080213937274,0.7507447708507642,4.894705064964968,0.0011221265042614342,balanced
taiwan,taiwan_pr_auc_optuna,12,COMPLETE,mean_cv_pr_auc,0.5628822007099757,5,3,15,0.5628822007099757,0.7877253200652278,0.6478308522957742,0.1782422912607164,1995.3333333333333,280.46666666666664,593.0,515.9333333333333,2210.6,0.014566355928583356,lightgbm,500,0.016587650901231352,95,3,55,0.9968697813265434,0.7444467563363363,4.616554144664161,0.0015249699475815357,balanced
taiwan,taiwan_pr_auc_optuna,13,COMPLETE,mean_cv_pr_auc,0.564255119916755,5,3,15,0.564255119916755,0.7852666808453396,0.6315080210756838,0.17440792916892356,2028.8,293.46666666666664,561.4666666666667,502.93333333333334,2242.133333333333,0.011719577832609436,lightgbm,450,0.017954808426457233,89,5,58,0.920285400054078,0.7658194946323852,0.005475303892805465,0.0011490949165735087,balanced
