step_index,step_total,script,step_label,command,status,return_code,duration_seconds,log_path,started_utc,finished_utc
1,20,experiments/00_environment_check.py,00_environment_check,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\00_environment_check.py,completed,0,2.669,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_01_00_environment_check.log,2026-04-29T07:14:13+00:00,2026-04-29T07:14:15+00:00
2,20,experiments/01_prepare_taiwan.py,01_prepare_taiwan,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\01_prepare_taiwan.py,completed,0,3.278,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_02_01_prepare_taiwan.log,2026-04-29T07:14:15+00:00,2026-04-29T07:14:19+00:00
3,20,experiments/02_prepare_heloc.py,02_prepare_heloc,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\02_prepare_heloc.py,completed,0,1.306,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_03_02_prepare_heloc.log,2026-04-29T07:14:19+00:00,2026-04-29T07:14:20+00:00
4,20,experiments/03_feature_engineering.py,03_feature_engineering,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\03_feature_engineering.py,completed,0,1.713,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_04_03_feature_engineering.log,2026-04-29T07:14:20+00:00,2026-04-29T07:14:22+00:00
5,20,experiments/04_create_splits.py,04_create_splits,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\04_create_splits.py,completed,0,2.33,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_05_04_create_splits.log,2026-04-29T07:14:22+00:00,2026-04-29T07:14:24+00:00
6,20,experiments/05_train_baselines.py,05_train_baselines,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\05_train_baselines.py,completed,0,9.076,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_06_05_train_baselines.log,2026-04-29T07:14:24+00:00,2026-04-29T07:14:33+00:00
7,20,experiments/06_train_scorecard.py,06_train_scorecard,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\06_train_scorecard.py,completed,0,4.718,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_07_06_train_scorecard.log,2026-04-29T07:14:33+00:00,2026-04-29T07:14:38+00:00
8,20,experiments/07_train_boosting_models.py,07_train_boosting_models,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\07_train_boosting_models.py,completed,0,14.199,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_08_07_train_boosting_models.log,2026-04-29T07:14:38+00:00,2026-04-29T07:14:52+00:00
9,20,experiments/08_optuna_tuning.py,08_optuna_tuning,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\08_optuna_tuning.py,completed,0,3511.757,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_09_08_optuna_tuning.log,2026-04-29T07:14:52+00:00,2026-04-29T08:13:24+00:00
10,20,experiments/09_calibration.py,09_calibration,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\09_calibration.py,completed,0,126.135,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_10_09_calibration.log,2026-04-29T08:13:24+00:00,2026-04-29T08:15:30+00:00
11,20,experiments/10_threshold_cost_analysis.py,10_threshold_cost_analysis,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\10_threshold_cost_analysis.py,completed,0,132.126,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_11_10_threshold_cost_analysis.log,2026-04-29T08:15:30+00:00,2026-04-29T08:17:42+00:00
12,20,experiments/11_train_scre_credit.py,11_train_scre_credit,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\11_train_scre_credit.py,completed,0,11.451,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_12_11_train_scre_credit.log,2026-04-29T08:17:42+00:00,2026-04-29T08:17:54+00:00
13,20,experiments/12_statistical_tests.py,12_statistical_tests,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\12_statistical_tests.py,completed,0,215.928,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_13_12_statistical_tests.log,2026-04-29T08:17:54+00:00,2026-04-29T08:21:30+00:00
14,20,experiments/13_explainability.py,13_explainability,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\13_explainability.py,completed,0,9.579,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_14_13_explainability.log,2026-04-29T08:54:12+00:00,2026-04-29T08:54:22+00:00
15,20,experiments/14_shap_stability.py,14_shap_stability,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\14_shap_stability.py,completed,0,72.374,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_15_14_shap_stability.log,2026-04-29T08:54:22+00:00,2026-04-29T08:55:34+00:00
16,20,experiments/15_background_sensitivity.py,15_background_sensitivity,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\15_background_sensitivity.py,completed,0,35.951,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_16_15_background_sensitivity.log,2026-04-29T08:55:34+00:00,2026-04-29T08:56:10+00:00
17,20,experiments/16_faithfulness.py,16_faithfulness,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\16_faithfulness.py,completed,0,4.503,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_17_16_faithfulness.log,2026-04-29T08:56:10+00:00,2026-04-29T08:56:14+00:00
18,20,experiments/17_subgroup_reliability.py,17_subgroup_reliability,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\17_subgroup_reliability.py,completed,0,2.799,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_18_17_subgroup_reliability.log,2026-04-29T08:56:14+00:00,2026-04-29T08:56:17+00:00
19,20,experiments/18_external_validation_heloc.py,18_external_validation_heloc,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\18_external_validation_heloc.py,completed,0,557.671,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_19_18_external_validation_heloc.log,2026-04-29T08:56:17+00:00,2026-04-29T09:05:35+00:00
20,20,experiments/19_ablation_study.py,19_ablation_study,C:\Users\AKTS\anaconda3\envs\tf210win\python.exe C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\experiments\19_ablation_study.py,completed,0,389.842,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\experiment_logs\run_all_20_19_ablation_study.log,2026-04-29T09:05:35+00:00,2026-04-29T09:12:05+00:00
