dataset,feature,coefficient,absolute_coefficient,n_woe_bins_or_categories,model_path
heloc,NumInqLast6M,0.6979983817329881,0.6979983817329881,3,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scorecard\heloc\woe_scorecard_logistic_regression.joblib
heloc,MSinceMostRecentInqexcl7days,0.6729977477421683,0.6729977477421683,4,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scorecard\heloc\woe_scorecard_logistic_regression.joblib
heloc,AverageMInFile,0.6497942286981885,0.6497942286981885,5,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scorecard\heloc\woe_scorecard_logistic_regression.joblib
heloc,NumInqLast6Mexcl7days,-0.6370860040076195,0.6370860040076195,3,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scorecard\heloc\woe_scorecard_logistic_regression.joblib
heloc,NumSatisfactoryTrades,0.5500371864121312,0.5500371864121312,5,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scorecard\heloc\woe_scorecard_logistic_regression.joblib
heloc,PercentInstallTrades,0.5256826115705052,0.5256826115705052,5,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scorecard\heloc\woe_scorecard_logistic_regression.joblib
heloc,MaxDelq2PublicRecLast12M,0.4014832713712481,0.4014832713712481,9,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scorecard\heloc\woe_scorecard_logistic_regression.joblib
heloc,ExternalRiskEstimate,0.38246423977163735,0.38246423977163735,6,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scorecard\heloc\woe_scorecard_logistic_regression.joblib
heloc,NumTradesOpeninLast12M,-0.37637020671360777,0.37637020671360777,4,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scorecard\heloc\woe_scorecard_logistic_regression.joblib
heloc,NumInstallTradesWBalance,-0.35995358759649176,0.35995358759649176,4,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scorecard\heloc\woe_scorecard_logistic_regression.joblib
