dataset,model,model_role,split,calibration_method,threshold,threshold_source,cost_scenario,fn_cost,fp_cost,expected_cost,test_set_used_for_training_or_selection,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp
heloc,woe_scorecard_logistic_regression,base_model,test,sigmoid,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,892.0,False,0.5868354430379746,0.5586932447397563,0.9815175097276264,0.7120677487649965,0.1583949313621964,0.3942935436753959,0.801480407101681,0.8038770280230678,0.18165238060883881,0.014207949481563046,1.0460989168800874,-0.001963625636257814,150,797,19,1009
heloc,catboost,base_model,test,isotonic,0.14,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,898.0,False,0.5858227848101266,0.5581395348837209,0.980544747081712,0.7113620324629499,0.1573389651531151,0.39278224984354826,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,1.0352978684995249,-0.0031831980933407717,149,798,20,1008
heloc,monotonic_xgboost,base_model,test,isotonic,0.14,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,903.0,False,0.5731645569620253,0.5502444323737099,0.9854085603112841,0.7061693970024399,0.12565997888067582,0.351889782286376,0.7968959934916324,0.8005001535761549,0.18338495547674397,0.012990480299237382,1.0224699833822926,0.004201750103898441,119,828,15,1013
heloc,xgboost,base_model,test,isotonic,0.19,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,904.0,False,0.6192405063291139,0.5809859154929577,0.9630350194552529,0.7247437774524158,0.24604012671594508,0.4867702314425802,0.7967526984661782,0.7967099074932475,0.1834923424239684,0.016041154951360135,1.0364882262222042,-0.006929544277143836,233,714,38,990
heloc,monotonic_lightgbm,base_model,test,sigmoid,0.18,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,907.0,False,0.5670886075949367,0.5465805061927841,0.9873540856031129,0.7036395147313691,0.11087645195353749,0.3308690342620513,0.7920044457410049,0.7947893788815734,0.18609471420927495,0.024493582487167886,1.1219684788434376,-0.0001918250556718242,105,842,13,1015
heloc,random_forest,base_model,test,sigmoid,0.2,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,912.0,False,0.6435443037974684,0.5995085995085995,0.9494163424124513,0.7349397590361446,0.3115100316789863,0.5438315133397935,0.8031598864322723,0.8104372142694128,0.18132855988664923,0.029759449948298367,1.0392038626211209,-0.017445785926960937,295,652,52,976
heloc,optuna_best_xgboost,base_model,test,isotonic,0.22,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,916.0,False,0.6577215189873418,0.6111111111111112,0.9416342412451362,0.7411944869831547,0.3495248152059134,0.573693763398877,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,0.993346218461653,-0.006990153465515914,331,616,60,968
heloc,logistic_regression,base_model,test,sigmoid,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,919.0,False,0.5691139240506329,0.5479674796747968,0.9834630350194552,0.7037939436129481,0.11932418162618796,0.3425652081185472,0.8036324004947015,0.8045212728434277,0.18075443964078186,0.023213369601714415,1.072255179081003,-0.002486660339327762,113,834,17,1011
heloc,class_weighted_logistic_regression,base_model,test,sigmoid,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,920.0,False,0.5686075949367089,0.547670639219935,0.9834630350194552,0.7035490605427975,0.11826821541710665,0.3410460644552909,0.8035995299512283,0.8046356081368466,0.18076695253213337,0.022042159871481018,1.0720672690907702,-0.0023959490590116407,112,835,17,1011
heloc,lightgbm,base_model,test,sigmoid,0.19,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,924.0,False,0.5665822784810126,0.5464864864864865,0.9834630350194552,0.7025712300208478,0.11404435058078141,0.33490058696424835,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,1.1244611753635487,-0.012801954218763007,108,839,17,1011
