dataset,model,model_role,split,calibration_method,threshold,threshold_source,cost_scenario,fn_cost,fp_cost,expected_cost,test_set_used_for_training_or_selection,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp
taiwan,catboost,base_model,test,isotonic,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3247.0,False,0.6275,0.35143979057591623,0.8093443858327054,0.49007529089664614,0.5758613310507169,0.6826932951948823,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,0.9754392982027131,-0.027495186567451736,2691,1982,253,1074
taiwan,optuna_best_catboost,base_model,test,isotonic,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3250.0,False,0.633,0.3544093178036606,0.8025621703089676,0.4916897506925208,0.584849133319067,0.6851115162802834,0.7839218418882803,0.5623436923991832,0.13401438252972936,0.010411793295311177,0.9656844641048725,-0.0382536861843564,2733,1940,262,1065
taiwan,monotonic_xgboost,base_model,test,isotonic,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3280.0,False,0.628,0.35090609555189456,0.8025621703089676,0.48830811554332876,0.5784292745559597,0.6813409234427892,0.7810930563446218,0.5573108573681026,0.1346901987420083,0.009710808526094013,0.9841542149741191,-0.019377773846866966,2703,1970,262,1065
taiwan,xgboost,base_model,test,isotonic,0.14,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3283.0,False,0.5975,0.3355501813784764,0.8364732479276563,0.47896440129449835,0.529638347956345,0.6656037177946665,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,0.9886483587938175,-0.00910058289448534,2475,2198,217,1110
taiwan,monotonic_lightgbm,base_model,test,isotonic,0.18,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3304.0,False,0.698,0.3986627664020059,0.718914845516202,0.5129032258064516,0.6920607746629575,0.7053600250259744,0.7796047650478442,0.5545830998781486,0.13538142349818064,0.010066855302000528,1.0519002101291686,0.0606230158407816,3234,1439,373,954
taiwan,lightgbm,base_model,test,isotonic,0.17,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3332.0,False,0.6693333333333333,0.37542662116040953,0.746043707611153,0.49949545913218973,0.647549753905414,0.6950542563471465,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,1.0595475731418427,0.06610434320662074,3026,1647,337,990
taiwan,class_weighted_lightgbm,base_model,test,isotonic,0.14,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3380.0,False,0.5913333333333334,0.33031674208144796,0.8251695553880934,0.4717794054286945,0.5249304515300663,0.6581463570504178,0.7783594962870124,0.5576378113162334,0.1352614425292241,0.011875388289132722,1.0617344393953858,0.07100973849005926,2453,2220,232,1095
taiwan,random_forest,base_model,test,isotonic,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3388.0,False,0.6546666666666666,0.3641006931776724,0.7520723436322532,0.49065880039331367,0.627006205863471,0.686697915182293,0.7801764404890703,0.5576110174199398,0.13481302366401635,0.015583381887316557,0.9807172533679134,-0.019052302796065436,2930,1743,329,998
taiwan,woe_scorecard_logistic_regression,base_model,test,isotonic,0.16,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3395.0,False,0.6628333333333334,0.36936936936936937,0.7415222305953278,0.4931094963668254,0.6404879092659962,0.6891560223550683,0.772310218670291,0.5428529752936853,0.13698023547429067,0.013838796992413097,0.9538816900915117,-0.05436210315238159,2993,1680,343,984
taiwan,decision_tree,base_model,test,isotonic,0.15,validation_cost_min_B_FN5_FP1,B_FN5_FP1,5.0,1.0,3435.0,False,0.6341666666666667,0.35044796691936597,0.7663903541823662,0.4809647670844171,0.5966188743847636,0.676197419731563,0.7705454428759161,0.537886083587715,0.13658762427639815,0.018008297944246243,0.9872753271591286,0.0004540169891851763,2788,1885,310,1017
