dataset,model,source_phase,model_family,selected_calibration_method,model_path,pr_auc,roc_auc,recall,calibration_error,brier_score,ece,expected_cost,base_selected_threshold,cost_scenario,stability_score,faithfulness_score,stability_metric_source,faithfulness_metric_source,pr_auc_norm,roc_auc_norm,recall_norm,stability_score_norm,faithfulness_score_norm,calibration_error_norm,expected_cost_norm,reliability_score,ensemble_weight
taiwan,catboost,phase7_model_pool,boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\catboost_isotonic.joblib,0.5600762638181987,0.7862745000016933,0.3519216277317257,0.1334909014662533,0.1334909014662533,0.0058542408872619,3173.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,1.0,0.9954132260020746,0.9668737060041409,1.0,1.0,0.9974618906457535,1.0,0.9939623233977953,0.07780694134501603
taiwan,xgboost,phase7_model_pool,boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\xgboost_isotonic.joblib,0.5597109861331215,0.7868731869059393,0.3639788997739261,0.1333922712879752,0.1333922712879752,0.0078343090036521,3233.0,0.14,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9989221972816724,0.9974949373061454,1.0,1.0,1.0,1.0,0.96,0.9934086800522564,0.0777636023830671
taiwan,optuna_best_catboost,phase8_hyperparameter_optimization,tuned_boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\optuna_best_catboost_isotonic.joblib,0.5592637451467721,0.7857055660223855,0.3564431047475508,0.1334743676146833,0.1334743676146833,0.0096329278472662,3199.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9976025504197708,0.9934349694415999,0.9792960662525879,1.0,1.0,0.9978873661347389,0.9826666666666667,0.9925132703582931,0.07769351009898555
taiwan,random_forest,phase6_baseline,baseline,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\random_forest_isotonic.joblib,0.5596793325208734,0.7867628833793389,0.3602110022607385,0.1336077591380536,0.1336077591380536,0.0092238183234798,3230.0,0.16,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9988287988871916,0.9971113977689106,0.989648033126294,1.0,1.0,0.9944547223014416,0.962,0.9912478827569352,0.07759445610412084
taiwan,monotonic_xgboost,phase7_model_pool,monotonic,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\monotonic_xgboost_isotonic.joblib,0.5553928065202245,0.7875936269718569,0.348153730218538,0.1334562274416371,0.1334562274416371,0.0055336651349336,3185.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9861808065120086,1.0,0.9565217391304348,1.0,1.0,0.9983541780547819,0.992,0.9892675488801843,0.07743943642363116
taiwan,lightgbm,phase7_model_pool,boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\lightgbm_isotonic.joblib,0.5562193442422032,0.7840167448493977,0.3270535041446872,0.134470607805421,0.134470607805421,0.0140478133051794,3205.0,0.17,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9886196212547175,0.9875627211905873,0.898550724637681,1.0,1.0,0.9722505215975833,0.9786666666666667,0.9732785193648212,0.07618782209944545
taiwan,class_weighted_lightgbm,phase7_model_pool,boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\class_weighted_lightgbm_isotonic.joblib,0.5530878635457359,0.7828515429028309,0.3202712886209495,0.1344497879945498,0.1344497879945498,0.0107698186995919,3234.0,0.14,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9793797510274157,0.9835111642808064,0.8799171842650104,1.0,1.0,0.972786290240086,0.9593333333333334,0.9652081460233685,0.07555607676018122
taiwan,monotonic_lightgbm,phase7_model_pool,monotonic,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\monotonic_lightgbm_isotonic.joblib,0.5502663257809105,0.7809683198273332,0.3368500376789751,0.134686329904532,0.134686329904532,0.0126615880115661,3272.0,0.18,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9710544106164628,0.976962955631934,0.9254658385093167,1.0,1.0,0.9666992158285977,0.9339999999999999,0.9646800836187698,0.0755147402632397
taiwan,smotenc_xgboost,phase7_model_pool,boosting,sigmoid,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\smotenc_xgboost_sigmoid.joblib,0.5438907456996119,0.7793136862970929,0.346646571213263,0.1359566191274678,0.1359566191274678,0.0143125127791944,3293.0,0.13,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9522423730262498,0.9712095822082516,0.9523809523809524,1.0,1.0,0.9340101036763226,0.92,0.9570885703450789,0.0749204798832418
taiwan,woe_scorecard_logistic_regression,phase6_baseline,baseline,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\woe_scorecard_logistic_regression_isotonic.joblib,0.5319763334520872,0.7734331698508209,0.3474001507159005,0.1361479847693398,0.1361479847693398,0.0129179635051445,3316.0,0.16,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9170872391862435,0.9507622708119965,0.9544513457556937,1.0,1.0,0.9290855771855843,0.9046666666666666,0.9442623269002397,0.07391644708652774
