dataset,model,scre_variant,setting_id,selected_final_setting,ensemble_weight,max_model_weight,weight_learning_split,test_set_used_for_weight_optimization,pareto_front_only,cost_scenario,objective_formula
heloc,woe_scorecard_logistic_regression,SCRE-Optimized,A_cost_heavy,False,0.36769199082182885,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,catboost,SCRE-Optimized,A_cost_heavy,False,0.2770408746398774,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,SCRE-Credit,SCRE-Optimized,A_cost_heavy,False,0.03805141329565313,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,optuna_best_xgboost,SCRE-Optimized,A_cost_heavy,False,0.0322220825210194,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,logistic_regression,SCRE-Optimized,A_cost_heavy,False,0.007538449857792426,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,class_weighted_logistic_regression,SCRE-Optimized,A_cost_heavy,False,0.09850283408661648,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,smotenc_xgboost,SCRE-Optimized,A_cost_heavy,False,0.033055420388695404,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,xgboost,SCRE-Optimized,A_cost_heavy,False,0.1017410925981037,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,monotonic_xgboost,SCRE-Optimized,A_cost_heavy,False,0.01839248425290275,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,class_weighted_lightgbm,SCRE-Optimized,A_cost_heavy,False,0.025724885774952657,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,majority_baseline,SCRE-Optimized,A_cost_heavy,False,3.847176255781485e-05,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,woe_scorecard_logistic_regression,SCRE-Optimized,B_pr_auc_heavy,True,0.10663868316588328,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,catboost,SCRE-Optimized,B_pr_auc_heavy,True,0.3601095187294563,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,SCRE-Credit,SCRE-Optimized,B_pr_auc_heavy,True,0.19879459158248514,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,optuna_best_xgboost,SCRE-Optimized,B_pr_auc_heavy,True,0.048013613075186444,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,logistic_regression,SCRE-Optimized,B_pr_auc_heavy,True,0.009803242853029668,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,class_weighted_logistic_regression,SCRE-Optimized,B_pr_auc_heavy,True,0.019032302570464916,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,smotenc_xgboost,SCRE-Optimized,B_pr_auc_heavy,True,0.02159849612995221,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,xgboost,SCRE-Optimized,B_pr_auc_heavy,True,0.010471798513494501,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,monotonic_xgboost,SCRE-Optimized,B_pr_auc_heavy,True,0.0002585567903972023,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,class_weighted_lightgbm,SCRE-Optimized,B_pr_auc_heavy,True,0.052953495842540055,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,majority_baseline,SCRE-Optimized,B_pr_auc_heavy,True,0.17232570074711037,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,woe_scorecard_logistic_regression,SCRE-Optimized,C_calibration_heavy,False,0.25061315141258544,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,catboost,SCRE-Optimized,C_calibration_heavy,False,0.3188079044748326,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,SCRE-Credit,SCRE-Optimized,C_calibration_heavy,False,0.34829412460037995,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,optuna_best_xgboost,SCRE-Optimized,C_calibration_heavy,False,0.06447079707254741,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,logistic_regression,SCRE-Optimized,C_calibration_heavy,False,0.003087486291279362,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,class_weighted_logistic_regression,SCRE-Optimized,C_calibration_heavy,False,0.00011580781699826026,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
heloc,smotenc_xgboost,SCRE-Optimized,C_calibration_heavy,False,4.5467961488000644e-05,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
