dataset,model,scre_variant,setting_id,selected_final_setting,ensemble_weight,max_model_weight,weight_learning_split,test_set_used_for_weight_optimization,pareto_front_only,cost_scenario,objective_formula
taiwan,SCRE-Credit,SCRE-Optimized,A_cost_heavy,True,0.11434523360956676,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,catboost,SCRE-Optimized,A_cost_heavy,True,0.4852803332363588,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,monotonic_xgboost,SCRE-Optimized,A_cost_heavy,True,0.0021200368629356293,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,optuna_best_catboost,SCRE-Optimized,A_cost_heavy,True,0.09110391634634135,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,lightgbm,SCRE-Optimized,A_cost_heavy,True,0.21937691811261906,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,random_forest,SCRE-Optimized,A_cost_heavy,True,5.568448216172732e-05,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,xgboost,SCRE-Optimized,A_cost_heavy,True,0.024249966837183612,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,class_weighted_lightgbm,SCRE-Optimized,A_cost_heavy,True,4.526820422981376e-06,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,monotonic_lightgbm,SCRE-Optimized,A_cost_heavy,True,0.013402977361546595,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,smotenc_xgboost,SCRE-Optimized,A_cost_heavy,True,0.03226705835824578,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,majority_baseline,SCRE-Optimized,A_cost_heavy,True,0.01779334797261783,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,SCRE-Credit,SCRE-Optimized,B_pr_auc_heavy,False,0.09618146856129361,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,catboost,SCRE-Optimized,B_pr_auc_heavy,False,0.22129358695438747,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,monotonic_xgboost,SCRE-Optimized,B_pr_auc_heavy,False,0.06408431403497683,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,optuna_best_catboost,SCRE-Optimized,B_pr_auc_heavy,False,0.15062996710827836,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,lightgbm,SCRE-Optimized,B_pr_auc_heavy,False,0.31558085597239993,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,random_forest,SCRE-Optimized,B_pr_auc_heavy,False,0.04092305407253935,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,xgboost,SCRE-Optimized,B_pr_auc_heavy,False,0.00592432860994171,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,class_weighted_lightgbm,SCRE-Optimized,B_pr_auc_heavy,False,0.01016037899055797,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,monotonic_lightgbm,SCRE-Optimized,B_pr_auc_heavy,False,0.01465006456786372,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,smotenc_xgboost,SCRE-Optimized,B_pr_auc_heavy,False,0.04102703394965473,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,majority_baseline,SCRE-Optimized,B_pr_auc_heavy,False,0.03954494717810633,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,SCRE-Credit,SCRE-Optimized,C_calibration_heavy,False,0.005777636887568737,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,catboost,SCRE-Optimized,C_calibration_heavy,False,0.021246524436183387,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,monotonic_xgboost,SCRE-Optimized,C_calibration_heavy,False,0.004606925768508502,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,optuna_best_catboost,SCRE-Optimized,C_calibration_heavy,False,0.6040965878741613,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,lightgbm,SCRE-Optimized,C_calibration_heavy,False,0.28398922673126803,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,random_forest,SCRE-Optimized,C_calibration_heavy,False,0.01629260542181667,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,xgboost,SCRE-Optimized,C_calibration_heavy,False,0.0005938565224373961,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,class_weighted_lightgbm,SCRE-Optimized,C_calibration_heavy,False,2.1469014408482552e-05,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,monotonic_lightgbm,SCRE-Optimized,C_calibration_heavy,False,0.005809464017967149,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,smotenc_xgboost,SCRE-Optimized,C_calibration_heavy,False,0.04436422674057836,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,majority_baseline,SCRE-Optimized,C_calibration_heavy,False,0.013201476585102115,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,SCRE-Credit,SCRE-Optimized,D_balanced,False,0.12853207162260238,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,catboost,SCRE-Optimized,D_balanced,False,0.4878706611646909,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,monotonic_xgboost,SCRE-Optimized,D_balanced,False,0.05254436284072438,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
taiwan,optuna_best_catboost,SCRE-Optimized,D_balanced,False,0.044569735955442336,0.65,validation,False,True,B_FN5_FP1,expected_cost_FN5_FP1 + alpha*ECE + beta*Brier - gamma*PR_AUC - delta*Recall
