dataset,selection_split,pareto_cost_scenario,model_display_name,model,model_role,calibration_type,threshold,expected_cost,pr_auc,roc_auc,recall,f1,brier,ece,precision,specificity,accuracy,tn,fp,fn,tp,is_pareto_front,dominated_by_count,dominated_by_models,domination_reason,pareto_higher_is_better,pareto_lower_is_better,test_set_used_for_pareto_selection,created_local,stability_score,faithfulness_score,pr_auc_norm,roc_auc_norm,recall_norm,cost_norm,calibration_metric_used,calibration_norm,stability_norm,faithfulness_norm,reliability_score,ensemble_weight,base_component_weights_json,effective_component_weights_json,active_components,missing_components_renormalized,weight_learning_split,test_set_used_for_weight_learning,cost_scenario,formula,notes
taiwan,validation,B_FN5_FP1,XGBoost,xgboost,base_model,isotonic,0.14,3233.0,0.5597109861331215,0.7868731869059393,0.8425018839487566,0.4826246492553421,0.1333922712879752,0.0078343090036521,0.338173018753781,0.5317783008773806,0.6005,2485,2188,209,1118,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9989221972816724,0.9861678139668963,0.4441489361702128,0.9486166007905138,brier,0.9570585684358568,,,0.8778455110039339,0.10127193505474529,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
taiwan,validation,B_FN5_FP1,CatBoost,catboost,base_model,isotonic,0.15,3173.0,0.5600762638181987,0.7862745000016933,0.8168801808590807,0.4962233920805676,0.1334909014662533,0.0058542408872619,0.356344510190664,0.5809972180612026,0.6331666666666667,2715,1958,243,1084,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,1.0,0.9841097416807454,0.3537234042553193,0.9881422924901185,brier,0.9546294491307481,,,0.8679490758462529,0.10013024084317954,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
taiwan,validation,B_FN5_FP1,Class-weighted LightGBM,class_weighted_lightgbm,base_model,isotonic,0.14,3234.0,0.5530878635457359,0.7828515429028309,0.840241145440844,0.4831022530329289,0.1344497879945498,0.0107698186995919,0.3390088172696868,0.5347742349668307,0.6023333333333334,2499,2174,212,1115,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9793797510274157,0.9723428346515623,0.43617021276595763,0.9479578392621871,brier,0.9310134543312046,,,0.864271145239913,0.09970593936321281,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
taiwan,validation,B_FN5_FP1,Optuna Best CatBoost,optuna_best_catboost,base_model,isotonic,0.15,3199.0,0.5592637451467721,0.7857055660223855,0.8085908063300679,0.4957264957264957,0.1334743676146833,0.0096329278472662,0.3574283810792805,0.5872030815322062,0.6361666666666667,2744,1929,254,1073,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9976025504197708,0.9821539493506333,0.32446808510638314,0.9710144927536232,brier,0.955036654093141,,,0.8581872276198159,0.09900407314372704,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
taiwan,validation,B_FN5_FP1,Monotonic XGBoost,monotonic_xgboost,base_model,isotonic,0.15,3185.0,0.5553928065202245,0.7875936269718569,0.8085908063300679,0.4973348783314021,0.1334562274416371,0.0055336651349336,0.3591030789825971,0.5901990156216563,0.6385,2758,1915,254,1073,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9861808065120086,0.9886444302465942,0.32446808510638314,0.9802371541501976,brier,0.9554834204410662,,,0.8576199926219811,0.09893863453848109,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
taiwan,validation,B_FN5_FP1,LightGBM,lightgbm,base_model,isotonic,0.17,3205.0,0.5562193442422032,0.7840167448493977,0.7573474001507159,0.5118411000763942,0.134470607805421,0.0140478133051794,0.3865384615384615,0.6586775090947999,0.6805,3078,1595,322,1005,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,0.9772513845205058,0.2311129361417607,0.9886196212547175,0.9763483838242444,0.14361702127659576,0.9670619235836627,brier,0.9305006923611983,1.0,1.0,0.8532590738524746,0.0984355406832771,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm, stability_norm, faithfulness_norm",,validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,all requested SCRE-Pareto components available
taiwan,validation,B_FN5_FP1,Old SCRE-Credit,SCRE-Credit,scre_credit,weighted_sum_plus_isotonic,0.16,3155.0,0.5549628435566555,0.7908969273211031,0.7814619442351168,0.5097075448513149,0.1316487089023069,2.2694808995045908e-17,0.3781911013858497,0.6351380269634068,0.6675,2968,1705,290,1037,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9849121408643469,1.0,0.2287234042553193,1.0,brier,1.0,,,0.8506706823179808,0.09813693299423429,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
taiwan,validation,B_FN5_FP1,SMOTENC + XGBoost,smotenc_xgboost,base_model,sigmoid,0.13,3293.0,0.5438907456996119,0.7793136862970929,0.8477769404672193,0.4751847940865892,0.1359566191274678,0.0143125127791944,0.3301056338028169,0.5114487481275412,0.5858333333333333,2390,2283,202,1125,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9522423730262498,0.9601809440523097,0.4627659574468086,0.9090909090909091,brier,0.8939023727290876,,,0.846570627647469,0.09766393351413429,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
taiwan,validation,B_FN5_FP1,Random Forest,random_forest,base_model,isotonic,0.16,3230.0,0.5596793325208734,0.7867628833793389,0.7724189902034665,0.5034381139489195,0.1336077591380536,0.0092238183234798,0.3734061930783242,0.6319280975818532,0.663,2953,1720,302,1025,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9988287988871916,0.9857886297396298,0.19680851063829802,0.950592885375494,brier,0.9517514129000952,,,0.8310760560935259,0.09587641483978636,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
taiwan,validation,B_FN5_FP1,Monotonic LightGBM,monotonic_lightgbm,base_model,isotonic,0.18,3272.0,0.5502663257809105,0.7809683198273332,0.7166541070082894,0.5182561307901907,0.134686329904532,0.0126615880115661,0.4058898847631242,0.7021185533918254,0.7053333333333334,3281,1392,376,951,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9710544106164628,0.965868984642762,0.0,0.9229249011857708,brier,0.9251877676089832,,,0.7732518278616174,0.08920556967091886,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
