model,source_phase,model_family,selected_calibration_method,model_path,pr_auc,roc_auc,recall,calibration_error,brier_score,ece,expected_cost,base_selected_threshold,cost_scenario,stability_score,faithfulness_score,stability_metric_source,faithfulness_metric_source,pr_auc_norm,roc_auc_norm,recall_norm,stability_score_norm,faithfulness_score_norm,calibration_error_norm,expected_cost_norm,reliability_score,ensemble_weight,pareto_selected,pareto_objectives_higher_is_better,pareto_objectives_lower_is_better,selection_split,test_set_used_for_selection,winner,winner_basis,dataset,scre_variant,weight_selection_split,test_set_used_for_weight_optimization,weight_source,optimization_objective,optimization_split,n_random_candidates,n_top_candidates_for_calibration,selected_candidate_id,selected_candidate_source
xgboost,phase7_model_pool,boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\xgboost_isotonic.joblib,0.5597109861331215,0.7868731869059393,0.3639788997739261,0.1333922712879752,0.1333922712879752,0.0078343090036521,3233.0,0.14,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9220068291782636,0.6184233003075166,1.0,1.0,1.0,1.0,0.0,0.7771648608817802,0.23726846427136195,True,"pr_auc, roc_auc, recall","calibration_error, expected_cost",validation,False,True,lowest_validation_expected_cost_within_pareto_pool,taiwan,SCRE-Pareto,validation,False,,,,,,,
catboost,phase7_model_pool,boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\catboost_isotonic.joblib,0.5600762638181987,0.7862745000016933,0.3519216277317257,0.1334909014662533,0.1334909014662533,0.0058542408872619,3173.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,1.0,0.30133242227539936,0.23809523809524044,1.0,1.0,0.5422935527816231,1.0,0.7122581819728394,0.21745245250751893,True,"pr_auc, roc_auc, recall","calibration_error, expected_cost",validation,False,False,lowest_validation_expected_cost_within_pareto_pool,taiwan,SCRE-Pareto,validation,False,,,,,,,
optuna_best_catboost,phase8_hyperparameter_optimization,tuned_boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\optuna_best_catboost_isotonic.joblib,0.5592637451467721,0.7857055660223855,0.3564431047475508,0.1334743676146833,0.1334743676146833,0.0096329278472662,3199.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.8265130608155516,0.0,0.5238095238095226,1.0,1.0,0.6190210878329395,0.5666666666666667,0.6217272039094796,0.1898133411486933,True,"pr_auc, roc_auc, recall","calibration_error, expected_cost",validation,False,False,lowest_validation_expected_cost_within_pareto_pool,taiwan,SCRE-Pareto,validation,False,,,,,,,
random_forest,phase6_baseline,baseline,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\random_forest_isotonic.joblib,0.5596793325208734,0.7867628833793389,0.3602110022607385,0.1336077591380536,0.1336077591380536,0.0092238183234798,3230.0,0.16,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9152482296578202,0.5600017082337291,0.7619047619047631,1.0,1.0,0.0,0.050000000000000044,0.5888356164523378,0.17977153813337357,True,"pr_auc, roc_auc, recall","calibration_error, expected_cost",validation,False,False,lowest_validation_expected_cost_within_pareto_pool,taiwan,SCRE-Pareto,validation,False,,,,,,,
monotonic_xgboost,phase7_model_pool,monotonic,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\monotonic_xgboost_isotonic.joblib,0.5553928065202245,0.7875936269718569,0.348153730218538,0.1334562274416371,0.1334562274416371,0.0055336651349336,3185.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.0,1.0,0.0,1.0,1.0,0.7032029711251524,0.8,0.5754804456687729,0.1756942039390523,True,"pr_auc, roc_auc, recall","calibration_error, expected_cost",validation,False,False,lowest_validation_expected_cost_within_pareto_pool,taiwan,SCRE-Pareto,validation,False,,,,,,,
optuna_best_catboost,phase8_hyperparameter_optimization,tuned_boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\optuna_best_catboost_isotonic.joblib,0.5592637451467721,0.7857055660223855,0.3564431047475508,0.1334743676146833,0.1334743676146833,0.0096329278472662,3199.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9976025504197708,0.9934349694416,0.979296066252588,1.0,1.0,0.9978873661347388,0.9826666666666668,0.9925132703582932,0.4891922871194357,True,"pr_auc, roc_auc, recall","calibration_error, expected_cost",validation,False,True,lowest_validation_expected_cost_within_pareto_pool,taiwan,SCRE-Optimized,,False,validation_optimized,minimize_validation_expected_cost_after_final_calibration,validation,3000.0,75.0,935.0,dirichlet_random
monotonic_xgboost,phase7_model_pool,monotonic,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\monotonic_xgboost_isotonic.joblib,0.5553928065202245,0.7875936269718569,0.348153730218538,0.1334562274416371,0.1334562274416371,0.0055336651349336,3185.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9861808065120086,1.0,0.9565217391304348,1.0,1.0,0.998354178054782,0.992,0.9892675488801844,0.30723991594369726,True,"pr_auc, roc_auc, recall","calibration_error, expected_cost",validation,False,False,lowest_validation_expected_cost_within_pareto_pool,taiwan,SCRE-Optimized,,False,validation_optimized,minimize_validation_expected_cost_after_final_calibration,validation,3000.0,75.0,935.0,dirichlet_random
catboost,phase7_model_pool,boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\catboost_isotonic.joblib,0.5600762638181987,0.7862745000016933,0.3519216277317257,0.1334909014662533,0.1334909014662533,0.0058542408872619,3173.0,0.15,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,1.0,0.9954132260020746,0.9668737060041408,1.0,1.0,0.9974618906457536,1.0,0.9939623233977952,0.14349510753936034,True,"pr_auc, roc_auc, recall","calibration_error, expected_cost",validation,False,False,lowest_validation_expected_cost_within_pareto_pool,taiwan,SCRE-Optimized,,False,validation_optimized,minimize_validation_expected_cost_after_final_calibration,validation,3000.0,75.0,935.0,dirichlet_random
xgboost,phase7_model_pool,boosting,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\xgboost_isotonic.joblib,0.5597109861331215,0.7868731869059393,0.3639788997739261,0.1333922712879752,0.1333922712879752,0.0078343090036521,3233.0,0.14,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9989221972816724,0.9974949373061454,1.0,1.0,1.0,1.0,0.96,0.9934086800522564,0.03643270027261833,True,"pr_auc, roc_auc, recall","calibration_error, expected_cost",validation,False,False,lowest_validation_expected_cost_within_pareto_pool,taiwan,SCRE-Optimized,,False,validation_optimized,minimize_validation_expected_cost_after_final_calibration,validation,3000.0,75.0,935.0,dirichlet_random
random_forest,phase6_baseline,baseline,isotonic,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\random_forest_isotonic.joblib,0.5596793325208734,0.7867628833793389,0.3602110022607385,0.1336077591380536,0.1336077591380536,0.0092238183234798,3230.0,0.16,B_FN5_FP1,1.0,1.0,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,0.9988287988871916,0.9971113977689106,0.989648033126294,1.0,1.0,0.9944547223014416,0.962,0.9912478827569352,0.02363998912488845,True,"pr_auc, roc_auc, recall","calibration_error, expected_cost",validation,False,False,lowest_validation_expected_cost_within_pareto_pool,taiwan,SCRE-Optimized,,False,validation_optimized,minimize_validation_expected_cost_after_final_calibration,validation,3000.0,75.0,935.0,dirichlet_random
