dataset,stability_scope,model_family,seed_a,seed_b,spearman_rho,spearman_p_value,kendall_tau,kendall_p_value,kendalls_w,top5_overlap_count,top5_overlap_rate,top10_overlap_count,top10_overlap_rate
heloc,reduced,lightgbm,63817,67920,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,63817,85942,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,63817,89247,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,63817,92135,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,63817,94174,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,63817,128110,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,63817,165228,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,63817,182545,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,63817,201462,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,63817,227235,0.9761904761904763,3.3143960262001043e-05,0.9285714285714285,0.0003968253968253968,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,63817,276757,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
heloc,reduced,lightgbm,63817,354524,1.0,0.0,0.9999999999999998,4.96031746031746e-05,0.9908380952380952,5,1.0,8,0.8
