seed,rank,feature,mean_abs_shap
1,1,PAY_0,0.03275807675585151
1,2,recent_delay,0.027624401320628798
1,3,delay_count,0.02372457805940883
1,4,max_delay,0.020524589227419354
1,5,utilization_proxy,0.018594671133588994
1,6,LIMIT_BAL,0.016804149871319545
1,7,avg_delay,0.014699541806839396
1,8,bill_trend,0.0107444008145295
1,9,payment_to_bill_ratio,0.0106393228688091
1,10,PAY_AMT2,0.009290777309481048
2,1,PAY_0,0.032142262967489656
2,2,recent_delay,0.02604803903115909
2,3,max_delay,0.02569239144997671
2,4,delay_count,0.02132897226545959
2,5,utilization_proxy,0.01891264664512128
2,6,avg_delay,0.017312304117772733
2,7,LIMIT_BAL,0.01630430289831013
2,8,payment_to_bill_ratio,0.01168571534899995
2,9,bill_trend,0.009994983263909815
2,10,PAY_AMT2,0.008322491565644744
3,1,PAY_0,0.032636784035582095
3,2,recent_delay,0.027457976227365427
3,3,max_delay,0.024764329064320766
3,4,delay_count,0.02234290802376343
3,5,avg_delay,0.01840612300729381
3,6,utilization_proxy,0.01735690422998742
3,7,LIMIT_BAL,0.016886842961423103
3,8,bill_trend,0.009790650530755517
3,9,payment_to_bill_ratio,0.009230063373707239
3,10,PAY_AMT2,0.008607259541209784
4,1,PAY_0,0.03451521773524585
4,2,max_delay,0.027859247615300106
4,3,recent_delay,0.02307606488445774
4,4,delay_count,0.021495445709228508
4,5,utilization_proxy,0.019030106503833095
4,6,LIMIT_BAL,0.016450906907692554
4,7,avg_delay,0.014746342121902867
4,8,payment_to_bill_ratio,0.011250073876995602
4,9,bill_trend,0.009900947767049077
4,10,PAY_AMT2,0.009569409770704808
5,1,PAY_0,0.03326951410731299
5,2,recent_delay,0.026665783134307695
5,3,max_delay,0.023362887377608568
5,4,delay_count,0.021417608200758703
5,5,utilization_proxy,0.018305220777615906
5,6,LIMIT_BAL,0.01714905826553702
5,7,avg_delay,0.016801906466968348
5,8,payment_to_bill_ratio,0.0111861395589821
5,9,bill_trend,0.009506184022333474
5,10,PAY_AMT2,0.0092782812168449
6,1,PAY_0,0.03228223765179515
6,2,recent_delay,0.025650708516053843
6,3,max_delay,0.023876677578091636
6,4,delay_count,0.023372978241797515
6,5,utilization_proxy,0.01797897965407001
6,6,LIMIT_BAL,0.016837087522316718
6,7,avg_delay,0.016730215830840174
6,8,payment_to_bill_ratio,0.010538236938100316
6,9,bill_trend,0.01049703626571223
6,10,PAY_AMT2,0.009131446252148592
7,1,PAY_0,0.03221625053975731
7,2,recent_delay,0.028169649596698612
7,3,max_delay,0.023985560577064757
7,4,delay_count,0.021227882768660784
7,5,utilization_proxy,0.018979535628166056
7,6,LIMIT_BAL,0.016574340114779765
7,7,avg_delay,0.013587316245399399
7,8,payment_to_bill_ratio,0.011690045339073987
7,9,bill_trend,0.009568935755118729
7,10,PAY_AMT2,0.009231700015943489
8,1,PAY_0,0.033474936991557465
8,2,max_delay,0.024710548311304283
8,3,recent_delay,0.023556917047239823
8,4,delay_count,0.02260933921346441
8,5,avg_delay,0.018920976796578642
8,6,utilization_proxy,0.017983581861369315
8,7,LIMIT_BAL,0.01721222731536254
8,8,payment_to_bill_ratio,0.011369255413021888
8,9,bill_trend,0.01057046639002859
8,10,PAY_AMT2,0.010227260878328231
9,1,PAY_0,0.03382368518110364
9,2,recent_delay,0.02440472964333372
9,3,max_delay,0.02380880689285698
9,4,delay_count,0.02160511368064211
9,5,LIMIT_BAL,0.0175844499683194
9,6,utilization_proxy,0.01710392532315105
9,7,avg_delay,0.01590648445844651
9,8,payment_to_bill_ratio,0.01003719922143965
9,9,bill_trend,0.009295630740169432
9,10,PAY_AMT2,0.009199109230432666
10,1,PAY_0,0.03383312710801139
10,2,recent_delay,0.02565652403311803
10,3,max_delay,0.02544103867456318
10,4,delay_count,0.023619036398772136
10,5,utilization_proxy,0.017999037698600433
10,6,LIMIT_BAL,0.017129694435037677
10,7,avg_delay,0.012950704554207628
10,8,payment_to_bill_ratio,0.010843637748565529
10,9,bill_trend,0.010174659250602121
10,10,PAY_AMT2,0.008839603678937998
