dataset,stability_scope,model_family,seed_index,random_seed,feature,mean_abs_shap,mean_shap,rank,shap_sign,raw_feature,in_top_5,in_top_10
taiwan,full,lightgbm,1,402405,recent_delay,0.28461860694270064,-0.022559262944778266,1,-1.0,recent_delay,True,True
taiwan,full,lightgbm,1,402405,PAY_0,0.19144496306288386,-0.0530710281032838,2,-1.0,PAY_0,True,True
taiwan,full,lightgbm,1,402405,utilization_proxy,0.1632491937893869,0.024866169339133416,3,1.0,utilization_proxy,True,True
taiwan,full,lightgbm,1,402405,delay_count,0.15705315740159762,0.03642239100383491,4,1.0,delay_count,True,True
taiwan,full,lightgbm,1,402405,max_delay,0.14286026049708977,0.013872911964190819,5,1.0,max_delay,True,True
taiwan,full,lightgbm,1,402405,LIMIT_BAL,0.12967344830739133,-0.0034828061387415445,6,-1.0,LIMIT_BAL,False,True
taiwan,full,lightgbm,1,402405,PAY_AMT1,0.07464192995403283,0.006178347698509525,7,1.0,PAY_AMT1,False,True
taiwan,full,lightgbm,1,402405,payment_to_bill_ratio,0.07059175425795713,-0.005486081707408958,8,-1.0,payment_to_bill_ratio,False,True
taiwan,full,lightgbm,1,402405,bill_trend,0.07052339332540934,-0.003330792683074479,9,-1.0,bill_trend,False,True
taiwan,full,lightgbm,1,402405,BILL_AMT1,0.06838082250887972,0.005530274474558759,10,1.0,BILL_AMT1,False,True
taiwan,full,lightgbm,1,402405,bill_volatility,0.06620450908410412,-0.0005939187541085226,11,-1.0,bill_volatility,False,False
taiwan,full,lightgbm,1,402405,PAY_AMT3,0.06604372895924425,-0.010757385327241475,12,-1.0,PAY_AMT3,False,False
taiwan,full,lightgbm,1,402405,PAY_AMT2,0.06572486504135844,-0.005670806333833969,13,-1.0,PAY_AMT2,False,False
taiwan,full,lightgbm,1,402405,total_pay_amt,0.05244379534897967,-0.00535412855629848,14,-1.0,total_pay_amt,False,False
taiwan,full,lightgbm,1,402405,recent_payment_intensity,0.050480414200049256,0.0006437830720194889,15,1.0,recent_payment_intensity,False,False
taiwan,full,lightgbm,1,402405,max_bill_amt,0.049482512052988786,-0.0048539296514394665,16,-1.0,max_bill_amt,False,False
taiwan,full,lightgbm,1,402405,severe_delay_count,0.04799471387154074,-0.003859695356405746,17,-1.0,severe_delay_count,False,False
taiwan,full,lightgbm,1,402405,avg_delay,0.04785604491618888,-0.008985415857065132,18,-1.0,avg_delay,False,False
taiwan,full,lightgbm,1,402405,PAY_AMT6,0.04679864271611076,-0.001077884769897418,19,-1.0,PAY_AMT6,False,False
taiwan,full,lightgbm,1,402405,BILL_AMT5,0.046277909020492745,0.009720779162438027,20,1.0,BILL_AMT5,False,False
taiwan,full,lightgbm,1,402405,PAY_AMT4,0.04616434931111959,0.0011136681055371068,21,1.0,PAY_AMT4,False,False
taiwan,full,lightgbm,1,402405,total_bill_amt,0.04456887872614175,-0.004567936206120624,22,-1.0,total_bill_amt,False,False
taiwan,full,lightgbm,1,402405,payment_volatility,0.03488942583067057,-0.003366420445850831,23,-1.0,payment_volatility,False,False
taiwan,full,lightgbm,1,402405,AGE,0.03269071034170762,0.0036744959443573526,24,1.0,AGE,False,False
taiwan,full,lightgbm,1,402405,PAY_3,0.03236548146650978,-0.012015772932305824,25,-1.0,PAY_3,False,False
taiwan,full,lightgbm,1,402405,BILL_AMT6,0.02922993048456641,0.0035485774838742252,26,1.0,BILL_AMT6,False,False
taiwan,full,lightgbm,1,402405,BILL_AMT3,0.028513159051547138,0.011046623273081044,27,1.0,BILL_AMT3,False,False
taiwan,full,lightgbm,1,402405,EDUCATION_4,0.028354780781906053,-0.0034446460443177786,28,-1.0,EDUCATION,False,False
taiwan,full,lightgbm,1,402405,BILL_AMT2,0.027452606179483075,-0.006480921253461448,29,-1.0,BILL_AMT2,False,False
taiwan,full,lightgbm,1,402405,PAY_AMT5,0.02635728425181924,-0.0006746688532728612,30,-1.0,PAY_AMT5,False,False
taiwan,full,lightgbm,1,402405,BILL_AMT4,0.026097716464845745,0.010172528767273356,31,1.0,BILL_AMT4,False,False
taiwan,full,lightgbm,1,402405,max_pay_amt,0.024727763698638286,0.0030003186586496588,32,1.0,max_pay_amt,False,False
