seed_a,seed_b,spearman_rho,p_value
1,2,0.9636363636363635,7.320974809529922e-06
1,3,0.9515151515151514,2.279854920641689e-05
1,4,0.9515151515151514,2.279854920641689e-05
1,5,0.9757575757575757,1.4675461874042197e-06
1,6,0.9757575757575757,1.4675461874042197e-06
1,7,0.9757575757575757,1.4675461874042197e-06
1,8,0.9151515151515152,0.0002044724061488323
1,9,0.9636363636363635,7.320974809529922e-06
1,10,0.9757575757575757,1.4675461874042197e-06
2,3,0.9757575757575757,1.4675461874042197e-06
2,4,0.9757575757575757,1.4675461874042197e-06
2,5,0.9878787878787878,9.307459988955517e-08
2,6,0.9878787878787878,9.307459988955517e-08
2,7,0.9878787878787878,9.307459988955517e-08
2,8,0.9757575757575757,1.4675461874042197e-06
2,9,0.9636363636363635,7.320974809529922e-06
2,10,0.9878787878787878,9.307459988955517e-08
3,4,0.9393939393939393,5.484052998513666e-05
3,5,0.9515151515151514,2.279854920641689e-05
3,6,0.9515151515151514,2.279854920641689e-05
3,7,0.9515151515151514,2.279854920641689e-05
3,8,0.9757575757575757,1.4675461874042197e-06
3,9,0.9393939393939393,5.484052998513666e-05
3,10,0.9515151515151514,2.279854920641689e-05
4,5,0.9878787878787878,9.307459988955517e-08
4,6,0.9878787878787878,9.307459988955517e-08
4,7,0.9878787878787878,9.307459988955517e-08
4,8,0.9636363636363635,7.320974809529922e-06
4,9,0.9757575757575757,1.4675461874042197e-06
4,10,0.9878787878787878,9.307459988955517e-08
5,6,0.9999999999999999,6.646897422032013e-64
5,7,0.9999999999999999,6.646897422032013e-64
5,8,0.9515151515151514,2.279854920641689e-05
5,9,0.9878787878787878,9.307459988955517e-08
5,10,0.9999999999999999,6.646897422032013e-64
6,7,0.9999999999999999,6.646897422032013e-64
6,8,0.9515151515151514,2.279854920641689e-05
6,9,0.9878787878787878,9.307459988955517e-08
6,10,0.9999999999999999,6.646897422032013e-64
7,8,0.9515151515151514,2.279854920641689e-05
7,9,0.9878787878787878,9.307459988955517e-08
7,10,0.9999999999999999,6.646897422032013e-64
8,9,0.9393939393939393,5.484052998513666e-05
8,10,0.9515151515151514,2.279854920641689e-05
9,10,0.9878787878787878,9.307459988955517e-08
