dataset,model,feature,raw_feature,mean_abs_shap,mean_shap,rank,shap_direction
taiwan,lightgbm,recent_delay,recent_delay,0.2681108954229327,-0.00834577638731805,1,-1.0
taiwan,lightgbm,PAY_0,PAY_0,0.23201179081566642,-0.04985394856119055,2,-1.0
taiwan,lightgbm,delay_count,delay_count,0.20661222848424177,0.06131507404837913,3,1.0
taiwan,lightgbm,utilization_proxy,utilization_proxy,0.16555754300747344,0.005603022195225727,4,1.0
taiwan,lightgbm,LIMIT_BAL,LIMIT_BAL,0.15458633467058647,0.009511068969328547,5,1.0
taiwan,lightgbm,max_delay,max_delay,0.12062701515705643,0.01960362965088813,6,1.0
taiwan,lightgbm,BILL_AMT1,BILL_AMT1,0.09828588070760098,0.005809173595086995,7,1.0
taiwan,lightgbm,PAY_AMT1,PAY_AMT1,0.08955210785040706,-0.00017301339120602547,8,-1.0
taiwan,lightgbm,bill_volatility,bill_volatility,0.08749278670797139,0.013270220092170505,9,1.0
taiwan,lightgbm,payment_to_bill_ratio,payment_to_bill_ratio,0.08690240582971648,-0.012328822352574759,10,-1.0
taiwan,lightgbm,bill_trend,bill_trend,0.08061344318281512,-0.0024056028601854447,11,-1.0
taiwan,lightgbm,PAY_AMT2,PAY_AMT2,0.07929444279032997,-0.004768495295472259,12,-1.0
taiwan,lightgbm,PAY_AMT3,PAY_AMT3,0.07795369706266664,-0.011655716375050668,13,-1.0
taiwan,lightgbm,BILL_AMT5,BILL_AMT5,0.06989078238153537,0.04879435855573571,14,1.0
taiwan,lightgbm,total_pay_amt,total_pay_amt,0.06948996587953385,-0.001624451521785781,15,-1.0
taiwan,lightgbm,max_bill_amt,max_bill_amt,0.06738119338785206,-0.01987421662637613,16,-1.0
taiwan,lightgbm,avg_delay,avg_delay,0.06261447350152216,-0.008231370308627844,17,-1.0
taiwan,lightgbm,PAY_AMT4,PAY_AMT4,0.062212837666332794,-0.0017227245334036994,18,-1.0
taiwan,lightgbm,recent_payment_intensity,recent_payment_intensity,0.05528760350371352,0.01574289756191891,19,1.0
taiwan,lightgbm,PAY_AMT6,PAY_AMT6,0.05223086892199046,-0.0005908785494990114,20,-1.0
