dataset,stability_scope,model_family,feature,raw_feature,mean_rank,median_rank,rank_std,min_rank,max_rank,top5_count,top5_frequency,top10_count,top10_frequency,mean_abs_shap
heloc,reduced,lightgbm,revolving_burden_proxy,revolving_burden_proxy,1.0,1.0,0.0,1,1,50,1.0,50,1.0,0.5936647833387247
heloc,reduced,lightgbm,delinquency_intensity,delinquency_intensity,2.0,2.0,0.0,2,2,50,1.0,50,1.0,0.5449414357188773
heloc,reduced,lightgbm,credit_history_length_proxy,credit_history_length_proxy,3.0,3.0,0.0,3,3,50,1.0,50,1.0,0.3612839319339255
heloc,reduced,lightgbm,recent_inquiry_pressure,recent_inquiry_pressure,4.0,4.0,0.0,4,4,50,1.0,50,1.0,0.22172784288257869
heloc,reduced,lightgbm,trade_activity_ratio,trade_activity_ratio,5.0,5.0,0.0,5,5,50,1.0,50,1.0,0.1594938778028974
heloc,reduced,lightgbm,installment_burden_proxy,installment_burden_proxy,6.26,6.0,0.4386342439892262,6,7,0,0.0,50,1.0,0.12599978757139582
heloc,reduced,lightgbm,high_utilization_signal,high_utilization_signal,6.74,7.0,0.4386342439892262,6,7,0,0.0,50,1.0,0.12270537568588939
heloc,reduced,lightgbm,negative_trade_signal,negative_trade_signal,8.0,8.0,0.0,8,8,0,0.0,50,1.0,0.06041473678495159
taiwan,full,lightgbm,recent_delay,recent_delay,1.02,1.0,0.13999999999999999,1,2,50,1.0,50,1.0,0.2533542047768713
taiwan,full,lightgbm,PAY_0,PAY_0,1.98,2.0,0.13999999999999999,1,2,50,1.0,50,1.0,0.20955023601223277
taiwan,full,lightgbm,delay_count,delay_count,3.56,3.0,0.7787168933572715,3,6,49,0.98,50,1.0,0.17124520694700263
taiwan,full,lightgbm,utilization_proxy,utilization_proxy,3.66,4.0,0.4737087712930805,3,4,50,1.0,50,1.0,0.16780907370946693
taiwan,full,lightgbm,max_delay,max_delay,5.26,5.0,0.8440379138403676,3,6,27,0.54,50,1.0,0.13282188093169375
taiwan,full,lightgbm,LIMIT_BAL,LIMIT_BAL,5.52,6.0,0.49959983987187184,5,6,24,0.48,50,1.0,0.13057408475574075
taiwan,full,lightgbm,PAY_AMT1,PAY_AMT1,7.48,7.0,0.854166260162505,7,10,0,0.0,50,1.0,0.07988705781895922
taiwan,full,lightgbm,payment_to_bill_ratio,payment_to_bill_ratio,8.66,8.0,1.5047923444781344,7,13,0,0.0,46,0.92,0.07428169672805268
taiwan,full,lightgbm,BILL_AMT1,BILL_AMT1,10.86,10.0,2.424953607803663,7,15,0,0.0,29,0.58,0.06921940663659965
taiwan,full,lightgbm,bill_volatility,bill_volatility,10.76,11.0,1.6316862443496911,8,15,0,0.0,20,0.4,0.0693385490014084
taiwan,full,lightgbm,PAY_AMT2,PAY_AMT2,11.26,11.0,2.1053265779921175,8,15,0,0.0,20,0.4,0.0679562359717623
taiwan,full,lightgbm,avg_delay,avg_delay,12.06,12.0,2.9285491288349594,7,18,0,0.0,17,0.34,0.06610672792316309
taiwan,full,lightgbm,bill_trend,bill_trend,11.68,12.0,1.8594622878671134,8,15,0,0.0,15,0.3,0.06675825341695259
taiwan,full,lightgbm,max_bill_amt,max_bill_amt,14.56,15.0,2.011566553708825,8,19,0,0.0,2,0.04,0.058991367959572535
taiwan,full,lightgbm,PAY_AMT3,PAY_AMT3,12.68,13.0,1.377534028617805,9,15,0,0.0,1,0.02,0.06517554270992078
taiwan,full,lightgbm,total_pay_amt,total_pay_amt,15.94,16.0,1.567290655877205,12,21,0,0.0,0,0.0,0.0546731945139442
taiwan,full,lightgbm,recent_payment_intensity,recent_payment_intensity,17.16,17.0,1.2387090053761618,15,21,0,0.0,0,0.0,0.04974787523743008
taiwan,full,lightgbm,BILL_AMT5,BILL_AMT5,19.24,19.5,2.093418257300724,14,23,0,0.0,0,0.0,0.045158363442158525
taiwan,full,lightgbm,PAY_AMT4,PAY_AMT4,19.26,19.0,1.2459534501738017,17,22,0,0.0,0,0.0,0.04472056725256499
taiwan,full,lightgbm,PAY_AMT6,PAY_AMT6,19.58,20.0,1.1504781614615724,16,22,0,0.0,0,0.0,0.04423166798783487
taiwan,full,lightgbm,total_bill_amt,total_bill_amt,20.14,20.0,2.690799137802746,15,28,0,0.0,0,0.0,0.042774040407678716
taiwan,full,lightgbm,PAY_3,PAY_3,23.18,23.0,1.6933989488599548,21,28,0,0.0,0,0.0,0.03382048770714255
taiwan,full,lightgbm,AGE,AGE,23.94,24.0,1.332816566523691,21,27,0,0.0,0,0.0,0.032295541846894094
taiwan,full,lightgbm,payment_volatility,payment_volatility,25.72,25.0,2.332723729891733,22,32,0,0.0,0,0.0,0.030437005534897952
