dataset,model,calibration_method,selection_split,test_set_used_for_training_or_selection,analysis_type,analysis_note,subgroup_column,subgroup_value,subgroup_label,threshold,fn_cost,fp_cost,sample_size,n_default,n_non_default,default_rate,roc_auc,pr_auc,recall,precision,f1,fpr,fnr,brier_score,ece,expected_cost,expected_cost_per_1000,tn,fp,fn,tp
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",SEX,1,SEX=1 (male),0.17,5.0,1.0,2402,561,1841,0.23355537052456288,0.7744134639683733,0.5440983279323347,0.7647058823529411,0.38201246660730187,0.5095011876484561,0.37696903856599673,0.23529411764705882,0.1441556343589555,0.024026260006690333,1354.0,563.6969192339717,1147,694,132,429
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",SEX,2,SEX=2 (female),0.17,5.0,1.0,3598,766,2832,0.21289605336297943,0.779331880338098,0.5650826823031346,0.7323759791122716,0.3705416116248349,0.4921052631578947,0.3365112994350282,0.26762402088772846,0.1299109696508772,0.016262564376402097,1978.0,549.7498610339078,1879,953,205,561
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",AGE_GROUP,30-39,AGE_GROUP=30-39,0.17,5.0,1.0,2198,453,1745,0.20609645131938126,0.7757977697236508,0.5212273030215504,0.717439293598234,0.36973833902161546,0.487987987987988,0.3174785100286533,0.282560706401766,0.1316021323913933,0.01591171623484277,1194.0,543.221110100091,1191,554,128,325
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",AGE_GROUP,40-49,AGE_GROUP=40-49,0.17,5.0,1.0,1341,312,1029,0.232662192393736,0.7682963295208194,0.5812176224230995,0.7532051282051282,0.3910149750415973,0.5147864184008762,0.3556851311953353,0.2467948717948718,0.13951448069433278,0.00943153815715059,751.0,560.0298284862043,663,366,77,235
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",AGE_GROUP,50+,AGE_GROUP=50+,0.17,5.0,1.0,549,135,414,0.2459016393442623,0.7791196994095545,0.6042882623039205,0.762962962962963,0.38721804511278196,0.513715710723192,0.39371980676328505,0.23703703703703705,0.14473406805092584,0.025627495360589635,323.0,588.3424408014572,251,163,32,103
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",AGE_GROUP,<30,AGE_GROUP=<30,0.17,5.0,1.0,1912,427,1485,0.223326359832636,0.7857284791711021,0.5590671721743923,0.765807962529274,0.367003367003367,0.496206373292868,0.3797979797979798,0.234192037470726,0.13487034182360164,0.017837968084135975,1064.0,556.4853556485356,921,564,100,327
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",EDUCATION,1,EDUCATION=1 (graduate_school),0.17,5.0,1.0,2130,405,1725,0.19014084507042253,0.7963907675791734,0.5363983530215488,0.7234567901234568,0.3785529715762274,0.49703138252756573,0.2788405797101449,0.2765432098765432,0.12056251753514022,0.022220890461965348,1041.0,488.7323943661972,1244,481,112,293
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",EDUCATION,2,EDUCATION=2 (university),0.17,5.0,1.0,2774,656,2118,0.23648161499639508,0.7741613694465557,0.5699049557671099,0.774390243902439,0.3757396449704142,0.5059760956175299,0.39848914069877245,0.22560975609756098,0.14123087030577877,0.016072374172429873,1584.0,571.0165825522711,1274,844,148,508
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",EDUCATION,3,EDUCATION=3 (high_school),0.17,5.0,1.0,1014,261,753,0.257396449704142,0.7360137992092931,0.5576910007100455,0.7126436781609196,0.3705179282868526,0.4875491480996068,0.4196547144754316,0.28735632183908044,0.1581513632224895,0.04524876056565234,691.0,681.4595660749508,437,316,75,186
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",EDUCATION,4,EDUCATION=4 (other),0.17,5.0,1.0,82,5,77,0.06097560975609756,0.6207792207792207,0.3767965367965368,0.6,0.3333333333333333,0.42857142857142855,0.07792207792207792,0.4,0.05784662985834077,0.09764761726371675,16.0,195.1219512195122,71,6,2,3
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",MARRIAGE,1,MARRIAGE=1 (married),0.17,5.0,1.0,2767,668,2099,0.24141669678352007,0.7780929327623933,0.5815663085334709,0.7574850299401198,0.40415335463258784,0.5270833333333333,0.3554073368270605,0.24251497005988024,0.14326714844971356,0.019461857271063265,1556.0,562.3418865196965,1353,746,162,506
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",MARRIAGE,2,MARRIAGE=2 (single),0.17,5.0,1.0,3158,647,2511,0.20487650411652944,0.7790091449246191,0.5370702585557724,0.7372488408037094,0.35281065088757396,0.47723861930965483,0.34846674631620866,0.26275115919629055,0.12889095214436125,0.019512126639915205,1725.0,546.2317922735908,1636,875,170,477
taiwan,lightgbm,isotonic,validation,False,subgroup_reliability,"subgroup reliability analysis, not legal fairness proof",MARRIAGE,3,MARRIAGE=3 (other),0.17,5.0,1.0,75,12,63,0.16,0.6798941798941799,0.3509855884855884,0.5833333333333334,0.21212121212121213,0.3111111111111111,0.4126984126984127,0.4166666666666667,0.13631567869089473,0.06811192270523805,51.0,680.0,37,26,5,7
