threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,fn_cost_component,fp_cost_component,expected_cost
0.2,0.5776666666666667,0.3248185776487663,0.8432554634513941,0.46898575020955574,0.5022469505670876,0.6507860516848059,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,2347,2326,208,1119,1040.0,2326.0,3366.0
0.25,0.6678333333333333,0.37309451219512196,0.7377543330821401,0.495570741584409,0.6479777444896212,0.6914104343571985,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,3028,1645,348,979,1740.0,1645.0,3385.0
0.3,0.7296666666666667,0.42766061794997545,0.6571213262999246,0.5181224004753416,0.7502674941151295,0.7021515298086695,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,3506,1167,455,872,2275.0,1167.0,3442.0
0.35,0.768,0.4807806031933767,0.6126601356443104,0.5387673956262425,0.8121121335330622,0.7053713418397123,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,3795,878,514,813,2570.0,878.0,3448.0
0.4,0.7915,0.5262793914246197,0.573474001507159,0.5488640461593941,0.853413224909052,0.6995786567840124,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,3988,685,566,761,2830.0,685.0,3515.0
0.15,0.4553333333333333,0.2790803551104029,0.9238884702336096,0.4286713286713287,0.322276909907982,0.5456628274736152,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,1506,3167,101,1226,505.0,3167.0,3672.0
0.45,0.8031666666666667,0.5590614886731392,0.520723436322532,0.5392118611002731,0.8833725658035523,0.6782276889203785,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,4128,545,636,691,3180.0,545.0,3725.0
0.5,0.8123333333333334,0.5972894482090997,0.46495855312735496,0.5228813559322034,0.9109779584849134,0.6508202466949357,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,4257,416,710,617,3550.0,416.0,3966.0
0.1,0.32866666666666666,0.2444654683065279,0.9736247174076865,0.39080459770114945,0.14551679863043013,0.3764023803652466,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,680,3993,35,1292,175.0,3993.0,4168.0
0.55,0.8173333333333334,0.6347724620770129,0.40994724943481536,0.4981684981684982,0.9330194735715814,0.6184567623203656,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,4360,313,783,544,3915.0,313.0,4228.0
0.6,0.8188333333333333,0.6621621621621622,0.36925395629238883,0.4741170778906628,0.9465011769741065,0.5911846617031699,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,4423,250,837,490,4185.0,250.0,4435.0
0.65,0.8193333333333334,0.6877897990726429,0.33534287867370005,0.4508611955420466,0.9567729509950781,0.5664335756501555,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,4471,202,882,445,4410.0,202.0,4612.0
0.7,0.8175,0.7156133828996283,0.2901281085154484,0.4128686327077748,0.9672587203081532,0.5297442241007235,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,4520,153,942,385,4710.0,153.0,4863.0
0.75,0.8118333333333333,0.745049504950495,0.22682743029389602,0.34777585210860773,0.9779584849133319,0.470985997739851,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,4570,103,1026,301,5130.0,103.0,5233.0
0.8,0.8018333333333333,0.7738095238095238,0.146948003014318,0.24699176694110198,0.9878022683500963,0.3809928748770246,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,4616,57,1132,195,5660.0,57.0,5717.0
0.85,0.7898333333333334,0.8928571428571429,0.05651846269781462,0.10630758327427356,0.9980740423710678,0.23750707470179966,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,4664,9,1252,75,6260.0,9.0,6269.0
0.9,0.7811666666666667,0.8888888888888888,0.012057272042200452,0.02379182156133829,0.9995720094157928,0.10978210985080933,0.7819992707711297,0.562329532384611,0.140827203279432,0.07578098771318083,1.0209652905615938,-0.4944019139736402,4671,2,1311,16,6555.0,2.0,6557.0
