fn_cost,fp_cost,threshold,expected_cost,precision,recall,f1,fp,fn
1.0,1.0,0.65,1085.0,0.6867283950617284,0.33534287867370005,0.4506329113924051,203,882
1.0,1.0,0.6,1094.0,0.6563758389261745,0.36850037678975134,0.472007722007722,256,838
1.0,1.0,0.7,1094.0,0.7153419593345656,0.29163526752072344,0.4143468950749465,154,940
1.0,1.0,0.55,1103.0,0.628735632183908,0.41220798794272795,0.4979517523896222,323,780
1.0,1.0,0.5,1117.0,0.6023391812865497,0.46571213262999245,0.5252868678283042,408,709
1.0,1.0,0.75,1126.0,0.7457212713936431,0.22984174830444612,0.3513824884792627,104,1022
1.0,1.0,0.45,1171.0,0.5630048465266559,0.5252449133383572,0.5434697855750488,541,630
1.0,1.0,0.8,1187.0,0.7777777777777778,0.14770158251695553,0.24825839138695377,56,1131
1.0,1.0,0.4,1247.0,0.5278940027894002,0.5704596834966089,0.5483520463600144,677,570
1.0,1.0,0.85,1260.0,0.8850574712643678,0.058025621703089676,0.10891089108910891,10,1250
1.0,1.0,0.9,1313.0,0.8888888888888888,0.012057272042200452,0.02379182156133829,2,1311
1.0,1.0,0.95,1327.0,0.0,0.0,0.0,0,1327
1.0,1.0,0.35,1379.0,0.4846517119244392,0.6186887716654107,0.5435286329030122,873,506
1.0,1.0,0.3,1618.0,0.4292659212445309,0.6654107008289375,0.5218676122931442,1174,444
1.0,1.0,0.25,1989.0,0.37462121212121213,0.7452901281085155,0.49861356188555583,1651,338
1.0,1.0,0.2,2542.0,0.32497839239412274,0.8500376789751318,0.4701959149645686,2343,199
1.0,1.0,0.15,3236.0,0.28092724351618087,0.9223813112283346,0.4306826178747361,3133,103
1.0,1.0,0.1,4017.0,0.24487860394537178,0.972871137905049,0.3912714047582967,3981,36
1.0,1.0,0.05,4600.0,0.22370420395070065,0.9984928409947249,0.36551724137931035,4598,2
2.0,1.0,0.45,1801.0,0.5630048465266559,0.5252449133383572,0.5434697855750488,541,630
2.0,1.0,0.4,1817.0,0.5278940027894002,0.5704596834966089,0.5483520463600144,677,570
