t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.2,0.6,2042.5,2088,2125,587,0.435,0.4427083333333333,0.12229166666666667,157,195,1931,392,513,1612,0.6678023850085179,0.3691148775894539,0.852165725047081,0.5572916666666666,True,True,True
0.2,0.55,2049.0,2088,2032,680,0.435,0.42333333333333334,0.14166666666666666,157,248,1931,432,473,1559,0.6352941176470588,0.4067796610169492,0.852165725047081,0.5766666666666667,True,True,True
0.2,0.5,2050.5,2088,1905,807,0.435,0.396875,0.168125,157,313,1931,494,411,1494,0.6121437422552665,0.4651600753295669,0.852165725047081,0.603125,True,True,True
0.2,0.45,2068.5,2088,1749,963,0.435,0.364375,0.200625,157,409,1931,554,351,1398,0.5752855659397715,0.5216572504708098,0.852165725047081,0.635625,True,True,True
0.2,0.4,2110.0,2088,1586,1126,0.435,0.3304166666666667,0.23458333333333334,157,532,1931,594,311,1275,0.5275310834813499,0.559322033898305,0.852165725047081,0.6695833333333333,True,True,True
0.2,0.35,2160.5,2088,1371,1341,0.435,0.285625,0.279375,157,690,1931,651,254,1117,0.4854586129753915,0.6129943502824858,0.852165725047081,0.714375,True,True,True
0.15,0.35,2202.5,1374,2085,1341,0.28625,0.434375,0.279375,94,690,1280,651,317,1768,0.4854586129753915,0.6129943502824858,0.911487758945386,0.565625,True,True,True
0.25,0.6,2219.0,2735,1478,587,0.5697916666666667,0.30791666666666667,0.12229166666666667,257,195,2478,392,413,1065,0.6678023850085179,0.3691148775894539,0.7580037664783428,0.6920833333333334,True,True,True
0.25,0.65,2219.5,2735,1567,498,0.5697916666666667,0.32645833333333335,0.10375,257,151,2478,347,458,1109,0.6967871485943775,0.3267419962335217,0.7580037664783428,0.6735416666666667,True,True,True
0.25,0.55,2225.5,2735,1385,680,0.5697916666666667,0.28854166666666664,0.14166666666666666,257,248,2478,432,373,1012,0.6352941176470588,0.4067796610169492,0.7580037664783428,0.7114583333333333,True,True,True
0.25,0.5,2227.0,2735,1258,807,0.5697916666666667,0.26208333333333333,0.168125,257,313,2478,494,311,947,0.6121437422552665,0.4651600753295669,0.7580037664783428,0.7379166666666667,True,True,True
0.25,0.7,2232.0,2735,1652,413,0.5697916666666667,0.3441666666666667,0.08604166666666667,257,121,2478,292,513,1139,0.7070217917675545,0.2749529190207156,0.7580037664783428,0.6558333333333334,True,True,True
0.2,0.3,2242.5,2088,1093,1619,0.435,0.22770833333333335,0.33729166666666666,157,911,1931,708,197,896,0.43730697961704756,0.6666666666666666,0.852165725047081,0.7722916666666667,True,True,True
0.25,0.75,2244.5,2735,1755,310,0.5697916666666667,0.365625,0.06458333333333334,257,82,2478,228,577,1178,0.7354838709677419,0.21468926553672316,0.7580037664783428,0.634375,True,True,True
0.25,0.45,2245.0,2735,1102,963,0.5697916666666667,0.22958333333333333,0.200625,257,409,2478,554,251,851,0.5752855659397715,0.5216572504708098,0.7580037664783428,0.7704166666666666,True,True,True
0.25,0.8,2263.0,2735,1870,195,0.5697916666666667,0.38958333333333334,0.040625,257,43,2478,152,653,1217,0.7794871794871795,0.1431261770244821,0.7580037664783428,0.6104166666666667,True,True,True
0.15,0.3,2284.5,1374,1807,1619,0.28625,0.37645833333333334,0.33729166666666666,94,911,1280,708,260,1547,0.43730697961704756,0.6666666666666666,0.911487758945386,0.6235416666666667,True,True,True
