threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,fn_cost_component,fp_cost_component,expected_cost
0.2,0.5763333333333334,0.32497839239412274,0.8500376789751318,0.4701959149645686,0.4986090306013268,0.6510272368253054,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,2330,2343,199,1128,995.0,2343.0,3338.0
0.25,0.6685,0.37462121212121213,0.7452901281085155,0.49861356188555583,0.6466937727369998,0.6942438222484503,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,3022,1651,338,989,1690.0,1651.0,3341.0
0.3,0.7303333333333333,0.4292659212445309,0.6654107008289375,0.5218676122931442,0.7487695270704045,0.7058606489720687,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,3499,1174,444,883,2220.0,1174.0,3394.0
0.35,0.7701666666666667,0.4846517119244392,0.6186887716654107,0.5435286329030122,0.8131821099935801,0.7093001062823937,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,3800,873,506,821,2530.0,873.0,3403.0
0.4,0.7921666666666667,0.5278940027894002,0.5704596834966089,0.5483520463600144,0.8551251872458806,0.6984371436759814,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,3996,677,570,757,2850.0,677.0,3527.0
0.15,0.46066666666666667,0.28092724351618087,0.9223813112283346,0.4306826178747361,0.32955274983950356,0.5513377345292672,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,1540,3133,103,1224,515.0,3133.0,3648.0
0.45,0.8048333333333333,0.5630048465266559,0.5252449133383572,0.5434697855750488,0.8842285469719666,0.6814958154864872,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,4132,541,630,697,3150.0,541.0,3691.0
0.5,0.8138333333333333,0.6023391812865497,0.46571213262999245,0.5252868678283042,0.9126899208217419,0.6519591777525586,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,4265,408,709,618,3545.0,408.0,3953.0
0.1,0.3305,0.24487860394537178,0.972871137905049,0.3912714047582967,0.14808474213567302,0.3795620787011105,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,692,3981,36,1291,180.0,3981.0,4161.0
0.55,0.8161666666666667,0.628735632183908,0.41220798794272795,0.4979517523896222,0.9308795206505457,0.61944812068845,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,4350,323,780,547,3900.0,323.0,4223.0
0.6,0.8176666666666667,0.6563758389261745,0.36850037678975134,0.472007722007722,0.9452172052214851,0.5901803929920689,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,4417,256,838,489,4190.0,256.0,4446.0
0.65,0.8191666666666667,0.6867283950617284,0.33534287867370005,0.4506329113924051,0.9565589557029746,0.5663702268185924,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,4470,203,882,445,4410.0,203.0,4613.0
0.7,0.8176666666666667,0.7153419593345656,0.29163526752072344,0.4143468950749465,0.9670447250160497,0.531059645505625,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,4519,154,940,387,4700.0,154.0,4854.0
0.75,0.8123333333333334,0.7457212713936431,0.22984174830444612,0.3513824884792627,0.9777444896212283,0.474053270096918,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,4569,104,1022,305,5110.0,104.0,5214.0
0.8,0.8021666666666667,0.7777777777777778,0.14770158251695553,0.24825839138695377,0.9880162636421999,0.38200990261044604,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,4617,56,1131,196,5655.0,56.0,5711.0
0.85,0.79,0.8850574712643678,0.058025621703089676,0.10891089108910891,0.9978600470789643,0.24062720046667882,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,4663,10,1250,77,6250.0,10.0,6260.0
0.9,0.7811666666666667,0.8888888888888888,0.012057272042200452,0.02379182156133829,0.9995720094157928,0.10978210985080933,0.7832427656448377,0.5643242273951756,0.14072446903500324,0.07622859117915284,1.0230576807769183,-0.49661723729423657,4671,2,1311,16,6555.0,2.0,6557.0
