t_low,t_high,expected_policy_cost,low_count,manual_review_count,high_count,low_rate,manual_review_rate,high_rate,low_false_negative,high_false_positive,low_true_negative,high_true_positive,manual_review_default,manual_review_non_default,high_risk_precision,high_risk_recall,review_capture_recall,auto_decision_rate,meets_review_capture_recall,meets_review_rate,meets_constraints
0.2,0.6,2567.0,2632,2658,710,0.43866666666666665,0.443,0.11833333333333333,203,223,2429,487,637,2021,0.6859154929577465,0.36699321778447624,0.8470233609645818,0.557,True,True,True
0.2,0.5,2574.0,2632,2384,984,0.43866666666666665,0.3973333333333333,0.164,203,367,2429,617,507,1877,0.6270325203252033,0.46495855312735496,0.8470233609645818,0.6026666666666667,True,True,True
0.2,0.55,2574.5,2632,2539,829,0.43866666666666665,0.4231666666666667,0.13816666666666666,203,290,2429,539,585,1954,0.6501809408926418,0.40617935192162774,0.8470233609645818,0.5768333333333333,True,True,True
0.2,0.45,2603.0,2632,2186,1182,0.43866666666666665,0.36433333333333334,0.197,203,495,2429,687,437,1749,0.5812182741116751,0.517709118311982,0.8470233609645818,0.6356666666666667,True,True,True
0.2,0.4,2648.5,2632,1995,1373,0.43866666666666665,0.3325,0.22883333333333333,203,636,2429,737,387,1608,0.5367807720320467,0.5553880934438583,0.8470233609645818,0.6675,True,True,True
0.2,0.35,2713.5,2632,1729,1639,0.43866666666666665,0.2881666666666667,0.27316666666666667,203,834,2429,805,319,1410,0.49115314215985356,0.6066314996232103,0.8470233609645818,0.7118333333333333,True,True,True
0.15,0.35,2740.5,1748,2613,1639,0.29133333333333333,0.4355,0.27316666666666667,120,834,1628,805,402,2211,0.49115314215985356,0.6066314996232103,0.9095704596834966,0.5645,True,True,True
0.25,0.6,2769.5,3467,1823,710,0.5778333333333333,0.30383333333333334,0.11833333333333333,327,223,3140,487,513,1310,0.6859154929577465,0.36699321778447624,0.7535795026375283,0.6961666666666667,True,True,True
0.25,0.5,2776.5,3467,1549,984,0.5778333333333333,0.25816666666666666,0.164,327,367,3140,617,383,1166,0.6270325203252033,0.46495855312735496,0.7535795026375283,0.7418333333333333,True,True,True
0.25,0.55,2777.0,3467,1704,829,0.5778333333333333,0.284,0.13816666666666666,327,290,3140,539,461,1243,0.6501809408926418,0.40617935192162774,0.7535795026375283,0.716,True,True,True
0.25,0.65,2777.5,3467,1927,606,0.5778333333333333,0.32116666666666666,0.101,327,179,3140,427,573,1354,0.7046204620462047,0.32177844762622454,0.7535795026375283,0.6788333333333333,True,True,True
0.25,0.7,2792.0,3467,2034,499,0.5778333333333333,0.339,0.08316666666666667,327,140,3140,359,641,1393,0.7194388777555111,0.2705350414468726,0.7535795026375283,0.661,True,True,True
0.25,0.45,2805.5,3467,1351,1182,0.5778333333333333,0.22516666666666665,0.197,327,495,3140,687,313,1038,0.5812182741116751,0.517709118311982,0.7535795026375283,0.7748333333333334,True,True,True
0.25,0.75,2805.5,3467,2159,374,0.5778333333333333,0.35983333333333334,0.06233333333333333,327,91,3140,283,717,1442,0.7566844919786097,0.2132629992464205,0.7535795026375283,0.6401666666666667,True,True,True
0.2,0.3,2807.0,2632,1384,1984,0.43866666666666665,0.23066666666666666,0.33066666666666666,203,1100,2429,884,240,1144,0.44556451612903225,0.6661642803315749,0.8470233609645818,0.7693333333333333,True,True,True
0.15,0.3,2834.0,1748,2268,1984,0.29133333333333333,0.378,0.33066666666666666,120,1100,1628,884,323,1945,0.44556451612903225,0.6661642803315749,0.9095704596834966,0.622,True,True,True
0.25,0.8,2841.0,3467,2308,225,0.5778333333333333,0.38466666666666666,0.0375,327,52,3140,173,827,1481,0.7688888888888888,0.1303692539562924,0.7535795026375283,0.6153333333333333,True,True,True
0.25,0.4,2851.0,3467,1160,1373,0.5778333333333333,0.19333333333333333,0.22883333333333333,327,636,3140,737,263,897,0.5367807720320467,0.5553880934438583,0.7535795026375283,0.8066666666666666,True,True,True
0.25,0.85,2885.0,3467,2466,67,0.5778333333333333,0.411,0.011166666666666667,327,17,3140,50,950,1516,0.746268656716418,0.037678975131876416,0.7535795026375283,0.589,True,True,True
0.25,0.9,2899.0,3467,2526,7,0.5778333333333333,0.421,0.0011666666666666668,327,1,3140,6,994,1532,0.8571428571428571,0.00452147701582517,0.7535795026375283,0.579,True,True,True
0.25,0.95,2901.5,3467,2533,0,0.5778333333333333,0.4221666666666667,0.0,327,0,3140,0,1000,1533,0.0,0.0,0.7535795026375283,0.5778333333333333,True,True,True
0.25,0.35,2916.0,3467,894,1639,0.5778333333333333,0.149,0.27316666666666667,327,834,3140,805,195,699,0.49115314215985356,0.6066314996232103,0.7535795026375283,0.851,True,True,True
0.2,0.25,2965.5,2632,835,2533,0.43866666666666665,0.13916666666666666,0.4221666666666667,203,1533,2429,1000,124,711,0.3947887879984208,0.7535795026375283,0.8470233609645818,0.8608333333333333,True,True,True
0.15,0.25,2992.5,1748,1719,2533,0.29133333333333333,0.2865,0.4221666666666667,120,1533,1628,1000,207,1512,0.3947887879984208,0.7535795026375283,0.9095704596834966,0.7135,True,True,True
0.25,0.3,3009.5,3467,549,1984,0.5778333333333333,0.0915,0.33066666666666666,327,1100,3140,884,116,433,0.44556451612903225,0.6661642803315749,0.7535795026375283,0.9085,True,True,True
0.1,0.25,3040.0,853,2614,2533,0.14216666666666666,0.43566666666666665,0.4221666666666667,40,1533,813,1000,287,2327,0.3947887879984208,0.7535795026375283,0.9698568198944989,0.5643333333333334,True,True,True
0.15,0.2,3286.0,1748,884,3368,0.29133333333333333,0.14733333333333334,0.5613333333333334,120,2244,1628,1124,83,801,0.333729216152019,0.8470233609645818,0.9095704596834966,0.8526666666666667,True,True,True
0.1,0.2,3333.5,853,1779,3368,0.14216666666666666,0.2965,0.5613333333333334,40,2244,813,1124,163,1616,0.333729216152019,0.8470233609645818,0.9698568198944989,0.7035,True,True,True
0.05,0.2,3529.5,101,2531,3368,0.016833333333333332,0.42183333333333334,0.5613333333333334,4,2244,97,1124,199,2332,0.333729216152019,0.8470233609645818,0.9969856819894499,0.5781666666666667,True,True,True
0.1,0.15,3692.5,853,895,4252,0.14216666666666666,0.14916666666666667,0.7086666666666667,40,3045,813,1207,80,815,0.28386641580432737,0.9095704596834966,0.9698568198944989,0.8508333333333333,True,True,True
0.05,0.15,3888.5,101,1647,4252,0.016833333333333332,0.2745,0.7086666666666667,4,3045,97,1207,116,1531,0.28386641580432737,0.9095704596834966,0.9969856819894499,0.7255,True,True,True
0.05,0.1,4256.0,101,752,5147,0.016833333333333332,0.12533333333333332,0.8578333333333333,4,3860,97,1287,36,716,0.2500485719836798,0.9698568198944989,0.9969856819894499,0.8746666666666667,True,True,True
