dataset,selection_split,threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp,fn_cost_component,fp_cost_component,expected_cost
taiwan,validation,0.25,0.69,0.3947887879984208,0.7535795026375283,0.5181347150259067,0.6719452172052215,0.7115926802470475,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,3140,1533,327,1000,1635.0,1533.0,3168.0
taiwan,validation,0.2,0.5921666666666666,0.333729216152019,0.8470233609645818,0.4788072417465389,0.5197945645195806,0.6635345801467293,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,2429,2244,203,1124,1015.0,2244.0,3259.0
taiwan,validation,0.3,0.7428333333333333,0.44556451612903225,0.6661642803315749,0.5339776502567201,0.7646051786860689,0.7136894693052437,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,3573,1100,443,884,2215.0,1100.0,3315.0
taiwan,validation,0.35,0.774,0.49115314215985356,0.6066314996232103,0.5428186109238031,0.8215279263856196,0.705949515167802,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,3839,834,522,805,2610.0,834.0,3444.0
taiwan,validation,0.4,0.7956666666666666,0.5367807720320467,0.5553880934438583,0.5459259259259259,0.8638989942221271,0.6926754040162636,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,4037,636,590,737,2950.0,636.0,3586.0
taiwan,validation,0.15,0.4725,0.28386641580432737,0.9095704596834966,0.432694031188385,0.348384335544618,0.5629210426230732,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,1628,3045,120,1207,600.0,3045.0,3645.0
taiwan,validation,0.45,0.8108333333333333,0.5812182741116751,0.517709118311982,0.5476285372658429,0.894072330408731,0.6803450579544494,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,4178,495,640,687,3200.0,495.0,3695.0
taiwan,validation,0.5,0.8205,0.6270325203252033,0.46495855312735496,0.5339679792297707,0.9214637277979885,0.6545551478953409,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,4306,367,710,617,3550.0,367.0,3917.0
taiwan,validation,0.1,0.35,0.2500485719836798,0.9698568198944989,0.39759036144578314,0.17397817248020545,0.4107723421710725,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,813,3860,40,1287,200.0,3860.0,4060.0
taiwan,validation,0.55,0.8203333333333334,0.6501809408926418,0.40617935192162774,0.5,0.9379413652899636,0.6172296297926438,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,4383,290,788,539,3940.0,290.0,4230.0
taiwan,validation,0.6,0.8228333333333333,0.6859154929577465,0.36699321778447624,0.47815414825724106,0.9522790498609031,0.5911682947665551,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,4450,223,840,487,4200.0,223.0,4423.0
taiwan,validation,0.65,0.8201666666666667,0.7046204620462047,0.32177844762622454,0.44180031039834455,0.9616948427134603,0.5562847055047293,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,4494,179,900,427,4500.0,179.0,4679.0
taiwan,validation,0.7,0.8153333333333334,0.7194388777555111,0.2705350414468726,0.3932092004381161,0.9700406591054996,0.5122792108960288,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,4533,140,968,359,4840.0,140.0,4980.0
taiwan,validation,0.75,0.8108333333333333,0.7566844919786097,0.2132629992464205,0.33274544385655497,0.9805264284185747,0.45728547644215195,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,4582,91,1044,283,5220.0,91.0,5311.0
taiwan,validation,0.8,0.799,0.7688888888888888,0.1303692539562924,0.22293814432989692,0.9888722448106142,0.359052275879215,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,4621,52,1154,173,5770.0,52.0,5822.0
taiwan,validation,0.85,0.7843333333333333,0.746268656716418,0.037678975131876416,0.07173601147776183,0.9963620800342392,0.19375732769615386,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,4656,17,1277,50,6385.0,17.0,6402.0
taiwan,validation,0.9,0.7796666666666666,0.8571428571428571,0.00452147701582517,0.008995502248875561,0.9997860047078965,0.06723473388829936,0.7873305272589204,0.5607876093861045,0.13820417279578373,0.0678312915286145,1.0422506392845239,-0.4308415878498193,4672,1,1321,6,6605.0,1.0,6606.0
