dataset,framework_model,model,model_role,calibration_method,threshold,expected_cost,expected_cost_per_1000,roc_auc,pr_auc,recall,precision,f1,brier_score,ece
taiwan,Logistic Regression,logistic_regression,base_model,isotonic,0.15,3525.0,587.5,0.762119559669612,0.527962639992053,0.7445365486058779,0.3506032647267565,0.4767189384800965,0.1374953245692171,0.0137355885701866
taiwan,Scorecard baseline,woe_scorecard_logistic_regression,base_model,isotonic,0.16,3395.0,565.8333333333333,0.772310218670291,0.5428529752936853,0.7415222305953278,0.3693693693693693,0.4931094963668254,0.1369802354742906,0.013838796992413
taiwan,XGBoost,xgboost,base_model,isotonic,0.14,3283.0,547.1666666666667,0.7826485134584009,0.5624784540120215,0.8364732479276563,0.3355501813784764,0.4789644012944983,0.1343163230559995,0.0095047983326949
taiwan,LightGBM,lightgbm,base_model,isotonic,0.17,3332.0,555.3333333333334,0.7779753690935001,0.5552375587431584,0.746043707611153,0.3754266211604095,0.4994954591321897,0.1356135837556778,0.0084868821264251
taiwan,Monotonic boosting,monotonic_lightgbm,base_model,isotonic,0.18,3304.0,550.6666666666666,0.7796047650478442,0.5545830998781486,0.718914845516202,0.3986627664020059,0.5129032258064516,0.1353814234981806,0.0100668553020005
taiwan,SCRE-Credit,SCRE-Credit,scre_credit,weighted_sum_plus_isotonic,0.16,3370.0,561.6666666666666,0.78157176397432,0.5444404951784547,0.7558402411454408,0.3643298220123501,0.4916666666666666,0.1344745846625019,0.016134514337013
heloc,Logistic Regression,logistic_regression,base_model,isotonic,0.16,892.0,451.6455696202531,0.8024136223749789,0.7993381897852608,0.9649805447470817,0.5821596244131455,0.726207906295754,0.18126613052651283,0.014569031982558078
heloc,Scorecard baseline,scorecard_baseline,base_model,isotonic,0.16,903.0,457.2151898734177,0.8006550482991549,0.8024408196455362,0.9747081712062257,0.5645070422535211,0.7149482697110239,0.18253702923792314,0.020933719752801814
heloc,XGBoost,xgboost,base_model,isotonic,0.19,904.0,457.72151898734177,0.7967526984661782,0.7967099074932475,0.9630350194552529,0.5809859154929577,0.7247437774524158,0.1834923424239684,0.016041154951360135
heloc,LightGBM,lightgbm,base_model,isotonic,0.17,933.0,472.40506329113924,0.788566905936831,0.7942216861516075,0.9815175097276264,0.5462912831618841,0.7019130434782609,0.18729037416857594,0.02000805976169991
heloc,Monotonic boosting,monotonic_boosting,base_model,isotonic,0.19,922.0,466.8354430379747,0.7919597623459707,0.7949808671167554,0.9737354085603113,0.5598434004474273,0.7109375,0.1858307032101909,0.016740656547917038
heloc,SCRE-Credit,SCRE-Credit,scre_credit,weighted_sum_plus_isotonic,0.17,907.0,459.24050632911394,0.8032487396200987,0.7946287064932958,0.9824902723735408,0.5528188286808976,0.7075306479859895,0.18053869116531668,0.009493500002056593
