threshold,accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,expected_cost
0.15,0.6369333333333334,0.3563327032136106,0.7953586497890295,0.49216710182767626,0.5919363122752953,0.7879614195251934,0.5651342585828023,0.13287854410172328,13830,9534,1358,5278,16324
0.2,0.7333,0.4341914955163437,0.6785714285714286,0.5295466572587758,0.74884437596302,0.7879614195251934,0.5651342585828023,0.13287854410172328,17496,5868,2133,4503,16533
0.25,0.7796666666666666,0.5016307074761666,0.6026220614828209,0.5475082146768894,0.8299520630029105,0.7879614195251934,0.5651342585828023,0.13287854410172328,19391,3973,2637,3999,17158
0.1,0.4811,0.28809376927822333,0.9148583484026522,0.43819697571186256,0.3579010443417223,0.7879614195251934,0.5651342585828023,0.13287854410172328,8362,15002,565,6071,17827
0.3,0.7997333333333333,0.547289156626506,0.5476190476190477,0.5474540524254293,0.8713405238828967,0.7879614195251934,0.5651342585828023,0.13287854410172328,20358,3006,3002,3634,18016
0.35,0.8130666666666667,0.5922800718132855,0.49713682941531046,0.5405538259872193,0.902799178222907,0.7879614195251934,0.5651342585828023,0.13287854410172328,21093,2271,3337,3299,18956
0.4,0.8187666666666666,0.626717395899387,0.44680530440024113,0.5216855810680039,0.9244136278034583,0.7879614195251934,0.5651342585828023,0.13287854410172328,21598,1766,3671,2965,20121
0.45,0.8196333333333333,0.6489180646729881,0.40220012055455096,0.49660433528700343,0.9381955144667009,0.7879614195251934,0.5651342585828023,0.13287854410172328,21920,1444,3967,2669,21279
0.5,0.8209666666666666,0.6756456539850042,0.3666365280289331,0.47533457067500245,0.9500085601780517,0.7879614195251934,0.5651342585828023,0.13287854410172328,22196,1168,4203,2433,22183
0.55,0.8219,0.7053032708796443,0.3346895720313442,0.45396014307613697,0.9602807738400959,0.7879614195251934,0.5651342585828023,0.13287854410172328,22436,928,4415,2221,23003
0.6,0.8195,0.7248618784530386,0.2965641952983725,0.42091754892524863,0.9680277349768875,0.7879614195251934,0.5651342585828023,0.13287854410172328,22617,747,4668,1968,24087
0.65,0.8131,0.7385257301808067,0.24005424954792043,0.3623336745138178,0.9758602978941961,0.7879614195251934,0.5651342585828023,0.13287854410172328,22800,564,5043,1593,25779
0.7,0.8047,0.7648261758691206,0.16907775768535263,0.27693446871529065,0.9852336928608115,0.7879614195251934,0.5651342585828023,0.13287854410172328,23019,345,5514,1122,27915
0.75,0.795,0.7927710843373494,0.09915611814345991,0.17626573801232254,0.992638246875535,0.7879614195251934,0.5651342585828023,0.13287854410172328,23192,172,5978,658,30062
0.8,0.7864333333333333,0.8589341692789969,0.041289933694996984,0.0787922358015816,0.9980739599383667,0.7879614195251934,0.5651342585828023,0.13287854410172328,23319,45,6362,274,31855
0.85,0.78,0.9090909090909091,0.006027727546714889,0.011976047904191617,0.9998287964389659,0.7879614195251934,0.5651342585828023,0.13287854410172328,23360,4,6596,40,32984
0.9,0.7788,0.0,0.0,0.0,1.0,0.7879614195251934,0.5651342585828023,0.13287854410172328,23364,0,6636,0,33180
