threshold,accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,expected_cost
0.15,0.6416666666666667,0.35834767641996557,0.7844762622456669,0.4919659735349716,0.6011127755189386,0.7829640234727195,0.5625493828532917,0.13404987515046196,2809,1864,286,1041,3294
0.2,0.7308333333333333,0.4297560975609756,0.6639035418236624,0.521764880071069,0.7498395035309223,0.7829640234727195,0.5625493828532917,0.13404987515046196,3504,1169,446,881,3399
0.25,0.7786666666666666,0.49969001859888407,0.6073850791258478,0.5482993197278911,0.827305799272416,0.7829640234727195,0.5625493828532917,0.13404987515046196,3866,807,521,806,3412
0.1,0.476,0.28568058504364235,0.9125847776940467,0.4351419331656486,0.35202225551037875,0.7829640234727195,0.5625493828532917,0.13404987515046196,1645,3028,116,1211,3608
0.3,0.796,0.5381764269829503,0.5470987189148455,0.5426008968609866,0.8666809330194736,0.7829640234727195,0.5625493828532917,0.13404987515046196,4050,623,601,726,3628
0.35,0.8058333333333333,0.5703125,0.49510173323285606,0.5300524405002017,0.894072330408731,0.7829640234727195,0.5625493828532917,0.13404987515046196,4178,495,670,657,3845
0.4,0.815,0.6165413533834586,0.4325546345139412,0.508414526129318,0.9236036807190242,0.7829640234727195,0.5625493828532917,0.13404987515046196,4316,357,753,574,4122
0.45,0.8173333333333334,0.6420664206642066,0.3933685003767898,0.48785046728971965,0.93772736999786,0.7829640234727195,0.5625493828532917,0.13404987515046196,4382,291,805,522,4316
0.5,0.8188333333333333,0.6652892561983471,0.36397889977392617,0.4705309303458354,0.9479991440188316,0.7829640234727195,0.5625493828532917,0.13404987515046196,4430,243,844,483,4463
0.55,0.8206666666666667,0.6933744221879815,0.33911077618688773,0.45546558704453444,0.9574149368713888,0.7829640234727195,0.5625493828532917,0.13404987515046196,4474,199,877,450,4584
0.6,0.8196666666666667,0.7130434782608696,0.3089675960813866,0.43112513144058884,0.9646907768029104,0.7829640234727195,0.5625493828532917,0.13404987515046196,4508,165,917,410,4750
0.65,0.814,0.7298474945533769,0.25244913338357194,0.3751399776035834,0.9734645837791569,0.7829640234727195,0.5625493828532917,0.13404987515046196,4549,124,992,335,5084
0.7,0.807,0.7699680511182109,0.1816126601356443,0.2939024390243902,0.9845923389685427,0.7829640234727195,0.5625493828532917,0.13404987515046196,4601,72,1086,241,5502
0.75,0.7963333333333333,0.8260869565217391,0.10022607385079126,0.17876344086021506,0.9940081318210999,0.7829640234727195,0.5625493828532917,0.13404987515046196,4645,28,1194,133,5998
0.8,0.7846666666666666,0.9069767441860465,0.0293896006028636,0.05693430656934306,0.9991440188315857,0.7829640234727195,0.5625493828532917,0.13404987515046196,4669,4,1288,39,6444
0.85,0.7801666666666667,0.8333333333333334,0.007535795026375283,0.014936519790888723,0.9995720094157928,0.7829640234727195,0.5625493828532917,0.13404987515046196,4671,2,1317,10,6587
0.9,0.7788333333333334,0.0,0.0,0.0,1.0,0.7829640234727195,0.5625493828532917,0.13404987515046196,4673,0,1327,0,6635
